# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad3b3fa656.json
# init = 2 (Default)
# random
#   seed = 1600194499
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-1-0c7733.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-1-180095.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.197704,7.4832332e-07,4,1,1,0,19.210104,0.39072542,-1.5395115,-1.7538142,-1.5561431,-1.4758655,-1.3028101,-1.70942,-1.8509506,-1.5304704,-1.4145227,-2.1937227,4,5,3,5,6,6,7,4,8,6,6,2,2,5,3,8,7,1,4,7,0.35652301,0.39000814
-19.197704,0.079739452,2.335068,2,3,0,19.213534,0.39072542,-1.5395115,-1.7538142,-1.5561431,-1.4758655,-1.3028101,-1.70942,-1.8509506,-1.5304704,-1.4145227,-2.1937227,5,8,2,6,2,8,5,1,4,4,4,4,1,4,5,4,6,2,5,6,0.35652301,0.56992953
-19.063356,0.98724285,0.27784229,3,9,0,19.837643,0.23986683,-1.5249658,-1.9300796,-1.6366765,-1.4471094,-1.2446096,-1.6258822,-1.6287527,-1.306975,-1.2887184,-2.0257209,6,7,3,3,4,7,3,1,4,4,3,7,5,5,2,5,6,3,7,8,0.089826437,0.61580628
-19.073134,0.99950974,0.28664907,4,15,0,19.112237,0.23578269,-1.5248666,-1.9356261,-1.6391347,-1.4466524,-1.2434231,-1.623998,-1.6232868,-1.3010268,-1.286053,-2.0215708,5,4,2,5,2,5,5,4,5,8,5,8,5,3,3,6,7,4,6,8,0.078011673,0.47942772
-19.013183,0.99670121,0.39219076,1,3,0,19.164655,0.27496377,-1.5264625,-1.8841536,-1.6161525,-1.4517512,-1.2556959,-1.6428711,-1.6769346,-1.3583091,-1.3133289,-2.0622244,8,3,1,2,2,7,7,4,2,6,6,5,4,4,1,6,2,4,7,6,0.17910988,0.74717116
-20.077416,0.76940236,0.61236257,1,3,0,21.195554,0.10365198,-1.5301876,-2.1391388,-1.7265135,-1.4415866,-1.2177697,-1.5730965,-1.4628377,-1.1113807,-1.2247506,-1.8978691,2,5,2,3,2,7,1,4,8,3,3,6,4,4,1,3,1,2,8,8,-0.58438337,0.39437004
-19.992854,1,0.51712456,3,7,0,20.107865,0.10926776,-1.5296209,-2.1294929,-1.7224902,-1.4414058,-1.2183197,-1.5748732,-1.4689903,-1.1193329,-1.2262761,-1.9027213,3,4,5,4,5,6,3,2,4,5,4,8,5,3,3,5,4,2,7,2,-0.53790586,0.59753979
-19.562789,1,0.91752748,1,1,0,19.961206,0.14614558,-1.5266567,-2.0684224,-1.6967526,-1.4411121,-1.2231849,-1.5873787,-1.5108984,-1.1717892,-1.2388382,-1.9354622,4,5,4,5,2,6,6,2,5,7,4,5,2,2,3,7,4,2,1,7,-0.28938712,0.55353899
-19.220447,1,1.6810314,1,1,0,19.221364,0.39691778,-1.5405582,-1.7477211,-1.5532682,-1.4775256,-1.3057575,-1.7134533,-1.8609029,-1.5398057,-1.4207416,-2.2012576,3,4,2,3,4,6,3,4,6,8,4,3,4,3,3,7,5,1,6,4,0.36203161,0.86583399
-19.220447,0.0012395914,3.134166,1,3,0,19.270902,0.39691778,-1.5405582,-1.7477211,-1.5532682,-1.4775256,-1.3057575,-1.7134533,-1.8609029,-1.5398057,-1.4207416,-2.2012576,3,5,3,4,1,7,5,4,7,8,3,8,3,4,1,5,3,1,8,5,0.36203161,0.81834441
-19.333262,0.99816147,0.2502864,3,9,0,19.407238,0.17567043,-1.5252245,-2.0222925,-1.6770009,-1.4419742,-1.228583,-1.5984537,-1.546296,-1.2140835,-1.2519036,-1.9627886,5,7,2,5,1,4,2,3,5,7,5,5,2,5,2,4,5,1,6,7,-0.14057099,0.30134315
-19.192414,0.99805704,0.46999406,2,5,0,19.396699,0.38923656,-1.5392651,-1.7552922,-1.5568394,-1.4754718,-1.3021077,-1.7084576,-1.8485674,-1.5282278,-1.4130391,-2.1919189,4,4,4,1,6,5,2,2,6,8,5,6,4,5,4,5,6,4,5,6,0.35514591,0.4411999
