# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad2804bd2.json
# init = 2 (Default)
# random
#   seed = 1378508432
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-1-701f5a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-1-12fe48.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.173052,0.53945731,2,1,3,0,19.176407,0.38360899,-1.5383522,-1.7609242,-1.5594893,-1.4740033,-1.2994743,-1.7048459,-1.8395933,-1.519758,-1.4074724,-2.1851282,6,7,4,4,3,7,3,4,5,8,5,5,4,2,4,6,4,6,5,5,0.34975421,0.54759339
-19.173052,1.660161e-15,6.2268533,1,3,1,19.196306,0.38360899,-1.5383522,-1.7609242,-1.5594893,-1.4740033,-1.2994743,-1.7048459,-1.8395933,-1.519758,-1.4074724,-2.1851282,5,3,4,4,1,4,8,7,7,8,2,3,3,3,2,5,3,2,8,6,0.34975421,0.81033298
-19.539428,0.80841601,0.82107732,2,3,0,20.260029,0.14870974,-1.5264993,-2.0643201,-1.6950071,-1.4411487,-1.2236019,-1.5883028,-1.5139082,-1.1754518,-1.23987,-1.9377958,4,8,8,4,1,6,2,2,6,8,4,7,5,2,4,5,2,2,7,3,-0.27500156,0.17675773
-19.014977,0.97905647,0.60591832,1,3,0,19.862007,0.27231776,-1.5263095,-1.8875087,-1.6176623,-1.451357,-1.2548055,-1.6415401,-1.6732269,-1.3544252,-1.3113692,-2.0594195,6,3,7,3,2,8,5,2,5,8,5,7,3,6,1,7,2,1,7,1,0.17308301,0.79173705
-19.008695,0.92544465,0.82538841,2,3,0,19.40834,0.28942861,-1.5274139,-1.8661171,-1.6080079,-1.4540327,-1.2607173,-1.6502936,-1.6974189,-1.3795808,-1.324335,-2.0777125,3,6,3,2,1,3,2,6,5,6,3,5,4,4,1,4,5,2,7,5,0.210227,0.40287063
-19.014508,0.95056318,1.0763722,2,3,0,19.088157,0.27296662,-1.5263465,-1.8866844,-1.6172915,-1.451453,-1.255023,-1.6418657,-1.674135,-1.3553774,-1.3118482,-2.0601065,1,3,4,3,2,4,3,2,7,8,3,6,3,4,4,7,6,2,5,4,0.17457082,0.31307444
-19.014508,0.19077443,1.60715,1,1,0,20.087878,0.27296662,-1.5263465,-1.8866844,-1.6172915,-1.451453,-1.255023,-1.6418657,-1.674135,-1.3553774,-1.3118482,-2.0601065,6,6,3,4,5,7,6,1,8,7,7,4,3,2,3,4,1,5,7,6,0.17457082,0.48436919
-19.038308,0.99552011,0.2340629,4,15,0,19.463842,0.25262262,-1.5253765,-1.9130299,-1.6290925,-1.4486489,-1.2484559,-1.6318909,-1.6460137,-1.3255867,-1.2973129,-2.0388132,2,7,4,3,3,8,4,4,8,5,6,5,1,3,1,8,5,1,5,7,0.12471591,0.40828467
-19.100385,0.99155908,0.41729922,3,7,0,19.336097,0.35901987,-1.5347056,-1.7863836,-1.571399,-1.4679464,-1.2883766,-1.6895394,-1.8010124,-1.4828757,-1.383919,-2.155959,5,4,2,3,4,4,7,4,5,8,3,5,3,5,2,6,6,1,7,7,0.32262511,0.88360758
-19.100385,0.89544457,0.75247317,1,3,0,19.620817,0.35901987,-1.5347056,-1.7863836,-1.571399,-1.4679464,-1.2883766,-1.6895394,-1.8010124,-1.4828757,-1.383919,-2.155959,5,5,1,4,3,3,4,6,8,6,2,3,3,4,1,6,4,1,7,3,0.32262511,0.10662828
