# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad64849aea.json
# init = 2 (Default)
# random
#   seed = 1970293652
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-2-11e891.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-2-047917.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-22.874768,1.1845762e-16,4,1,1,0,22.888002,0.77648646,-1.6723902,-1.5317133,-1.4453848,-1.6466073,-1.5569764,-2.0688051,-2.596702,-2.1385199,-1.9372632,-2.7778867,5,6,6,6,1,4,3,2,4,6,6,4,3,6,6,6,8,2,6,8,0.040500123,0.26436142
-22.874768,0.50204671,2.3350648,1,3,0,26.357795,0.77648646,-1.6723902,-1.5317133,-1.4453848,-1.6466073,-1.5569764,-2.0688051,-2.596702,-2.1385199,-1.9372632,-2.7778867,5,2,7,4,2,6,7,2,8,5,4,4,5,2,4,8,2,3,3,7,0.040500123,0.44149049
-21.640685,1,0.75177694,1,1,0,22.935118,0.69278189,-1.6317586,-1.5534215,-1.4571294,-1.5982433,-1.4905466,-1.9700181,-2.412611,-2.0017793,-1.8016762,-2.6290264,1,8,1,2,2,4,6,4,6,3,4,5,5,3,2,7,7,2,5,4,0.24452208,0.17959853
-20.350914,0.90016312,0.91376191,2,3,0,23.705399,0.57403126,-1.5854284,-1.6091274,-1.4858036,-1.5402399,-1.4065671,-1.8510511,-2.1730647,-1.8124926,-1.6298685,-2.4403495,5,5,3,4,6,7,5,5,4,6,5,7,6,4,7,6,4,5,4,8,0.38329873,0.64622097
-19.052319,1,1.0234555,1,3,0,19.771756,0.24498706,-1.5251123,-1.9231862,-1.6336151,-1.447707,-1.2461281,-1.6282715,-1.6356468,-1.3144396,-1.2921195,-2.0309524,3,3,3,3,4,8,4,3,4,7,5,4,4,3,2,6,4,4,5,4,0.10418919,0.38419323
-21.241356,0.25512267,1.6825646,1,1,0,21.336108,0.053409159,-1.5366281,-2.2296685,-1.7637341,-1.4448456,-1.2152289,-1.5586778,-1.410564,-1.0406493,-1.2160363,-1.8560005,4,3,6,8,4,8,2,4,6,7,3,6,5,2,2,5,4,1,7,5,-1.1929019,0.66902871
-21.463279,0.99902955,0.30236956,2,3,0,21.518762,0.047412824,-1.5375626,-2.2409952,-1.7683236,-1.4454353,-1.2152234,-1.5571327,-1.4046655,-1.0322572,-1.2156238,-1.8511869,5,6,4,4,3,6,2,1,7,7,4,5,6,3,1,5,2,1,8,7,-1.3056767,0.16510936
-19.644188,0.98123027,0.53013254,3,7,0,22.992225,0.13778147,-1.5272141,-2.0819324,-1.7024862,-1.441044,-1.2218946,-1.584414,-1.5011667,-1.1598558,-1.2356124,-1.9279019,2,2,3,2,4,5,8,4,7,7,2,8,5,7,2,7,1,3,5,5,-0.33857344,0.69718564
-19.123296,1,0.91080082,2,3,0,19.492912,0.36752686,-1.5359041,-1.7774181,-1.5672178,-1.4699753,-1.2921402,-1.6947481,-1.8142438,-1.4956127,-1.3919248,-2.1659587,4,7,2,3,2,8,5,5,6,8,6,3,2,4,5,7,1,6,6,6,0.33268307,0.5883373
-19.123296,0.14327415,1.6930995,1,1,0,19.523149,0.36752686,-1.5359041,-1.7774181,-1.5672178,-1.4699753,-1.2921402,-1.6947481,-1.8142438,-1.4956127,-1.3919248,-2.1659587,5,4,2,4,2,8,1,4,7,3,7,6,5,6,2,5,5,2,8,6,0.33268307,0.23710545
