# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad55d8aa50.json
# init = 2 (Default)
# random
#   seed = 439816108
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-2-396f72.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-2-619119.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.158603,2.6426125e-14,4,1,3,0,23.413965,0.79289245,-1.6811396,-1.529163,-1.4439387,-1.6568048,-1.5706706,-2.0897611,-2.6343178,-2.1656546,-1.9652275,-2.808756,6,3,6,6,3,8,7,1,6,5,8,4,1,4,6,7,5,3,5,6,-0.014825272,0.70908479
-22.494706,0.4559641,2.3350648,2,3,0,22.499617,0.02762596,-1.5408993,-2.2791894,-1.7836919,-1.4476921,-1.2156795,-1.5522963,-1.3857307,-1.0046386,-1.2152837,-1.8355762,7,8,2,4,4,7,5,2,7,8,1,7,6,6,5,2,3,1,8,5,-1.8252546,0.64382926
-22.988737,0.99373217,0.67439898,1,1,0,23.022216,0.021431447,-1.5420241,-2.2914085,-1.7885737,-1.4484976,-1.2159753,-1.5508647,-1.379972,-0.99601558,-1.2155102,-1.8307748,6,3,2,8,3,7,5,2,7,5,4,7,3,2,1,8,1,5,7,6,-2.0728009,0.62868871
-24.032087,0.98741971,0.79478542,1,1,0,24.036667,0.012604038,-1.5436934,-2.3090408,-1.7955887,-1.4497279,-1.2165261,-1.5488921,-1.3719068,-0.98374645,-1.2161173,-1.824003,3,3,3,5,6,8,4,1,5,5,5,7,7,2,1,7,2,2,8,6,-2.5946627,0.6404116
-25.387297,0.98311838,1.13079,1,1,0,25.51571,0.0063622781,-1.5449209,-2.3216656,-1.8005903,-1.4506567,-1.2170087,-1.547545,-1.3663051,-0.97508456,-1.216753,-1.8192644,3,2,4,3,6,5,7,4,3,7,2,7,4,1,3,7,2,5,7,4,-3.2719919,0.89863984
-19.096373,0.66682381,1.7754572,2,3,0,21.106376,0.35743117,-1.5344892,-1.7880765,-1.572187,-1.4675753,-1.2876827,-1.6885767,-1.798555,-1.4804997,-1.3824408,-2.1541022,5,4,2,1,4,8,7,4,6,5,2,4,1,6,1,5,4,2,4,5,0.32066566,0.41156873
-19.096373,0.081054649,1.1271085,1,3,0,22.571896,0.35743117,-1.5344892,-1.7880765,-1.572187,-1.4675753,-1.2876827,-1.6885767,-1.798555,-1.4804997,-1.3824408,-2.1541022,6,7,6,3,5,6,4,4,5,7,4,7,3,1,2,5,3,2,7,3,0.32066566,0.54840265
-19.054409,0.99999567,0.11597548,5,31,0,19.104585,0.33809759,-1.5320422,-1.8091491,-1.5819555,-1.4632578,-1.2794677,-1.677115,-1.7689951,-1.4516527,-1.3648845,-2.1317738,6,8,2,6,5,7,5,1,8,5,4,7,6,3,7,5,2,5,7,6,0.29470162,0.21752597
-19.490547,0.98887592,0.20827907,2,7,0,19.933163,0.45502209,-1.5520981,-1.6947326,-1.5279715,-1.4948824,-1.3353861,-1.7537624,-1.9574486,-1.628042,-1.4828155,-2.2745686,3,8,5,2,1,4,4,3,4,6,4,5,4,6,4,5,3,2,4,6,0.39734014,0.23400037
-19.547117,0.99451642,0.37115025,2,3,0,19.67859,0.46502589,-1.5543981,-1.6863627,-1.5239245,-1.498192,-1.3408381,-1.7611618,-1.9746468,-1.6433519,-1.4941653,-2.2876776,6,7,3,4,3,7,6,3,5,2,6,7,7,4,4,8,5,2,6,6,0.40056035,0.48223347
