# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad33ad04f6.json
# init = 2 (Default)
# random
#   seed = 239962047
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-2-470e2f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-2-7cb408.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.066707,0.92967604,1,2,3,0,19.738173,0.23842545,-1.524929,-1.9320322,-1.6375424,-1.4469461,-1.2441884,-1.6252151,-1.6268203,-1.3048752,-1.2877729,-2.024254,6,4,4,3,5,7,5,3,7,6,6,8,3,5,3,5,3,2,5,7,0.085693661,0.81127559
-19.066707,4.1164383e-47,12.65889,1,2,1,19.410578,0.23842545,-1.524929,-1.9320322,-1.6375424,-1.4469461,-1.2441884,-1.6252151,-1.6268203,-1.3048752,-1.2877729,-2.024254,2,4,6,3,4,3,2,4,7,3,6,5,3,2,1,6,4,1,8,3,0.085693661,0.25406178
-19.066707,0.18400299,2.0598154,1,1,0,19.786771,0.23842545,-1.524929,-1.9320322,-1.6375424,-1.4469461,-1.2441884,-1.6252151,-1.6268203,-1.3048752,-1.2877729,-2.024254,6,4,6,4,6,8,6,5,5,6,2,3,6,4,4,8,3,4,6,5,0.085693661,0.84034446
-19.032468,0.9833328,0.32463101,2,7,0,19.837004,0.32431039,-1.5305082,-1.8247129,-1.5891238,-1.4604042,-1.2738718,-1.6692242,-1.7483054,-1.4311569,-1.3528597,-2.1161499,6,3,5,3,6,6,5,3,5,8,3,5,5,5,2,7,6,2,7,6,0.27368377,0.91455244
-19.187111,0.98215604,0.427924,1,3,0,19.297934,0.38772369,-1.5390168,-1.7567992,-1.557549,-1.475074,-1.3013964,-1.7074827,-1.8461496,-1.5259498,-1.4115362,-2.1900891,5,4,4,4,2,8,3,2,3,8,4,3,6,5,4,4,2,1,7,6,0.35372553,0.82426418
-19.235785,0.94064628,0.64223186,3,7,0,19.692656,0.19253872,-1.5247791,-1.9970067,-1.6660571,-1.4428955,-1.2322392,-1.6052124,-1.567241,-1.2383675,-1.2604966,-1.9788534,7,6,2,4,2,5,5,3,4,5,5,6,5,5,5,6,4,6,4,6,-0.069558694,0.59796107
-19.016591,0.82666289,0.9173773,2,3,0,20.31882,0.30943003,-1.5290501,-1.8420175,-1.5970486,-1.4575367,-1.2680821,-1.6609687,-1.7263411,-1.4091063,-1.340354,-2.0995629,3,8,4,5,2,5,2,2,7,8,3,6,3,5,3,6,3,2,6,7,0.24849821,0.32141915
-19.205339,0.92161731,0.95803871,1,1,0,19.205873,0.39284102,-1.5398652,-1.7517227,-1.555157,-1.4764285,-1.3038124,-1.7107924,-1.8543435,-1.5336583,-1.4166386,-2.1962911,7,4,2,4,2,6,7,2,5,8,3,5,2,6,2,5,2,5,8,6,0.35844458,0.71183517
-19.411137,0.82711429,1.3725869,1,1,0,19.667293,0.44001076,-1.5488194,-1.7077041,-1.534215,-1.4900922,-1.3273956,-1.7429156,-1.931959,-1.6051342,-1.4661448,-2.2551699,4,4,7,2,1,5,5,2,6,8,5,6,6,4,1,5,3,5,7,4,0.39096566,0.25201227
-19.028637,1,1.4810002,1,1,0,19.175121,0.32133672,-1.5302004,-1.8281288,-1.5906918,-1.4598135,-1.2726939,-1.6675529,-1.7438857,-1.4267446,-1.3503211,-2.1128124,4,7,4,2,5,4,6,2,4,8,6,5,2,2,4,5,2,3,8,7,0.26886355,0.63984277
