# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:32:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad3d8e5c12.json
# init = 2 (Default)
# random
#   seed = 2050158099
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201032-2-7a7257.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201032-2-1c86cf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.665228,3.9407232e-15,4,1,3,0,24.666599,0.86574962,-1.7231582,-1.5246535,-1.4410388,-1.704925,-1.634089,-2.1896979,-2.8076693,-2.2875188,-2.0949236,-2.9531371,5,5,3,6,4,4,4,2,4,7,3,2,3,7,2,6,5,4,4,7,-0.36044876,0.52683681
-20.664205,0.66701384,2.3350648,2,3,0,21.003356,0.60712422,-1.5970195,-1.590655,-1.4764378,-1.5551409,-1.4287181,-1.8818801,-2.2373342,-1.8647032,-1.6752896,-2.490459,5,6,5,3,1,7,8,4,4,8,2,3,3,4,2,5,4,4,4,6,0.35847581,0.45298705
-19.156411,1,1.1090631,2,3,0,19.944631,0.37852111,-1.5375519,-1.7660783,-1.5619095,-1.4727019,-1.2971232,-1.7016156,-1.831526,-1.5121098,-1.4024956,-2.1790258,5,2,4,5,1,7,7,5,3,5,4,4,2,4,3,3,2,2,6,7,0.3446227,0.68302172
-19.061858,1,1.4182187,1,1,0,19.152876,0.34200753,-1.5325092,-1.804817,-1.5799533,-1.4641013,-1.2810947,-1.6793954,-1.7749217,-1.4574766,-1.3683701,-2.1362497,6,4,7,5,5,5,4,3,8,7,7,6,5,3,7,6,4,4,5,7,0.30027515,0.19465939
-19.061858,0.00044188883,2.1809651,1,3,0,23.498261,0.34200753,-1.5325092,-1.804817,-1.5799533,-1.4641013,-1.2810947,-1.6793954,-1.7749217,-1.4574766,-1.3683701,-2.1362497,4,7,6,5,2,1,4,2,5,7,2,6,1,5,2,4,3,1,8,7,0.30027515,0.34762948
-19.216685,0.99821024,0.18819167,3,7,0,19.216685,0.39591558,-1.5403864,-1.7487013,-1.5537311,-1.4772544,-1.3052776,-1.7127972,-1.8592878,-1.5382939,-1.4197298,-2.2000345,3,8,4,4,2,5,2,6,7,7,4,8,3,3,4,5,5,3,7,6,0.36116387,0.12761613
-19.525429,0.99257862,0.31018408,4,15,0,19.604002,0.15028511,-1.5264057,-2.0618089,-1.6939376,-1.4411748,-1.2238631,-1.5888741,-1.5157635,-1.177703,-1.2405138,-1.9392333,7,4,2,8,4,5,7,2,4,5,3,2,7,4,2,5,5,3,4,5,-0.26631598,0.84331573
-19.024524,0.99872861,0.53324807,2,5,0,19.479504,0.26236558,-1.5257928,-1.9002837,-1.6233956,-1.4499386,-1.2515353,-1.6366075,-1.6593908,-1.3398373,-1.3041486,-2.0489472,4,4,4,4,1,6,3,5,5,6,6,4,3,2,1,4,5,3,8,4,0.14943612,0.31695879
-20.293124,0.68401312,0.96800036,1,3,0,20.340157,0.56751419,-1.5832652,-1.6130357,-1.4877708,-1.5374215,-1.4023222,-1.8451813,-2.1606311,-1.8022587,-1.6211511,-2.4306955,4,4,4,6,4,7,4,5,4,7,2,7,5,5,4,3,5,1,8,7,0.38706418,0.78578224
-19.737621,1,0.66359076,1,1,0,20.228003,0.49555191,-1.561985,-1.6621683,-1.5121402,-1.5088669,-1.3580916,-1.784601,-2.0281737,-1.6902875,-1.5299677,-2.3285916,5,4,5,1,3,7,7,3,7,5,3,6,4,5,4,8,7,4,4,7,0.40538596,0.88365242
-19.134545,1,1.2443346,1,1,0,19.339606,0.21569603,-1.5246066,-1.9635294,-1.6514372,-1.44466,-1.2379109,-1.6150088,-1.5968365,-1.271849,-1.2735673,-2.0014519,3,5,8,5,4,8,6,4,6,7,3,5,6,3,4,7,5,2,5,6,0.014915733,0.70490652
-19.134545,0.00028457077,2.3459797,1,1,0,19.663614,0.21569603,-1.5246066,-1.9635294,-1.6514372,-1.44466,-1.2379109,-1.6150088,-1.5968365,-1.271849,-1.2735673,-2.0014519,6,4,1,4,2,6,4,3,6,8,3,1,4,4,2,7,4,2,7,4,0.014915733,0.79724261
-19.177353,0.99919841,0.1898761,1,3,0,19.215289,0.20490999,-1.5246239,-1.9789461,-1.6581886,-1.4437668,-1.2351767,-1.6103709,-1.5829313,-1.2562335,-1.2672994,-1.9908473,2,6,6,8,4,8,2,6,6,8,3,7,5,1,1,6,4,2,8,7,-0.022724966,0.46396526
