# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14badf03f0ce.json
# init = 2 (Default)
# random
#   seed = 1937978175
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-1-1e104a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-1-032daf.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.230976,0.088213628,2,2,3,0,20.234296,0.71925775,-1.5199283,-1.5330531,-1.5109292,-1.4097549,-2.4475873,-2.0447266,-1.3176666,-1.2576708,-1.5423645,-2.4475873,4,7,4,4,6,5,4,2,4,5,2,8,3,4,6,3,4,1,7,4,0.19190567,0.69804555
-20.230976,0.33338765,2.7412885,1,3,0,23.637436,0.71925775,-1.5199283,-1.5330531,-1.5109292,-1.4097549,-2.4475873,-2.0447266,-1.3176666,-1.2576708,-1.5423645,-2.4475873,5,8,8,8,4,1,5,1,8,3,4,3,6,7,5,5,1,3,5,8,0.19190567,0.14023275
-20.230976,0.9773714,0.62193025,1,1,0,20.667919,0.71925775,-1.5199283,-1.5330531,-1.5109292,-1.4097549,-2.4475873,-2.0447266,-1.3176666,-1.2576708,-1.5423645,-2.4475873,1,8,7,8,6,2,4,1,6,6,1,6,7,8,6,3,5,2,8,7,0.19190567,0.13472063
-19.290279,1,0.6943036,1,1,0,20.099462,0.62466905,-1.4819896,-1.5612257,-1.4408602,-1.3258227,-2.2513226,-1.8925506,-1.3994024,-1.2956636,-1.4891581,-2.2513226,1,8,8,8,6,1,2,3,5,7,1,7,7,7,7,1,4,1,4,7,0.34127907,0.53342907
-19.05784,0.92939285,1.0140332,2,3,0,19.522873,0.59327297,-1.4723454,-1.5751363,-1.4193263,-1.3024249,-2.1927338,-1.8428003,-1.4307518,-1.3105106,-1.4756495,-2.1927338,3,7,7,8,4,4,4,4,7,5,1,8,7,8,8,2,3,2,6,5,0.37004579,0.21121045
-22.461084,0.21647075,1.3500721,2,3,0,23.313747,0.050096883,-1.4932251,-2.2797017,-1.2152177,-1.5502445,-1.5858021,-1.0360123,-2.2560274,-1.7125256,-1.656142,-1.5858021,3,6,6,5,2,2,5,3,5,7,3,7,7,8,6,1,3,2,7,6,-1.2534323,0.3758589
-22.622413,0.99999381,0.21426253,2,3,0,22.663417,0.04665055,-1.4943382,-2.2879846,-1.2152274,-1.5604086,-1.5840777,-1.0311911,-2.2628867,-1.7158545,-1.6606779,-1.5840777,2,6,8,5,4,1,3,2,5,7,4,8,8,8,3,7,4,5,2,5,-1.3210848,0.4011043
-22.595539,0.99995916,0.37464062,1,1,0,22.690863,0.047208884,-1.4941571,-2.286638,-1.2152244,-1.558744,-1.5843554,-1.0319719,-2.261774,-1.7153146,-1.6599389,-1.5843554,2,6,8,6,7,3,3,1,7,4,2,8,6,8,5,1,5,2,7,6,-1.3097733,0.53066783
-21.803829,0.99998029,0.68039415,2,3,0,22.614233,0.066744892,-1.4880057,-2.2406395,-1.2154743,-1.504652,-1.5944805,-1.0593508,-2.2231847,-1.6965736,-1.6350794,-1.5944805,2,8,3,7,4,2,4,7,8,4,2,2,7,6,4,4,3,4,5,6,-0.98419473,0.26636722
-18.430419,0.71151694,1.2629323,1,3,0,20.163419,0.36204803,-1.4410446,-1.7551615,-1.289707,-1.2152607,-1.8477264,-1.4874068,-1.7193207,-1.4502338,-1.4458895,-1.8477264,3,5,8,7,8,3,5,6,6,3,7,5,5,4,5,2,5,3,7,6,0.3262888,0.38906885
-18.430419,0.25610364,0.95194924,1,3,0,20.846859,0.36204803,-1.4410446,-1.7551615,-1.289707,-1.2152607,-1.8477264,-1.4874068,-1.7193207,-1.4502338,-1.4458895,-1.8477264,3,5,4,8,4,3,5,6,5,4,1,6,7,7,5,4,6,3,6,6,0.3262888,0.62335079
-18.433772,0.99980203,0.17125943,3,11,0,18.466509,0.44355493,-1.4445636,-1.67513,-1.3292614,-1.2265457,-1.9531063,-1.6105356,-1.6065177,-1.3952019,-1.4415629,-1.9531063,3,6,7,4,5,4,3,3,7,6,1,5,6,8,6,2,2,1,6,3,0.39263902,0.73585465
-18.63752,0.97870118,0.32526299,1,3,0,18.902361,0.51595332,-1.454381,-1.619594,-1.3701311,-1.255347,-2.0611275,-1.721841,-1.5162686,-1.3514806,-1.4515964,-2.0611275,2,3,6,6,8,4,3,3,4,6,2,8,8,7,8,1,4,1,8,5,0.40444656,0.81341692
-18.546621,1,0.57827689,1,1,0,18.628442,0.49100069,-1.4502583,-1.6371634,-1.3554609,-1.2436302,-2.0222993,-1.6832688,-1.5462905,-1.3659821,-1.4467315,-2.0222993,3,6,7,6,8,4,2,1,3,5,4,2,5,8,6,5,3,1,7,7,0.40514111,0.81263443
-18.546621,0.28379731,1.0958788,1,1,0,19.916013,0.49100069,-1.4502583,-1.6371634,-1.3554609,-1.2436302,-2.0222993,-1.6832688,-1.5462905,-1.3659821,-1.4467315,-2.0222993,5,7,6,7,4,4,4,8,6,5,1,7,4,6,5,2,2,5,6,6,0.40514111,0.2423644
-18.557249,0.99970723,0.22449606,1,1,0,18.557869,0.49425519,-1.4507512,-1.6347798,-1.35734,-1.2450556,-2.0272665,-1.688287,-1.5423095,-1.3640564,-1.4472835,-2.0272665,5,7,6,7,4,2,4,2,6,2,5,3,6,6,8,5,2,1,5,4,0.40533309,0.22706801
-18.462456,0.99152523,0.42608612,2,3,0,18.698773,0.45930641,-1.446148,-1.6618491,-1.3377087,-1.2314294,-1.9754171,-1.6345945,-1.5860718,-1.3852658,-1.4426743,-1.9754171,6,8,7,8,2,3,2,2,6,4,1,8,6,8,7,1,6,2,8,7,0.3988192,0.26546426
-18.480176,0.99400211,0.78285105,1,1,0,18.498428,0.46722028,-1.4470581,-1.6554325,-1.3420475,-1.2341844,-1.9868722,-1.646715,-1.5759677,-1.3803614,-1.4434613,-1.9868722,3,5,5,8,7,3,3,5,8,5,2,7,6,5,3,5,2,2,6,3,0.40115781,0.12310928
-18.480176,0.28682569,1.4374425,1,3,0,19.239433,0.46722028,-1.4470581,-1.6554325,-1.3420475,-1.2341844,-1.9868722,-1.646715,-1.5759677,-1.3803614,-1.4434613,-1.9868722,3,8,5,5,2,1,5,4,6,6,3,6,6,8,5,5,4,1,4,7,0.40115781,0.10014074
-18.474132,0.95892206,0.31215982,3,15,0,19.787417,0.33988433,-1.4414,-1.7803761,-1.280209,-1.2167313,-1.8218893,-1.4543134,-1.751991,-1.4662175,-1.4501351,-1.8218893,1,5,6,6,7,1,6,3,7,6,5,7,5,7,5,6,5,1,6,8,0.29726935,0.5423833
-19.364118,0.92559246,0.51585713,3,7,0,19.626196,0.19413573,-1.4568825,-1.9879069,-1.2326063,-1.291166,-1.6802269,-1.2406711,-1.9876605,-1.5816521,-1.5150438,-1.6802269,5,5,8,8,5,1,3,4,5,3,4,8,7,7,5,2,6,5,8,8,-0.063278209,0.039968127
-18.479727,0.97477871,0.76657011,1,3,0,19.542976,0.46703129,-1.4470355,-1.6555838,-1.3419432,-1.2341163,-1.9865968,-1.6464253,-1.5762077,-1.3804779,-1.4434407,-1.9865968,5,3,4,8,8,2,2,3,6,5,3,8,5,7,7,3,1,3,8,6,0.40110789,0.56309608
-18.4244,1,1.3076696,1,1,0,18.430807,0.36624005,-1.4410392,-1.7505643,-1.2915657,-1.2152179,-1.8527458,-1.4936845,-1.7132366,-1.4472588,-1.4452391,-1.8527458,3,8,7,7,8,3,5,2,3,2,3,4,7,6,3,3,3,4,4,5,0.33120816,0.49710941
-18.4244,0.0021210337,2.3794525,1,1,0,18.560114,0.36624005,-1.4410392,-1.7505643,-1.2915657,-1.2152179,-1.8527458,-1.4936845,-1.7132366,-1.4472588,-1.4452391,-1.8527458,1,8,6,7,8,6,3,1,4,6,1,4,8,8,4,2,5,3,4,5,0.33120816,0.79859336
-18.423444,0.98826644,0.24167453,2,7,0,19.107729,0.43623185,-1.4439288,-1.6815383,-1.3254205,-1.2245539,-1.9429533,-1.5993797,-1.6161745,-1.3998999,-1.4412549,-1.9429533,5,8,6,8,3,1,6,6,6,2,2,7,7,7,4,4,4,4,8,5,0.38906586,0.15049154
-18.427093,0.9996317,0.42721516,1,1,0,18.428167,0.43897841,-1.4441594,-1.6791173,-1.3268546,-1.2252799,-1.9467451,-1.6035616,-1.6125415,-1.3981321,-1.4413548,-1.9467451,6,5,6,7,7,1,3,2,6,6,5,5,6,8,4,4,2,6,7,3,0.39045853,0.58126402
-18.427093,0.42715342,0.77253611,1,3,0,20.604224,0.43897841,-1.4441594,-1.6791173,-1.3268546,-1.2252799,-1.9467451,-1.6035616,-1.6125415,-1.3981321,-1.4413548,-1.9467451,2,6,5,7,7,3,3,4,5,6,2,5,8,5,6,2,6,3,4,8,0.39045853,0.65973392
