# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad7140c3ae.json
# init = 2 (Default)
# random
#   seed = 186714778
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-1-4c0a04.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-1-3653e9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.245408,1,2,1,1,0,25.155901,0.9942409,-1.5126287,-1.3657682,-1.5450416,-0.31788257,-1.2168237,-1.5444687,-1.3657682,-1.8080435,-1.450749,-1.7927324,1,6,8,7,4,2,8,1,2,8,7,5,8,8,8,7,3,5,3,7,-3.3709911,0.39315649
-24.245408,1.8277493e-174,14.38551,1,1,0,24.254149,0.9942409,-1.5126287,-1.3657682,-1.5450416,-0.31788257,-1.2168237,-1.5444687,-1.3657682,-1.8080435,-1.450749,-1.7927324,5,5,4,6,8,3,2,4,3,7,2,5,2,8,5,6,6,4,3,7,-3.3709911,0.39653098
-18.942774,0.33382803,2.4311673,2,3,0,22.228862,0.88715422,-1.5578167,-1.4729423,-1.5292757,-0.52308023,-1.227303,-1.5254644,-1.4729423,-1.7023139,-1.4413095,-1.8873866,5,3,4,8,3,5,6,3,4,3,3,3,1,8,6,8,2,5,5,6,-0.50971016,0.47461448
-20.016647,0.96275666,0.5836601,3,7,0,20.042689,0.94547988,-1.5319166,-1.411665,-1.5364589,-0.41054743,-1.2161281,-1.5326874,-1.411665,-1.7566697,-1.4447411,-1.8336721,2,2,5,2,7,2,4,6,1,8,6,7,3,7,8,5,4,7,3,8,-1.1734886,0.64581648
-18.689244,0.97980935,0.75684143,1,3,0,20.133423,0.8565777,-1.5726112,-1.5077154,-1.5268308,-0.58283046,-1.2377643,-1.5246048,-1.5077154,-1.6768269,-1.4410813,-1.9177192,6,5,5,7,6,4,5,5,5,8,5,6,4,6,8,8,3,8,2,6,-0.30501266,0.47825069
-20.943275,0.57090229,1.1562811,2,3,0,21.021519,0.43552418,-1.8597633,-2.1548593,-1.5822701,-1.4644932,-1.6171127,-1.7116775,-2.1548593,-1.5262339,-1.5361206,-2.5297594,4,6,6,3,4,3,3,1,3,8,3,7,2,6,5,2,2,2,4,8,0.38869678,0.070031264
-18.482132,1,0.54093171,2,3,0,20.614455,0.76850489,-1.6198486,-1.6175805,-1.5247792,-0.75794741,-1.2833005,-1.5331566,-1.6175805,-1.6146723,-1.4461914,-2.0140651,5,4,7,8,5,4,1,4,1,8,7,3,4,6,8,7,1,7,2,8,0.065254574,0.4492258
-18.479288,0.61805227,0.96048498,2,3,0,19.746239,0.77343467,-1.6170242,-1.61106,-1.5247001,-0.74802454,-1.2801939,-1.5322495,-1.61106,-1.6177159,-1.4456853,-2.0083027,1,2,5,5,4,6,6,4,2,8,5,4,3,8,8,5,3,7,3,7,0.05012344,0.099054446
-18.723218,0.97967803,0.53007283,2,3,0,18.723729,0.68308605,-1.6721593,-1.7373402,-1.5297578,-0.9322411,-1.3465817,-1.5568733,-1.7373402,-1.570009,-1.4589513,-2.1214452,5,4,3,6,5,6,6,2,2,8,6,4,2,7,8,3,3,8,2,6,0.26150003,0.21448575
-19.363563,0.51310934,0.92169462,2,3,0,20.551886,0.91754861,-1.5439379,-1.4401665,-1.5326038,-0.46420431,-1.2199649,-1.5283065,-1.4401665,-1.7296899,-1.4425989,-1.8587321,3,6,6,6,8,5,5,6,5,8,6,3,6,8,7,4,5,4,3,8,-0.78983665,0.54188907
