# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad20e18c02.json
# init = 2 (Default)
# random
#   seed = 1410158738
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-1-874791.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-1-77a252.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.748727,0.95713739,1,1,1,0,18.853155,0.27108091,-1.4459237,-1.8688652,-1.2543923,-1.23618,-1.7490244,-1.3526105,-1.8587566,-1.5185131,-1.4723755,-1.7490244,4,7,6,5,7,2,2,6,6,4,2,4,5,6,6,1,4,4,8,7,0.170229,0.61176449
-18.748727,0,13.30699,0,1,1,19.94034,0.27108091,-1.4459237,-1.8688652,-1.2543923,-1.23618,-1.7490244,-1.3526105,-1.8587566,-1.5185131,-1.4723755,-1.7490244,4,8,8,7,4,1,5,1,8,8,3,6,8,7,7,1,4,4,8,8,0.170229,0.54289406
-18.748727,0.0021250776,2.1975506,1,1,0,18.793929,0.27108091,-1.4459237,-1.8688652,-1.2543923,-1.23618,-1.7490244,-1.3526105,-1.8587566,-1.5185131,-1.4723755,-1.7490244,2,6,6,5,6,1,4,3,7,5,6,6,6,7,4,2,2,5,5,5,0.170229,0.46120809
-18.494288,0.99932534,0.21512438,2,5,0,18.847015,0.3321263,-1.4416531,-1.7895692,-1.277017,-1.2177593,-1.8131217,-1.4427682,-1.7636258,-1.4719128,-1.4519471,-1.8131217,3,7,5,8,1,2,3,2,6,5,2,6,7,8,4,4,4,3,8,4,0.28586331,0.13021383
-18.40141,0.99192619,0.28814055,2,7,0,18.872305,0.39632214,-1.4415856,-1.7191368,-1.3054722,-1.2169837,-1.8900221,-1.5389072,-1.6704698,-1.4263652,-1.4419601,-1.8900221,2,7,6,7,4,1,2,2,4,8,2,8,2,5,4,1,1,1,5,4,0.36151699,0.38799753
-18.649825,0.82796121,0.43763168,3,7,0,21.350711,0.51893362,-1.4549267,-1.6176031,-1.3719234,-1.2568654,-2.0658805,-1.726463,-1.5127603,-1.3497894,-1.452274,-2.0658805,5,4,2,7,7,5,2,3,7,7,3,4,5,5,6,4,2,1,8,5,0.40403015,0.49171381
-18.475303,0.99572155,0.43815478,3,7,0,18.814218,0.46513915,-1.4468113,-1.6571035,-1.3409004,-1.2334407,-1.9838438,-1.6435255,-1.5786139,-1.3816454,-1.4432396,-1.9838438,6,7,4,6,7,5,4,3,2,8,3,3,6,8,4,3,5,4,7,5,0.40059214,0.90735759
-18.890768,0.8768967,0.76502235,1,1,0,18.890903,0.56692623,-1.4653191,-1.5886292,-1.4019411,-1.2846414,-2.1459125,-1.8013362,-1.4585884,-1.3237812,-1.4659602,-2.1459125,2,5,5,6,6,6,2,1,5,7,3,4,4,5,6,4,4,2,7,5,0.38738618,0.49582427
-18.601588,1,0.95027759,1,1,0,18.847394,0.50678034,-1.4527732,-1.6258649,-1.364668,-1.2508309,-2.0466538,-1.7076353,-1.5271708,-1.356741,-1.4496395,-2.0466538,3,6,4,8,7,3,4,1,3,6,6,6,5,3,4,2,4,2,6,5,0.4052812,0.29601678
-19.220088,0.16501223,1.7668459,2,3,0,19.415111,0.20836886,-1.4543987,-1.9641606,-1.236036,-1.2778167,-1.6919678,-1.2612371,-1.9630614,-1.5696101,-1.5056213,-1.6919678,3,6,8,8,5,2,5,3,4,7,6,5,7,7,5,6,5,2,6,4,-0.010345647,0.42130135
