# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14badac78b67.json
# init = 2 (Default)
# random
#   seed = 2014733108
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-2-027e22.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-2-922ed8.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.164886,0.060741992,2,1,3,0,19.262377,0.21426652,-1.4534296,-1.9545589,-1.2375393,-1.2727462,-1.6969626,-1.2697774,-1.952969,-1.5646682,-1.5019278,-1.6969626,2,5,7,5,4,1,3,5,7,7,5,8,8,7,5,2,3,4,5,7,0.010087235,0.60403769
-19.164886,0.00010093159,2.6077287,1,3,0,19.184728,0.21426652,-1.4534296,-1.9545589,-1.2375393,-1.2727462,-1.6969626,-1.2697774,-1.952969,-1.5646682,-1.5019278,-1.6969626,2,8,8,4,5,4,1,3,3,4,3,4,6,8,4,1,3,2,6,7,0.010087235,0.68626068
-19.018612,0.99994616,0.2657384,2,3,0,19.18679,0.23135686,-1.4508214,-1.9275036,-1.2421622,-1.2594888,-1.7118685,-1.294587,-1.924055,-1.5505066,-1.491906,-1.7118685,4,3,8,5,4,1,3,3,4,5,4,6,8,8,4,6,7,3,7,8,0.064837072,0.37106442
-18.984307,1,0.28195675,1,1,0,19.024198,0.23572683,-1.4502026,-1.9207659,-1.243407,-1.2564274,-1.7157835,-1.3009455,-1.916741,-1.5469237,-1.4895032,-1.7157835,6,6,6,8,8,3,5,2,8,5,4,4,4,7,7,1,4,2,7,4,0.077847814,0.50837302
-18.559564,0.99812589,0.3858513,2,5,0,19.058569,0.49494938,-1.4508581,-1.634275,-1.3577421,-1.2453637,-2.0283298,-1.6893579,-1.5414629,-1.363647,-1.4474044,-2.0283298,1,4,3,7,8,3,4,1,8,7,2,5,7,6,8,3,3,2,5,6,0.40536307,0.74171968
-20.023851,0.83092389,0.60459991,2,3,0,20.264038,0.70145401,-1.5117213,-1.5368166,-1.4971579,-1.3924893,-2.408254,-2.015816,-1.3315232,-1.2640144,-1.5309419,-2.408254,2,3,5,8,3,5,5,1,3,4,4,5,8,8,5,1,1,5,6,7,0.22832825,0.5010709
-19.902799,1,0.61618819,1,1,0,20.214769,0.69040782,-1.5068849,-1.5395058,-1.4887478,-1.3821097,-2.3844269,-1.9979418,-1.3404876,-1.2681438,-1.5241797,-2.3844269,3,8,7,7,7,2,3,3,4,6,5,4,8,8,8,6,1,4,4,6,0.24878726,0.67458157
-18.642995,1,1.0964778,1,1,0,19.402907,0.51728861,-1.4546241,-1.6186992,-1.3709331,-1.2560242,-2.063254,-1.7239114,-1.5146947,-1.3507218,-1.4518974,-2.063254,2,6,7,6,7,2,1,7,7,3,4,6,6,8,3,3,1,1,5,4,0.40426881,0.46385122
-18.642995,0.028329409,2.0123503,1,1,0,18.701945,0.51728861,-1.4546241,-1.6186992,-1.3709331,-1.2560242,-2.063254,-1.7239114,-1.5146947,-1.3507218,-1.4518974,-2.063254,3,8,6,7,5,2,1,2,5,3,3,5,7,6,8,2,1,5,6,8,0.40426881,0.12904686
-18.523151,0.99998579,0.17459181,4,15,0,18.654106,0.48337062,-1.4491548,-1.6428611,-1.3510962,-1.2404121,-2.0107666,-1.6715185,-1.5557001,-1.3705369,-1.4455354,-2.0107666,3,7,6,8,3,1,4,5,7,6,4,6,8,7,4,1,6,1,6,4,0.40435835,0.18449773
