# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad6edbc3e2.json
# init = 2 (Default)
# random
#   seed = 1844664769
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-2-1824e9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-2-439024.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.443371,1,2,1,1,0,18.586099,0.3543185,-1.4411063,-1.7637804,-1.2863314,-1.2155328,-1.8385822,-1.475847,-1.7306184,-1.4557595,-1.4472152,-1.8385822,5,8,6,4,6,2,3,6,7,6,2,7,3,5,7,2,2,4,8,5,0.31675149,0.2191844
-18.443371,0,14.38551,0,1,1,18.448689,0.3543185,-1.4411063,-1.7637804,-1.2863314,-1.2155328,-1.8385822,-1.475847,-1.7306184,-1.4557595,-1.4472152,-1.8385822,4,4,5,3,5,3,3,6,4,5,3,4,8,6,7,3,2,4,8,5,0.31675149,0.95616414
-18.443371,0.026656187,2.4311673,1,1,0,19.153207,0.3543185,-1.4411063,-1.7637804,-1.2863314,-1.2155328,-1.8385822,-1.475847,-1.7306184,-1.4557595,-1.4472152,-1.8385822,1,3,7,7,8,3,6,4,2,7,3,7,6,7,8,1,1,3,6,3,0.31675149,0.40753338
-18.730365,0.9931804,0.25744342,2,7,0,18.843676,0.27436836,-1.4455923,-1.8642692,-1.2554948,-1.2346819,-1.7522583,-1.3574349,-1.8534724,-1.5159238,-1.4709867,-1.7522583,3,3,3,6,4,4,3,1,4,7,2,5,6,4,6,1,1,6,3,6,0.17776299,0.67721708
-19.010837,0.99593581,0.34324515,3,7,0,19.022733,0.2323339,-1.4506814,-1.9259909,-1.2424383,-1.2587931,-1.7127401,-1.2960081,-1.9224169,-1.5497042,-1.4913632,-1.7127401,1,3,5,5,8,3,1,2,4,7,5,6,8,8,7,3,4,3,5,8,0.067779354,0.71941341
-18.416635,0.99077156,0.5316262,3,7,0,19.223115,0.37257227,-1.4410686,-1.7437221,-1.2944104,-1.2152906,-1.8604086,-1.5031784,-1.7041038,-1.4427942,-1.4443473,-1.8604086,5,7,6,8,5,3,1,3,6,1,4,5,7,7,3,2,4,5,7,5,0.33830843,0.43401187
-18.469639,0.8956877,0.88084997,2,3,0,18.718119,0.34176163,-1.4413487,-1.7781804,-1.2809919,-1.2165234,-1.8240323,-1.4571102,-1.749191,-1.4648471,-1.4497223,-1.8240323,2,8,8,5,8,2,2,1,7,5,1,5,6,7,5,1,7,3,6,7,0.29992955,0.59901892
-18.478316,0.99450654,1.1396001,1,1,0,18.524969,0.33818979,-1.4414496,-1.7823676,-1.2795059,-1.2169325,-1.8199621,-1.45179,-1.7545235,-1.467457,-1.4505163,-1.8199621,2,4,4,8,6,1,3,1,3,6,2,4,6,8,5,5,8,2,6,6,0.29483498,0.48131433
-18.478316,0.19145525,2.0564595,1,1,0,18.998843,0.33818979,-1.4414496,-1.7823676,-1.2795059,-1.2169325,-1.8199621,-1.45179,-1.7545235,-1.467457,-1.4505163,-1.8199621,1,8,3,6,5,2,2,3,7,3,1,5,8,7,6,1,6,4,7,6,0.29483498,0.22576748
-18.638683,0.9889653,0.29867986,1,3,0,18.799191,0.29258685,-1.443963,-1.8394854,-1.261848,-1.2274762,-1.7706258,-1.3842343,-1.8245199,-1.5017377,-1.4638985,-1.7706258,5,7,7,8,3,2,4,5,8,4,3,6,3,6,6,5,5,2,7,8,0.21662533,0.15757123
-18.415381,0.98478109,0.54026517,2,3,0,18.849227,0.37373418,-1.4410789,-1.7424799,-1.2949372,-1.2153216,-1.8618252,-1.5049219,-1.7024356,-1.4419788,-1.4441954,-1.8618252,3,5,5,1,7,1,3,2,7,7,4,3,6,7,6,3,3,2,6,5,0.33956862,0.84511201
-18.415381,0.26766502,0.97169007,1,3,0,20.513653,0.37373418,-1.4410789,-1.7424799,-1.2949372,-1.2153216,-1.8618252,-1.5049219,-1.7024356,-1.4419788,-1.4441954,-1.8618252,2,8,3,6,6,1,2,2,8,6,4,7,7,8,1,1,2,4,6,8,0.33956862,0.3889222
-18.651273,0.99239183,0.18302691,2,7,0,19.046776,0.2898754,-1.4441831,-1.843101,-1.2608765,-1.2284338,-1.7678441,-1.380239,-1.8287932,-1.5038315,-1.4648888,-1.7678441,1,4,5,4,5,5,1,3,5,8,3,7,7,8,6,4,6,6,8,3,0.21114053,0.83498501
-18.429161,0.99939765,0.34053487,2,7,0,18.68132,0.44045108,-1.4442867,-1.6778279,-1.3276267,-1.2256795,-1.9487861,-1.605805,-1.610599,-1.397187,-1.4414161,-1.9487861,5,5,7,8,6,1,2,2,7,7,2,6,7,8,6,4,1,3,5,7,0.39117926,0.41896545
-19.222664,0.8852013,0.6460041,2,3,0,19.223784,0.20810006,-1.4544437,-1.9646015,-1.2359687,-1.2780541,-1.691742,-1.2608481,-1.9635228,-1.569836,-1.5057925,-1.691742,7,4,7,6,4,2,3,2,7,7,3,7,7,8,1,4,6,1,8,6,-0.011297038,0.36608432
-19.482784,0.92944171,0.85582578,1,3,0,20.467656,0.64747573,-1.4898896,-1.5525689,-1.4570497,-1.3442607,-2.2958593,-1.9289249,-1.3779092,-1.2855575,-1.5002859,-2.2958593,1,4,7,7,7,2,4,2,5,7,4,4,4,7,7,2,4,1,2,7,0.31444969,0.35423193
-19.474291,0.97799281,1.2964413,1,3,0,19.596448,0.18420768,-1.4587357,-2.0049609,-1.2303825,-1.3014571,-1.6722983,-1.226363,-2.0050221,-1.5901481,-1.522051,-1.6722983,4,6,6,6,8,3,1,1,6,4,2,8,4,7,5,2,5,4,5,6,-0.10352747,0.50275877
-18.634683,1,2.2667773,1,1,0,19.524946,0.29346498,-1.4438934,-1.8383198,-1.2621645,-1.2271745,-1.7715303,-1.3855287,-1.8231386,-1.501061,-1.4635825,-1.7715303,2,8,5,7,6,3,5,2,7,4,1,7,6,8,7,3,5,1,8,4,0.21838,0.61755084
-18.634683,1.4056302e-09,4.203702,1,1,0,18.667825,0.29346498,-1.4438934,-1.8383198,-1.2621645,-1.2271745,-1.7715303,-1.3855287,-1.8231386,-1.501061,-1.4635825,-1.7715303,5,6,5,5,7,4,1,3,6,8,6,2,5,5,6,1,3,3,4,2,0.21838,0.54248679
-18.448568,0.99464748,0.38213196,2,5,0,18.832121,0.45227665,-1.4454037,-1.667692,-1.3339076,-1.22915,-1.9653799,-1.6238465,-1.5951416,-1.3896716,-1.442103,-1.9653799,2,4,6,8,5,3,6,3,3,4,6,6,2,7,3,6,4,3,6,7,0.39631329,0.30094717
-18.476271,0.9744436,0.70129629,2,3,0,18.624137,0.33901183,-1.4414251,-1.7814004,-1.2798466,-1.2168333,-1.8208962,-1.453014,-1.7532943,-1.4668554,-1.4503304,-1.8208962,4,6,7,8,4,5,4,2,6,6,6,8,8,3,6,3,2,2,6,4,0.29601986,0.5140521
-18.818694,0.80623479,1.2009737,1,1,0,18.902848,0.2593964,-1.4471937,-1.8855132,-1.250584,-1.242017,-1.737728,-1.3354912,-1.8776865,-1.5277888,-1.4775886,-1.737728,1,4,5,8,6,5,2,4,4,7,7,5,4,8,6,2,7,2,7,3,0.14207184,0.67654362
-20.615993,0.52050181,1.2452362,1,1,0,20.723081,0.11111597,-1.475379,-2.1437964,-1.218512,-1.4070004,-1.6204428,-1.1219522,-2.1379967,-1.6551033,-1.5854287,-1.6204428,3,7,7,5,2,1,6,3,8,6,6,7,6,8,8,1,6,5,8,8,-0.5232099,0.25026304
-19.979763,1,0.56252085,1,1,0,20.59191,0.14643228,-1.4666832,-2.0736931,-1.223231,-1.3488384,-1.6440742,-1.1721986,-2.0726101,-1.6231922,-1.5521224,-1.6440742,4,8,6,7,6,1,4,4,2,3,4,2,7,8,7,2,4,3,7,2,-0.28776314,0.30783559
-20.009796,0.99848657,1.025921,2,3,0,20.491182,0.14450576,-1.4671262,-2.0773673,-1.2229235,-1.3516379,-1.6427167,-1.1694479,-2.076122,-1.6249077,-1.553806,-1.6427167,3,7,7,6,7,4,3,6,4,5,2,7,8,8,5,1,2,2,8,7,-0.29875237,0.92877566
-19.425352,0.33342958,1.8443751,2,3,0,20.949195,0.18852505,-1.4579177,-1.9974945,-1.2313324,-1.2968795,-1.6757199,-1.2325814,-1.9974516,-1.5864438,-1.5189593,-1.6757199,5,3,6,6,4,2,2,1,2,4,1,7,8,8,7,4,7,2,8,5,-0.085666671,0.39641287
-19.508358,0.99534657,0.49900181,1,1,0,19.566183,0.18128418,-1.4593002,-2.010061,-1.2297545,-1.3046482,-1.6700043,-1.2221555,-2.0101664,-1.5926649,-1.5241838,-1.6700043,3,8,5,6,5,1,5,3,7,7,4,5,8,7,4,6,3,5,7,6,-0.11594819,0.24437918
