# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:33:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad3eb9a5ff.json
# init = 2 (Default)
# random
#   seed = 760484329
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201033-2-65088f.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201033-2-42a929.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.989954,0.16000335,2,1,3,0,20.02763,0.6984116,-1.5103699,-1.5375301,-1.4948313,-1.3896048,-2.4016478,-2.0108882,-1.3339645,-1.2651371,-1.5290545,-2.4016478,4,7,8,6,7,2,5,1,6,5,1,7,7,6,4,6,2,5,8,8,0.2341207,0.4989732
-19.989954,0.00044321904,3.123502,2,5,0,20.555914,0.6984116,-1.5103699,-1.5375301,-1.4948313,-1.3896048,-2.4016478,-2.0108882,-1.3339645,-1.2651371,-1.5290545,-2.4016478,3,5,8,4,1,1,5,2,7,6,2,5,3,6,7,4,3,2,6,8,0.2341207,0.4677758
-19.910368,1,0.33605687,3,7,0,20.029268,0.69111357,-1.5071882,-1.5393258,-1.4892821,-1.3827652,-2.3859362,-1.9990823,-1.3399066,-1.2678756,-1.5246043,-2.3859362,5,8,6,8,6,2,7,3,8,6,1,8,6,3,7,2,1,2,6,8,0.24752675,0.11010648
-19.646402,1,0.36771579,1,1,0,19.903626,0.66516152,-1.4965491,-1.5466807,-1.4699158,-1.3593648,-2.331581,-1.9572695,-1.3620044,-1.278125,-1.5096661,-2.331581,1,6,8,6,6,1,4,3,7,6,1,3,7,8,8,3,3,4,7,5,0.28992708,0.68137085
-18.872826,0.94103083,0.51295479,2,3,0,20.807726,0.56383919,-1.4645581,-1.5903206,-1.3999457,-1.2826721,-2.1405629,-1.7964947,-1.4619395,-1.3253835,-1.4649247,-2.1405629,5,7,8,7,4,4,4,3,5,7,4,6,8,8,4,3,4,6,2,7,0.389029,0.52918007
-18.429785,1,0.68640205,2,3,0,18.800228,0.36246756,-1.4410432,-1.7546989,-1.2898921,-1.2152531,-1.8482268,-1.4880348,-1.7187104,-1.4499354,-1.4458222,-1.8482268,4,3,7,5,3,1,1,2,6,6,3,5,6,7,8,3,3,5,7,5,0.32678905,0.88119316
-18.429785,0.27960712,1.1779848,1,1,0,19.028938,0.36246756,-1.4410432,-1.7546989,-1.2898921,-1.2152531,-1.8482268,-1.4880348,-1.7187104,-1.4499354,-1.4458222,-1.8482268,2,4,5,7,8,1,3,3,3,7,4,7,7,6,3,3,2,3,8,5,0.32678905,0.89128809
-18.419295,0.99991051,0.22504149,1,3,0,18.435554,0.37025322,-1.4410526,-1.7462137,-1.2933634,-1.215245,-1.8575909,-1.4996999,-1.7074405,-1.4444252,-1.4446613,-1.8575909,5,5,8,6,7,2,5,2,5,7,2,6,6,7,7,4,2,2,8,6,0.33575386,0.58387053
-18.407261,0.99949305,0.40663529,2,3,0,18.429757,0.38301942,-1.4412166,-1.7326995,-1.2992004,-1.2157636,-1.8732644,-1.5188713,-1.6891881,-1.4355057,-1.4431123,-1.8732644,4,8,5,6,3,3,5,3,5,3,4,5,7,8,8,1,4,4,6,3,0.34917215,0.40554828
-18.557144,0.9676004,0.75175311,2,3,0,18.614564,0.49422353,-1.4507463,-1.6348029,-1.3573216,-1.2450416,-2.0272181,-1.6882382,-1.5423482,-1.3640751,-1.447278,-2.0272181,1,7,7,6,5,3,6,1,4,6,3,7,4,7,7,1,3,5,3,7,0.40533163,0.54323338
