# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:34:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad3f21520a.json
# init = 2 (Default)
# random
#   seed = 505248306
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201034-1-33a26b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201034-1-31cc89.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-17.847854,0.90618853,1,2,3,0,18.465892,0.26194141,-1.2513987,-0.81955648,-1.7401623,-1.5257589,-1.5249199,-1.6648499,-1.5249199,-1.4498804,-1.5298372,-1.5298372,4,7,8,3,1,8,6,6,2,8,1,8,7,3,3,5,3,8,3,5,0.14839297,0.57467726
-17.847854,5.7958335e-44,12.129678,1,1,0,17.854651,0.26194141,-1.2513987,-0.81955648,-1.7401623,-1.5257589,-1.5249199,-1.6648499,-1.5249199,-1.4498804,-1.5298372,-1.5298372,5,5,7,4,4,6,4,6,7,3,3,6,5,3,3,6,5,6,4,4,0.14839297,0.29667011
-17.847854,0.0098079029,1.9488818,1,1,0,18.147745,0.26194141,-1.2513987,-0.81955648,-1.7401623,-1.5257589,-1.5249199,-1.6648499,-1.5249199,-1.4498804,-1.5298372,-1.5298372,3,5,5,2,2,5,8,6,4,7,2,7,6,2,2,7,5,4,7,8,0.14839297,0.81544682
-19.829197,0.97767854,0.19169885,3,11,0,20.371353,0.062011508,-1.2153507,-0.42489695,-1.5919543,-1.7010874,-1.5483935,-1.5814693,-1.5483935,-1.4440752,-1.5423349,-1.5423349,1,7,2,2,7,7,4,4,2,5,4,8,3,2,6,3,5,7,5,7,-1.0526934,0.49328151
-19.555505,1,0.23936346,2,3,0,19.829969,0.072201045,-1.215666,-0.44446364,-1.5974506,-1.691392,-1.5463049,-1.5848169,-1.5463049,-1.4432773,-1.5396737,-1.5396737,2,7,4,4,8,3,6,7,6,5,1,7,5,5,4,3,4,8,1,5,-0.9114815,0.26922131
-20.298281,0.98869065,0.36941343,1,3,0,20.651402,0.048096196,-1.2152207,-0.39826675,-1.584798,-1.714457,-1.5514,-1.5770527,-1.5514,-1.4453659,-1.5463163,-1.5463163,4,5,5,2,2,6,7,3,5,8,2,8,4,4,4,4,4,7,4,7,-1.292084,0.83106144
-20.572047,0.99455164,0.60224863,1,1,0,20.614968,0.04158227,-1.2152815,-0.38583671,-1.5815866,-1.7207666,-1.5528685,-1.5750466,-1.5528685,-1.4460506,-1.5483177,-1.5483177,5,6,3,2,5,2,2,6,2,4,4,8,6,6,4,6,7,8,4,6,-1.4307935,0.25828379
-20.106215,1,1.0532521,1,1,0,20.791691,0.053325539,-1.2152283,-0.40826204,-1.58744,-1.7094153,-1.5502493,-1.5786915,-1.5502493,-1.4448535,-1.5447731,-1.5447731,3,5,5,2,3,3,5,7,2,3,2,8,3,4,5,7,5,6,6,3,-1.1943804,0.41745359
-20.106215,0.02162325,1.9322684,1,1,0,20.496184,0.053325539,-1.2152283,-0.40826204,-1.58744,-1.7094153,-1.5502493,-1.5786915,-1.5502493,-1.4448535,-1.5447731,-1.5447731,4,6,6,2,6,6,4,4,5,5,3,8,3,2,6,5,4,7,5,1,-1.1943804,0.28740653
-20.251999,0.99991029,0.16409874,3,7,0,20.252752,0.049302837,-1.215218,-0.4005718,-1.5854026,-1.7132918,-1.5511322,-1.5774286,-1.5511322,-1.4452448,-1.5459552,-1.5459552,1,8,5,3,6,4,3,6,2,6,5,8,6,5,6,4,6,6,2,6,-1.2685739,0.15659417
