# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:34:45 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad413c2857.json
# init = 2 (Default)
# random
#   seed = 2123622647
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201034-2-1c1970.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201034-2-0c2c73.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.68403,0.66678561,2,2,3,0,18.704092,0.521847,-1.3736837,-1.3697811,-2.0705509,-1.3481446,-1.5509595,-1.8310956,-1.5509595,-1.5187523,-1.6468462,-1.6468462,3,4,8,4,3,7,5,4,2,7,3,6,8,1,3,6,7,7,3,5,0.40355412,0.66616006
-18.68403,1.9012037e-51,7.8489291,1,1,0,18.829408,0.521847,-1.3736837,-1.3697811,-2.0705509,-1.3481446,-1.5509595,-1.8310956,-1.5509595,-1.5187523,-1.6468462,-1.6468462,6,8,5,5,8,5,6,6,3,5,2,7,4,1,1,8,6,8,3,5,0.40355412,0.17878705
-17.833152,1,1.1084667,1,1,0,18.195492,0.27379998,-1.2553032,-0.84370578,-1.7516974,-1.5163709,-1.5246952,-1.6709822,-1.5246952,-1.451577,-1.5317753,-1.5317753,1,7,5,3,7,2,6,4,3,5,2,7,3,2,4,3,5,6,2,6,0.17647225,0.42156443
-17.833189,1,1.4173564,1,3,0,17.833339,0.32123861,-1.2726552,-0.94118641,-1.8010565,-1.4799928,-1.5251227,-1.6968709,-1.5251227,-1.4597942,-1.542637,-1.542637,2,6,3,2,7,2,6,4,6,5,3,5,7,3,3,5,5,8,3,7,0.26870275,0.35176515
-17.833189,0.57786548,2.1795434,1,1,0,17.914863,0.32123861,-1.2726552,-0.94118641,-1.8010565,-1.4799928,-1.5251227,-1.6968709,-1.5251227,-1.4597942,-1.542637,-1.542637,3,6,7,3,5,3,7,6,5,7,4,8,3,1,4,1,7,6,3,4,0.26870275,0.53473162
-19.540602,0.65347039,1.0518702,2,3,0,19.54967,0.61809378,-1.4362777,-1.5855563,-2.238795,-1.2986843,-1.5777334,-1.9104182,-1.5777334,-1.5602967,-1.7338584,-1.7338584,4,4,7,5,1,7,5,5,3,5,4,8,4,2,1,3,7,4,2,8,0.34806419,0.72935293
-18.552372,1,0.63201469,1,1,0,19.368775,0.50324549,-1.3625845,-1.3288685,-2.0411386,-1.3587901,-1.5468871,-1.8169136,-1.5468871,-1.5116934,-1.6329682,-1.6329682,3,3,8,2,3,5,3,6,2,7,1,7,5,3,4,6,8,5,4,2,0.40542297,0.76721182
-18.552372,0.68242539,1.1251135,1,1,0,19.347003,0.50324549,-1.3625845,-1.3288685,-2.0411386,-1.3587901,-1.5468871,-1.8169136,-1.5468871,-1.5116934,-1.6329682,-1.6329682,1,6,8,3,6,5,6,1,3,6,1,6,5,4,6,4,4,7,2,6,0.40542297,0.84349234
-18.635775,0.97745516,0.76131533,1,1,0,18.82664,0.51520197,-1.3696806,-1.3551372,-2.0599332,-1.3519084,-1.5494644,-1.8259874,-1.5494644,-1.5161942,-1.6417835,-1.6417835,3,6,5,5,4,7,4,3,1,6,3,8,6,3,3,7,5,4,4,6,0.40454028,0.56152781
-17.853632,1,1.3168244,1,1,0,18.159726,0.33786053,-1.2793697,-0.97567886,-1.8195884,-1.4676982,-1.5257775,-1.7064597,-1.5257775,-1.4632071,-1.5476362,-1.5476362,3,7,6,2,3,2,5,3,3,8,1,8,3,1,4,2,5,3,1,5,0.2943583,0.80403561
