# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:35:49 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4212f5b9.json
# init = 2 (Default)
# random
#   seed = 1240411039
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201035-1-19c433.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201035-1-1a8829.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.798841,0.96651274,0.5,2,3,0,17.144422,0.64863705,-1.2574531,-1.3768442,-1.4578862,-2.5559687,-1.4477657,-1.2574531,-1.2850585,-0.76348274,-1.2157041,-1.22359,7,4,8,7,5,8,2,8,7,7,7,3,8,8,6,8,1,8,2,8,0.31294196,0.68843128
-16.798841,1.6395298e-87,13.535766,1,1,0,17.28027,0.64863705,-1.2574531,-1.3768442,-1.4578862,-2.5559687,-1.4477657,-1.2574531,-1.2850585,-0.76348274,-1.2157041,-1.22359,7,5,7,4,8,8,2,4,8,7,7,1,5,7,4,6,2,7,7,7,0.31294196,0.66878916
-16.798841,0.022855853,2.2466524,1,3,0,16.81071,0.64863705,-1.2574531,-1.3768442,-1.4578862,-2.5559687,-1.4477657,-1.2574531,-1.2850585,-0.76348274,-1.2157041,-1.22359,7,5,8,6,2,7,2,8,5,8,8,6,6,7,4,8,2,7,7,6,0.31294196,0.1658627
-16.791426,1,0.23309357,1,1,0,16.800244,0.64655336,-1.2564931,-1.3787571,-1.4563861,-2.5526081,-1.447375,-1.2564931,-1.2859549,-0.76628378,-1.2155794,-1.2232506,8,3,8,6,6,8,5,5,5,8,7,5,6,8,6,6,3,8,7,8,0.31563717,0.42284808
-17.068357,0.9661277,0.31462879,2,5,0,18.068349,0.39089206,-1.2183034,-1.6780733,-1.3028889,-2.1939248,-1.4821985,-1.2183034,-1.4300773,-1.1191065,-1.3139328,-1.2413809,8,1,4,6,7,8,2,8,3,6,8,5,3,8,7,8,2,8,7,8,0.35667586,0.44726163
-17.192366,0.99013292,0.44418093,1,1,0,17.198619,0.36936603,-1.2208777,-1.7087194,-1.2929644,-2.1681333,-1.4919624,-1.2208777,-1.4450504,-1.149675,-1.3305301,-1.2495816,8,3,6,7,7,8,2,8,6,8,7,4,5,5,5,6,5,4,8,8,0.33476263,0.49891894
-16.643323,0.99235101,0.73097173,1,3,0,17.231509,0.57856345,-1.2318639,-1.4461238,-1.4095421,-2.4471044,-1.4410423,-1.2318639,-1.3178298,-0.858324,-1.2210874,-1.2159552,8,2,6,8,7,4,2,6,7,6,6,5,4,7,6,3,3,6,8,8,0.38046636,0.5005576
-16.679346,0.44544501,1.2737307,2,3,0,17.5637,0.4997662,-1.2175588,-1.5356128,-1.3605455,-2.3343496,-1.4483623,-1.2175588,-1.3608188,-0.9665907,-1.2477554,-1.2176039,6,2,6,6,4,7,2,6,8,7,7,1,6,5,6,8,2,4,4,6,0.40546489,0.73300987
-17.115624,0.97999178,0.40975283,3,7,0,17.22454,0.71182374,-1.293191,-1.3233627,-1.5051466,-2.6616683,-1.4655208,-1.293191,-1.2602723,-0.67909056,-1.2290539,-1.2369109,8,1,6,3,8,6,5,6,4,6,8,5,6,8,8,8,1,4,8,8,0.20765154,0.62816792
-17.224954,0.97848999,0.71230016,1,1,0,17.309413,0.72756161,-1.3042716,-1.3114582,-1.5174429,-2.6891776,-1.4717979,-1.3042716,-1.2548459,-0.65823407,-1.2355539,-1.2411017,8,1,6,5,4,7,2,8,6,8,8,3,6,7,5,8,6,5,7,6,0.1733601,0.62096319
