# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:35:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad213a1be6.json
# init = 2 (Default)
# random
#   seed = 769262645
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201035-1-1fa8d9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201035-1-812b96.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.128014,0.33776944,2,1,3,0,18.142014,0.18383394,-1.2303015,-0.66261861,-1.672004,-1.5904695,-1.5296847,-1.6278082,-1.5296847,-1.4423815,-1.5246709,-1.5246709,1,8,4,2,3,7,6,4,4,2,2,8,4,2,5,5,8,7,8,5,-0.1051004,0.53723611
-18.128014,3.8582037e-09,4.3152959,1,3,0,18.166666,0.18383394,-1.2303015,-0.66261861,-1.672004,-1.5904695,-1.5296847,-1.6278082,-1.5296847,-1.4423815,-1.5246709,-1.5246709,3,6,4,5,2,5,7,4,5,6,2,7,5,4,8,5,3,4,5,7,-0.1051004,0.51599707
-18.101664,1,0.51042026,1,1,0,18.141044,0.18832278,-1.2312873,-0.67153973,-1.6755587,-1.586617,-1.5292572,-1.6297805,-1.5292572,-1.4426363,-1.5246145,-1.5246145,2,4,7,2,5,8,6,5,1,7,5,6,7,2,4,3,7,7,3,6,-0.086490922,0.63826774
-17.987307,1,0.5898224,1,1,0,18.089311,0.21161507,-1.2368576,-0.71802092,-1.6947076,-1.5668865,-1.5273388,-1.6403202,-1.5273388,-1.4443075,-1.5250095,-1.5250095,4,6,6,1,2,4,5,3,3,8,3,8,4,3,3,4,6,6,6,6,0.0010042996,0.70512318
-17.895948,1,0.85135101,1,1,0,17.970676,0.2386449,-1.2442523,-0.77236479,-1.7184214,-1.5445398,-1.5257455,-1.653195,-1.5257455,-1.4469708,-1.5269224,-1.5269224,1,6,4,4,4,2,7,7,3,8,1,7,6,3,7,6,5,7,2,7,0.086325455,0.6403058
-17.895948,0.19627463,1.3884598,1,1,0,18.31957,0.2386449,-1.2442523,-0.77236479,-1.7184214,-1.5445398,-1.5257455,-1.653195,-1.5257455,-1.4469708,-1.5269224,-1.5269224,3,7,6,2,5,5,7,8,3,6,2,8,5,2,3,4,7,2,2,3,0.086325455,0.41347886
-17.874776,0.99984764,0.20729809,1,3,0,17.911735,0.2473923,-1.2468532,-0.7900457,-1.7264424,-1.5374356,-1.5253759,-1.6575104,-1.5253759,-1.4479972,-1.5278787,-1.5278787,1,7,4,8,1,6,5,4,4,7,2,7,5,1,4,2,5,6,3,1,0.11076835,0.70550069
-17.824381,0.99719094,0.36209983,2,5,0,17.983635,0.28613196,-1.2595501,-0.86891119,-1.7640314,-1.5067322,-1.5246018,-1.6775027,-1.5246018,-1.453494,-1.5341184,-1.5341184,3,5,8,1,2,6,6,7,4,5,1,8,5,5,5,6,2,7,4,7,0.20340014,0.80898187
-18.581234,0.82852527,0.65170802,1,3,0,19.177124,0.13019733,-1.2208182,-0.55692246,-1.6328822,-1.6377403,-1.5362361,-1.6057026,-1.5362361,-1.4410501,-1.52863,-1.52863,2,8,5,4,4,6,7,5,5,5,4,6,6,2,2,4,2,8,4,3,-0.38643352,0.64122468
-18.500762,1,0.70378344,2,3,0,18.639143,0.13758368,-1.2218654,-0.57138025,-1.6379046,-1.6310958,-1.5351761,-1.6085871,-1.5351761,-1.4410433,-1.5277264,-1.5277264,2,5,5,1,6,6,7,6,1,4,2,6,5,6,3,7,3,5,3,6,-0.33978064,0.65661798
