# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:35:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad8648d7a.json
# init = 2 (Default)
# random
#   seed = 437418031
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201035-1-85b8b9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201035-1-65a0f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.356828,0.0094609594,2,1,1,0,18.425026,0.15262103,-1.2242573,-0.60090968,-1.6484884,-1.6177012,-1.5331738,-1.6146167,-1.5331738,-1.4412186,-1.5262396,-1.5262396,3,8,5,6,2,1,3,3,4,3,2,8,5,5,1,5,6,7,2,3,-0.25364517,0.25725321
-18.356828,0.00036745366,2.3755794,1,1,0,18.430751,0.15262103,-1.2242573,-0.60090968,-1.6484884,-1.6177012,-1.5331738,-1.6146167,-1.5331738,-1.4412186,-1.5262396,-1.5262396,6,7,5,4,3,3,5,2,5,5,4,8,6,1,5,6,6,3,6,4,-0.25364517,0.68868897
-18.452775,0.99851533,0.2356317,2,3,0,18.502748,0.14231138,-1.2225801,-0.58065033,-1.6411802,-1.6268653,-1.5345241,-1.61046,-1.5345241,-1.4410712,-1.5272079,-1.5272079,5,7,6,1,3,3,6,4,4,3,4,8,6,3,3,5,2,6,5,6,-0.31149248,0.58328052
-19.095244,0.99361443,0.24518252,2,5,0,19.271596,0.094192394,-1.2169611,-0.48688673,-1.610053,-1.6707404,-1.5421226,-1.5923691,-1.5421226,-1.4419735,-1.5346634,-1.5346634,5,3,8,2,2,6,5,4,6,6,1,6,6,2,5,5,2,7,3,5,-0.66958473,0.69635601
-19.194213,0.99955433,0.32615206,2,3,0,19.195755,0.088836748,-1.2165696,-0.47653074,-1.6068905,-1.6757353,-1.5431002,-1.5904887,-1.5431002,-1.4422388,-1.5357912,-1.5357912,1,6,8,2,4,8,6,4,5,7,3,8,4,4,5,4,6,6,4,4,-0.72222862,0.51766351
-18.180416,0.98021949,0.50949795,2,5,0,20.065367,0.4392796,-1.3270123,-1.190055,-1.947162,-1.3979386,-1.5355368,-1.7708998,-1.5355368,-1.4898643,-1.5920532,-1.5920532,6,8,7,4,1,7,4,7,2,7,2,6,7,3,5,7,7,7,4,7,0.39060741,0.1177025
-17.839307,1,0.81640987,1,3,0,18.075325,0.32714934,-1.275006,-0.95343165,-1.8075719,-1.4755937,-1.5253254,-1.7002497,-1.5253254,-1.4609764,-1.544343,-1.544343,1,7,5,3,3,4,6,6,6,3,3,8,8,5,4,6,7,5,1,4,0.27818908,0.084327587
-18.576933,0.57489494,1.4595586,1,1,0,18.5858,0.13057635,-1.2208698,-0.55766359,-1.6331371,-1.6373983,-1.5361805,-1.6058494,-1.5361805,-1.4410483,-1.5285808,-1.5285808,2,3,5,2,7,4,5,5,3,6,4,7,3,4,5,2,4,6,5,6,-0.38396248,0.20193512
-18.584928,0.98481287,0.70618309,2,3,0,19.075656,0.12987313,-1.2207741,-0.5562886,-1.6326644,-1.638033,-1.5362838,-1.6055772,-1.5362838,-1.4410519,-1.5286723,-1.5286723,3,7,5,3,2,5,6,7,1,7,4,7,3,3,3,2,6,6,3,7,-0.38855401,0.25567436
-18.643794,0.9830522,1.2497223,1,1,0,18.956661,0.12486776,-1.2201157,-0.54650971,-1.6293302,-1.6425613,-1.5370321,-1.6036529,-1.5370321,-1.4410934,-1.5293528,-1.5293528,2,6,5,1,3,6,8,6,1,6,1,8,7,3,4,7,4,7,5,6,-0.42212086,0.69531401
