# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:35:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad1f965556.json
# init = 2 (Default)
# random
#   seed = 1017921004
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201035-1-8f2a39.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201035-1-782319.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.020067,0.36682882,2,1,3,0,20.295665,0.91069271,-1.5237017,-1.2213411,-1.6752956,-3.0485741,-1.6086939,-1.5237017,-1.2166021,-0.42015603,-1.4510956,-1.3124613,8,1,6,5,6,5,4,8,7,8,8,2,3,8,6,8,3,8,8,7,-0.71746245,0.54282447
-20.020067,1.710095e-16,4.5494262,1,1,0,20.165069,0.91069271,-1.5237017,-1.2213411,-1.6752956,-3.0485741,-1.6086939,-1.5237017,-1.2166021,-0.42015603,-1.4510956,-1.3124613,8,2,7,6,8,7,2,8,5,8,8,3,5,6,8,8,1,8,8,6,-0.71746245,0.67245481
-19.300357,1,0.54660587,3,7,0,20.014822,0.88253307,-1.4761024,-1.2286917,-1.6492927,-2.9881799,-1.5790499,-1.4761024,-1.2192149,-0.45622415,-1.39541,-1.2989748,7,3,6,3,5,8,1,8,8,7,7,4,5,7,7,8,1,8,6,5,-0.47479795,0.26680005
-18.729731,0.98508446,0.63730974,3,7,0,20.1157,0.85411233,-1.434211,-1.2387355,-1.6236769,-2.929244,-1.5525968,-1.434211,-1.2231435,-0.49282258,-1.3496258,-1.2862423,6,3,7,7,6,5,3,7,6,4,7,1,7,8,8,8,2,7,8,5,-0.2908514,0.48512327
-16.631773,0.99248811,0.88645951,2,3,0,18.415412,0.55109238,-1.2252816,-1.4759727,-1.3917994,-2.4066751,-1.4418722,-1.2252816,-1.3321037,-0.89587182,-1.2281144,-1.2152189,8,5,8,7,5,7,1,8,6,3,8,2,7,7,7,8,1,7,6,8,0.39496849,0.56847974
-16.631773,0.1370554,1.4161865,1,1,0,17.477618,0.55109238,-1.2252816,-1.4759727,-1.3917994,-2.4066751,-1.4418722,-1.2252816,-1.3321037,-0.89587182,-1.2281144,-1.2152189,7,5,6,4,5,6,1,6,3,8,8,2,8,8,5,8,3,7,6,8,0.39496849,0.44614948
-16.662135,0.99485174,0.17646857,2,7,0,17.133622,0.59435585,-1.2364843,-1.4296372,-1.4200543,-2.4709076,-1.4414294,-1.2364843,-1.3099808,-0.83683304,-1.2182381,-1.2169738,7,4,7,7,6,7,5,6,8,8,7,3,7,8,4,7,4,7,8,8,0.36920342,0.16935873
-16.877786,0.98219358,0.30268228,2,7,0,17.285187,0.66827238,-1.2671535,-1.359277,-1.4722069,-2.5880213,-1.4520448,-1.2671535,-1.2768549,-0.73714464,-1.2178196,-1.2271091,6,3,5,5,5,6,4,8,6,6,8,2,6,7,7,7,3,7,7,7,0.28525897,0.5531345
-17.144962,0.82421586,0.51878935,2,5,0,19.06369,0.37726847,-1.2198467,-1.6973755,-1.2965488,-2.1775287,-1.4882634,-1.2198467,-1.439506,-1.1384368,-1.3243113,-1.2464216,8,6,4,5,6,5,5,8,7,8,5,1,8,5,6,7,3,7,7,8,0.34332146,0.5145381
-17.015095,0.9998869,0.55206194,3,7,0,17.148139,0.40110918,-1.2173441,-1.6638095,-1.3077758,-2.2063876,-1.477911,-1.2173441,-1.4231147,-1.104646,-1.3064384,-1.2379288,8,3,6,6,5,7,6,7,7,8,6,3,7,7,3,7,5,7,8,5,0.36556188,0.49319358
