# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad38468cad.json
# init = 2 (Default)
# random
#   seed = 1786305289
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-1-01c527.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-1-6b2ea3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-16.906914,0.085923921,2,1,3,0,16.937132,0.42438731,-1.2158123,-1.6319953,-1.3193255,-2.2353224,-1.4689868,-1.2158123,-1.407603,-1.0718155,-1.2903127,-1.2310698,7,3,6,7,6,5,6,6,8,8,8,2,6,5,7,6,3,8,7,6,0.38233044,0.34320671
-16.906914,7.1589015e-05,2.7298999,1,1,0,17.076527,0.42438731,-1.2158123,-1.6319953,-1.3193255,-2.2353224,-1.4689868,-1.2158123,-1.407603,-1.0718155,-1.2903127,-1.2310698,7,5,6,6,4,8,5,5,6,7,7,1,8,7,5,7,2,5,5,5,0.38233044,0.53133618
-17.328259,0.9763087,0.28196912,1,3,0,17.748938,0.34850043,-1.224067,-1.7391901,-1.2838351,-2.1437269,-1.5023627,-1.224067,-1.4599531,-1.179439,-1.3476361,-1.2587933,6,3,5,7,8,8,3,8,8,8,8,4,7,7,6,7,2,5,7,7,0.30916512,0.73024402
-17.755733,0.98580815,0.28309741,1,3,0,17.940928,0.29461114,-1.2352946,-1.8213377,-1.2625791,-2.0833255,-1.5334109,-1.2352946,-1.5001787,-1.256926,-1.3962486,-1.2889267,8,4,7,5,7,8,3,8,8,7,7,5,7,6,5,5,3,5,6,6,0.22065445,0.56706568
-17.567914,1,0.37212612,1,1,0,17.75064,0.31653495,-1.2302218,-1.7873197,-1.2708139,-2.1074472,-1.5200575,-1.2302218,-1.4835148,-1.2252939,-1.3757182,-1.2755021,7,2,4,5,4,7,3,7,7,7,6,4,6,7,7,6,1,7,7,8,0.26085809,0.27378562
-17.351017,1,0.58543769,1,1,0,17.586008,0.34522726,-1.2246276,-1.744038,-1.2824476,-2.1399506,-1.504077,-1.2246276,-1.4623253,-1.1841201,-1.3504084,-1.2603562,6,3,6,6,4,7,3,6,5,8,8,1,5,7,8,8,1,7,6,7,0.30474006,0.40431151
-16.697118,0.68323604,1.0004089,2,3,0,18.160118,0.49057614,-1.2167623,-1.5468113,-1.3552165,-2.3218277,-1.4501834,-1.2167623,-1.3662341,-0.97933182,-1.2521078,-1.2185816,8,4,7,7,5,6,4,8,8,7,6,2,8,8,7,7,2,7,8,8,0.40510981,0.22311301
-16.748597,0.96456237,0.66950135,1,3,0,16.9543,0.63335252,-1.2507097,-1.3910901,-1.4469705,-2.5314976,-1.4451784,-1.2507097,-1.2917474,-0.78405623,-1.2152177,-1.2212551,5,3,7,8,6,8,5,6,7,7,8,4,6,5,6,8,4,8,8,7,0.33167692,0.055724019
-16.723385,0.59261348,1.0940059,2,3,0,17.330442,0.47902686,-1.2160002,-1.5611046,-1.348637,-2.3062711,-1.4527494,-1.2160002,-1.3731549,-0.99537803,-1.2579189,-1.2200604,6,3,6,7,6,6,6,6,5,8,8,1,8,7,6,8,4,5,6,8,0.40370407,0.4080061
-16.730832,0.95914384,0.56227771,1,3,0,17.130946,0.62712361,-1.2481561,-1.3970369,-1.4425807,-2.5216432,-1.4443072,-1.2481561,-1.2945481,-0.79245857,-1.2152982,-1.2204075,7,6,6,4,4,4,2,7,4,8,8,5,7,8,3,7,1,6,6,7,0.33863954,0.053871543
