# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14badc887ac6.json
# init = 2 (Default)
# random
#   seed = 14063692
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-1-5f20c4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-1-0b39dc.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.898366,0.41056031,2,2,3,0,18.95282,0.44720558,-1.5254031,-1.6802013,-1.3311967,-1.5310312,-2.1328168,-1.461393,-1.531197,-1.8158116,-1.3928785,-1.7014251,3,5,2,3,3,6,7,4,5,3,5,7,3,6,6,4,4,6,8,4,0.39425349,0.20675807
-18.898366,1.7770685e-17,4.9259292,1,1,0,18.92259,0.44720558,-1.5254031,-1.6802013,-1.3311967,-1.5310312,-2.1328168,-1.461393,-1.531197,-1.8158116,-1.3928785,-1.7014251,7,5,3,3,4,8,3,2,5,2,3,7,4,3,5,8,4,3,7,4,0.39425349,0.65937689
-18.351253,0.99996577,0.60595404,3,7,0,18.85391,0.72985457,-1.5925777,-1.4798085,-1.5192516,-1.5703583,-1.670192,-1.4727769,-1.4510387,-1.551742,-1.254081,-1.5420167,3,4,2,5,3,8,6,2,6,2,5,4,4,8,2,6,4,3,5,6,0.16805466,0.49949661
-18.535918,0.96553359,0.71601106,1,1,0,18.537438,0.77052114,-1.6159109,-1.4645849,-1.5520512,-1.5908885,-1.6149084,-1.4929584,-1.4459813,-1.5189549,-1.241635,-1.5327795,3,5,2,5,4,7,3,2,6,7,5,4,4,2,2,3,4,3,7,1,0.059126899,0.4342913
-18.895111,0.91032783,0.94977505,1,1,0,18.946249,0.81977439,-1.6488391,-1.4510668,-1.5935779,-1.6212099,-1.5519008,-1.5249639,-1.4421925,-1.4810871,-1.2295301,-1.5261994,2,5,5,7,3,6,2,4,6,6,5,6,7,4,5,7,2,5,6,6,-0.12051247,0.38386161
-20.127753,0.74772074,1.1912506,1,1,0,20.224456,0.90689949,-1.7198648,-1.4410524,-1.671757,-1.6903473,-1.4514438,-1.6044928,-1.4420249,-1.4192104,-1.2168774,-1.5270837,1,6,5,4,8,7,4,5,6,4,3,8,3,1,2,7,3,7,2,7,-0.68003984,0.32228331
-19.221035,0.9584871,0.9584193,1,3,0,20.924289,0.40357643,-1.5300115,-1.7252836,-1.3089727,-1.5401683,-2.2163448,-1.4769094,-1.5502151,-1.8620287,-1.4214474,-1.7412659,2,8,5,2,5,5,5,3,6,5,4,1,2,4,2,5,6,5,6,3,0.3675659,0.98923454
-18.213722,1,1.5097557,1,1,0,18.432901,0.64717868,-1.5557598,-1.5216427,-1.4568359,-1.5406139,-1.791449,-1.447491,-1.4665125,-1.6225284,-1.2856854,-1.5713505,6,4,3,2,4,6,1,5,5,3,7,5,3,4,3,7,5,4,7,3,0.31483308,0.68419525
-18.213722,3.8384117e-05,2.7794019,1,1,0,20.072881,0.64717868,-1.5557598,-1.5216427,-1.4568359,-1.5406139,-1.791449,-1.447491,-1.4665125,-1.6225284,-1.2856854,-1.5713505,6,3,3,4,2,7,4,3,6,5,8,4,4,4,3,8,5,6,5,4,0.31483308,0.29634721
-18.214398,0.99997427,0.22087673,2,7,0,18.215565,0.64139719,-1.5537149,-1.5251004,-1.4526903,-1.5391174,-1.8003669,-1.44646,-1.4678487,-1.627682,-1.2881941,-1.5739312,4,2,1,3,6,8,6,6,6,3,6,7,3,7,3,8,5,1,7,3,0.32211322,0.3626299
