# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad505a4b0a.json
# init = 2 (Default)
# random
#   seed = 1905598870
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-1-8553c9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-1-6601bd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.195916,2.4076483e-11,4,1,3,0,23.580831,0.12721913,-1.6608276,-2.0990408,-1.2204201,-1.6900785,-2.8249561,-1.6671553,-1.7098136,-2.1880859,-1.6404316,-2.099277,6,7,4,4,1,6,6,5,7,7,2,1,3,6,7,8,6,5,3,4,-0.40615557,0.5685377
-21.236854,0.52584734,2.3350648,2,3,0,21.259197,0.94607165,-1.7572604,-1.442694,-1.7088355,-1.7283172,-1.4110782,-1.6511707,-1.4447966,-1.3935988,-1.2152324,-1.5327987,7,4,4,6,5,6,7,3,7,5,1,8,2,6,1,7,3,4,7,3,-1.1837764,0.71328353
-18.996827,0.99935028,0.79515596,1,3,0,21.345223,0.83040245,-1.6566221,-1.4488764,-1.602794,-1.6285613,-1.5388832,-1.53303,-1.4417184,-1.4731853,-1.2273673,-1.5254457,3,5,1,2,6,2,5,6,5,4,6,5,2,4,5,8,2,2,5,8,-0.16841235,0.15361197
-18.86699,0.88375052,0.971907,2,3,0,20.177688,0.81664422,-1.6465929,-1.4517617,-1.5908808,-1.6191003,-1.5557742,-1.5226692,-1.4423556,-1.4834328,-1.2301982,-1.5264666,6,4,5,7,3,8,2,1,8,4,4,7,2,4,3,6,4,2,7,6,-0.10711916,0.7378657
-18.61695,1,1.0433502,1,1,0,18.9139,0.78386264,-1.6243228,-1.4603834,-1.5631064,-1.5985021,-1.5974099,-1.5007816,-1.4446992,-1.5084963,-1.2380261,-1.5304973,5,5,1,6,7,6,5,4,6,7,6,8,2,3,8,7,1,2,7,5,0.016396845,0.53641296
-18.858837,0.82117502,1.7167087,1,1,0,19.37587,0.81571967,-1.6459335,-1.4519713,-1.5900856,-1.618482,-1.5569218,-1.5219984,-1.4424059,-1.4841272,-1.2303983,-1.5265495,5,4,1,4,3,4,3,4,7,5,7,7,6,5,4,6,2,6,7,6,-0.1032222,0.11076362
-18.214102,1,1.7466519,1,1,0,18.329892,0.64290212,-1.5542405,-1.5241938,-1.4537666,-1.5394998,-1.7980401,-1.4467195,-1.4674978,-1.626338,-1.2875375,-1.5732527,3,7,2,6,7,3,3,1,6,6,3,5,1,2,4,6,3,4,6,5,0.32025132,0.29319516
-18.214102,1.0573141e-05,3.1622648,1,1,0,19.834602,0.64290212,-1.5542405,-1.5241938,-1.4537666,-1.5394998,-1.7980401,-1.4467195,-1.4674978,-1.626338,-1.2875375,-1.5732527,7,5,2,2,1,6,5,2,5,3,4,7,3,5,6,7,3,4,5,3,0.32025132,0.73528266
-18.352491,0.99517593,0.25310525,2,7,0,18.500103,0.55908177,-1.5321041,-1.5816859,-1.3968877,-1.5258139,-1.9334891,-1.4414366,-1.4903758,-1.7038899,-1.3278721,-1.6182252,2,7,1,7,7,7,3,4,8,4,7,5,3,5,1,5,3,4,6,5,0.39140409,0.27262341
-18.457757,0.88463343,0.46052673,2,5,0,19.955019,0.75559183,-1.6069422,-1.4697538,-1.5398522,-1.5828869,-1.6348651,-1.4849193,-1.4476381,-1.5308334,-1.2459547,-1.5357721,5,4,4,5,6,7,4,3,8,5,3,6,3,2,3,6,1,2,7,5,0.1025899,0.68187217
