# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad7932a08a.json
# init = 2 (Default)
# random
#   seed = 1401528104
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-2-69a4a0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-2-484925.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.436017,0.93620562,0.5,1,3,0,18.928325,0.75095561,-1.6042523,-1.4714586,-1.5361009,-1.5805124,-1.6411427,-1.4825735,-1.4482,-1.5345597,-1.2473556,-1.5367956,6,6,3,4,5,6,1,1,7,3,5,4,2,3,2,6,5,5,6,4,0.11522661,0.83746515
-18.436017,5.4151696e-77,12.810071,1,1,0,18.553484,0.75095561,-1.6042523,-1.4714586,-1.5361009,-1.5805124,-1.6411427,-1.4825735,-1.4482,-1.5345597,-1.2473556,-1.5367956,5,4,2,3,5,5,3,2,8,6,4,7,4,1,4,5,2,2,7,5,0.11522661,0.45881087
-18.436017,0.00087554672,2.0917619,1,1,0,18.996282,0.75095561,-1.6042523,-1.4714586,-1.5361009,-1.5805124,-1.6411427,-1.4825735,-1.4482,-1.5345597,-1.2473556,-1.5367956,3,5,2,5,1,6,3,2,5,5,7,6,4,3,2,7,1,4,6,3,0.11522661,0.25327926
-21.23904,0.97131109,0.20277764,3,15,0,21.568594,0.94612915,-1.7573179,-1.4426994,-1.7088908,-1.7283762,-1.4110212,-1.6512448,-1.444802,-1.3935623,-1.215232,-1.5328096,6,5,3,3,5,4,2,2,6,4,4,7,4,5,2,7,6,4,4,7,-1.1847826,0.75032423
-21.829092,0.9984435,0.24964316,1,3,0,22.293827,0.95960289,-1.7709854,-1.4441959,-1.7219181,-1.7424839,-1.3978585,-1.6690663,-1.4461807,-1.385081,-1.2153011,-1.535555,4,3,3,4,3,4,2,4,4,3,7,5,4,4,7,8,3,4,8,5,-1.4584734,0.27224624
-22.445269,0.98822286,0.38419656,3,11,0,24.802265,0.16064084,-1.6349846,-2.0455051,-1.225673,-1.6633694,-2.7436713,-1.6360202,-1.6869606,-2.1455789,-1.6106305,-2.0454737,7,6,4,2,6,5,7,5,4,4,4,4,3,5,5,5,5,4,2,1,-0.21194133,0.53165382
-18.378643,0.99282251,0.62611533,3,7,0,21.983099,0.73731596,-1.5965995,-1.4767458,-1.5251675,-1.573827,-1.6598309,-1.4760778,-1.4499824,-1.5456246,-1.251638,-1.540065,1,6,4,2,1,5,7,3,4,5,2,6,3,3,2,4,1,7,7,6,0.15021736,0.55498402
-18.323851,1,1.0898164,1,1,0,18.408564,0.7215173,-1.5882212,-1.4833725,-1.5126959,-1.5666388,-1.6818844,-1.4692962,-1.4522866,-1.558631,-1.2568936,-1.5443337,5,7,3,5,3,7,3,3,6,3,5,7,6,5,6,8,4,1,8,4,0.1869612,0.60331588
-18.323851,0.0024824728,2.0000071,1,1,0,18.88795,0.7215173,-1.5882212,-1.4833725,-1.5126959,-1.5666388,-1.6818844,-1.4692962,-1.4522866,-1.558631,-1.2568936,-1.5443337,3,7,5,4,5,2,5,7,7,4,7,5,2,4,3,8,2,6,7,8,0.1869612,0.36267128
-18.743664,0.99643124,0.15991565,3,15,0,18.966355,0.80173672,-1.6361824,-1.4553799,-1.5781432,-1.6093968,-1.5744669,-1.5122364,-1.4432782,-1.4947181,-1.2335718,-1.5280211,6,5,3,3,3,7,5,4,3,1,5,4,1,4,1,8,3,2,6,4,-0.047374961,0.26483804
-18.612979,0.99888189,0.29591628,2,3,0,18.835525,0.78324894,-1.6239276,-1.4605679,-1.5625947,-1.5981422,-1.5982078,-1.5004083,-1.4447541,-1.5089742,-1.2381869,-1.5305941,3,4,6,3,4,8,2,2,4,6,5,5,3,3,3,6,6,5,8,6,0.018448979,0.42225594
-18.290288,0.9797769,0.55683911,3,7,0,19.060823,0.58219683,-1.5367548,-1.5644192,-1.4119406,-1.5280558,-1.8949487,-1.4410748,-1.4833955,-1.6819588,-1.3160007,-1.6043564,4,5,5,7,4,7,5,7,8,6,4,5,3,1,3,7,2,3,8,7,0.37806794,0.62103638
-18.425444,0.93340831,0.98942032,1,1,0,18.464925,0.53776132,-1.5287998,-1.5985551,-1.3834417,-1.5247643,-1.9698381,-1.4429482,-1.4972605,-1.7244828,-1.339309,-1.6320156,3,4,1,6,6,6,3,3,2,4,3,5,5,7,1,8,2,2,8,3,0.39974511,0.30746871
-18.229037,1,1.5187077,1,1,0,18.249221,0.67565935,-1.5668429,-1.5056152,-1.4776803,-1.5490862,-1.7483504,-1.4539385,-1.4604103,-1.5975265,-1.2738838,-1.5596487,2,6,6,1,5,6,3,3,8,4,5,2,4,6,3,8,2,3,3,3,0.27373229,0.76731814
-18.229037,6.7580974e-05,2.8628495,1,1,0,18.787681,0.67565935,-1.5668429,-1.5056152,-1.4776803,-1.5490862,-1.7483504,-1.4539385,-1.4604103,-1.5975265,-1.2738838,-1.5596487,5,5,2,3,5,8,3,3,5,3,6,6,2,2,4,8,3,4,6,5,0.27373229,0.87230935
-18.340749,0.99699557,0.2420053,2,7,0,18.40781,0.72677665,-1.5909526,-1.4811069,-1.5168247,-1.568966,-1.6744945,-1.4714665,-1.4514911,-1.5542786,-1.2551092,-1.5428553,3,5,2,2,5,8,1,2,5,6,5,2,1,3,4,7,3,5,7,5,0.17515771,0.63941825
-18.330047,1,0.45526475,1,1,0,18.34644,0.72349385,-1.589241,-1.4825141,-1.5142449,-1.5675057,-1.6791015,-1.4701017,-1.4519843,-1.5569927,-1.256219,-1.5437714,5,5,2,3,7,6,4,3,4,4,8,3,5,2,3,7,2,8,8,5,0.18257403,0.54783923
-18.675821,0.91008123,0.85797344,1,3,0,18.860329,0.48375791,-1.5246878,-1.6453047,-1.3513164,-1.5264272,-2.0653524,-1.4516611,-1.5165919,-1.7781977,-1.3703044,-1.6712768,2,6,1,3,3,7,2,3,7,5,6,3,3,4,7,6,3,7,7,4,0.40440933,0.28225822
-18.675821,0.60604317,1.2207515,2,3,0,18.848793,0.48375791,-1.5246878,-1.6453047,-1.3513164,-1.5264272,-2.0653524,-1.4516611,-1.5165919,-1.7781977,-1.3703044,-1.6712768,3,7,3,3,5,6,3,5,8,2,5,3,1,6,6,8,7,4,4,7,0.40440933,0.31188453
-18.520479,0.87706943,0.69300647,2,7,0,19.614331,0.76775691,-1.614215,-1.4655048,-1.5497787,-1.5893659,-1.6185737,-1.4914135,-1.4462704,-1.5211404,-1.2424126,-1.5332987,4,6,2,4,4,7,2,3,7,5,3,4,3,4,3,4,1,3,6,5,0.067506706,0.53444978
-18.215373,0.79045463,0.89137046,2,3,0,19.865663,0.63800576,-1.5525475,-1.5271606,-1.4502721,-1.5382744,-1.8056246,-1.4458981,-1.4686478,-1.6307174,-1.2896833,-1.5754772,3,6,2,2,3,7,1,1,7,3,4,7,5,8,4,6,2,3,5,7,0.32622453,0.4898211
-18.262667,0.97006879,0.88425832,2,3,0,18.323013,0.59546896,-1.5399262,-1.5549885,-1.4208038,-1.5298665,-1.873228,-1.4414808,-1.479617,-1.6695531,-1.3094376,-1.5968997,3,6,1,8,5,5,5,1,6,5,5,3,1,7,5,8,4,4,5,4,0.36832665,0.47026658
-18.262667,0.25370063,1.4859514,1,1,0,18.674455,0.59546896,-1.5399262,-1.5549885,-1.4208038,-1.5298665,-1.873228,-1.4414808,-1.479617,-1.6695531,-1.3094376,-1.5968997,6,7,1,4,6,3,5,3,7,5,4,4,2,2,5,6,4,5,6,2,0.36832665,0.1056963
-18.217359,0.99981279,0.30864121,2,5,0,18.274149,0.66126442,-1.5610314,-1.5135062,-1.4670575,-1.5445745,-1.7699604,-1.4503927,-1.4633944,-1.6100828,-1.279732,-1.5653532,6,1,2,6,3,7,4,4,8,7,5,5,3,5,2,7,2,4,8,4,0.29562251,0.520604
-18.218177,0.99814557,0.56548393,1,3,0,18.236135,0.6319259,-1.5505143,-1.5309129,-1.4459621,-1.5368274,-1.8150992,-1.4449696,-1.4701083,-1.6361815,-1.292385,-1.5783087,1,5,5,5,2,6,4,4,3,4,2,4,5,5,3,4,2,3,6,2,0.33330533,0.20399194
-18.318858,0.51505413,1.0208023,2,3,0,19.496396,0.5707559,-1.5343142,-1.5728321,-1.4044288,-1.5268019,-1.9139115,-1.4410858,-1.4867872,-1.6927622,-1.3218071,-1.6110805,6,5,5,4,3,7,1,2,4,6,6,4,3,2,5,7,3,6,4,5,0.38523629,0.338328
-18.836954,0.9316873,0.46433417,3,7,0,19.581236,0.81319849,-1.6441445,-1.4525528,-1.5879208,-1.6168071,-1.5600589,-1.5201853,-1.4425475,-1.4860245,-1.23095,-1.5267846,1,6,3,6,6,4,3,7,8,4,3,3,2,6,3,8,3,3,7,4,-0.09272927,0.26569432
-18.226059,0.96527947,0.68990131,1,3,0,19.118811,0.62154874,-1.5472205,-1.5374914,-1.4386808,-1.5345474,-1.8314156,-1.4436163,-1.4726842,-1.6455748,-1.2970912,-1.5833188,7,3,1,6,4,3,6,5,3,1,4,2,4,2,4,4,2,7,5,5,0.34455054,0.21272821
-18.226059,0.24024708,1.1181622,2,3,0,20.821562,0.62154874,-1.5472205,-1.5374914,-1.4386808,-1.5345474,-1.8314156,-1.4436163,-1.4726842,-1.6455748,-1.2970912,-1.5833188,4,6,5,1,3,6,1,7,7,6,6,2,3,4,4,4,4,4,6,1,0.34455054,0.89684679
