# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad7bf78a53.json
# init = 2 (Default)
# random
#   seed = 1352042368
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-2-6f89cf.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-2-59fb4d.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.21471,0.98487397,1,2,3,0,18.403612,0.65465795,-1.5585078,-1.5172715,-1.462242,-1.5426612,-1.7799968,-1.4489625,-1.4648325,-1.6159005,-1.2824961,-1.5681149,1,5,1,2,3,6,5,4,5,5,3,4,3,4,4,6,4,2,7,4,0.30489718,0.71371989
-18.21471,9.9460482e-55,13.995272,1,1,0,19.116229,0.65465795,-1.5585078,-1.5172715,-1.462242,-1.5426612,-1.7799968,-1.4489625,-1.4648325,-1.6159005,-1.2824961,-1.5681149,3,3,1,7,5,4,3,1,7,5,5,7,1,4,6,4,4,3,6,4,0.30489718,0.44057771
-18.853112,0.28781668,2.3460173,1,1,0,19.553593,0.81506579,-1.6454682,-1.4521207,-1.5895237,-1.6180461,-1.5577343,-1.5215259,-1.4424419,-1.4846187,-1.2305405,-1.5266092,5,2,4,2,4,4,4,4,4,3,4,8,2,6,1,7,2,2,7,8,-0.10048212,0.49261104
-21.874941,0.88998906,0.49591592,2,7,0,21.906415,0.19021021,-1.6145684,-2.0001102,-1.2317103,-1.6417474,-2.6735985,-1.6103053,-1.6675531,-2.1086826,-1.585002,-2.0004517,6,4,2,6,7,4,4,7,7,2,2,6,3,5,7,4,6,6,7,3,-0.078846545,0.2832967
-18.837433,0.99898566,0.51623811,1,3,0,22.975716,0.456541,-1.5249496,-1.6710396,-1.3362074,-1.52959,-2.1153694,-1.4586202,-1.5273512,-1.8061089,-1.3869934,-1.6934477,2,5,6,5,5,8,2,3,2,3,2,5,2,5,5,4,3,5,6,5,0.39788169,0.50077313
-19.108112,0.92243453,0.82131721,1,1,0,19.271757,0.41790369,-1.5280436,-1.7100676,-1.3160511,-1.5367322,-2.188553,-1.4713538,-1.5437807,-1.8466934,-1.4118741,-1.7277147,7,4,2,4,2,6,3,2,7,5,2,5,2,5,6,5,4,4,8,5,0.37813583,0.56367304
-18.239755,1,1.1169454,1,1,0,18.62456,0.60969488,-1.5437306,-1.5452737,-1.4304801,-1.5322345,-1.8502774,-1.4424234,-1.4757542,-1.6564078,-1.3026116,-1.5893159,6,5,3,4,6,4,4,4,6,1,6,3,3,4,4,8,3,5,7,5,0.35613634,0.48732825
-18.239755,0.021882249,2.0072575,1,1,0,19.049543,0.60969488,-1.5437306,-1.5452737,-1.4304801,-1.5322345,-1.8502774,-1.4424234,-1.4757542,-1.6564078,-1.3026116,-1.5893159,6,5,3,4,5,3,3,6,7,7,7,7,1,7,3,8,3,2,8,4,0.35613634,0.49888267
-18.796506,0.99044204,0.17133738,3,11,0,19.450517,0.80837822,-1.640762,-1.4537052,-1.583796,-1.61365,-1.5660891,-1.516784,-1.4428375,-1.489667,-1.23203,-1.5272711,3,8,4,5,4,6,5,6,6,3,5,4,3,4,6,3,3,5,6,4,-0.0731975,0.67676569
-18.332333,0.98941063,0.30654486,2,5,0,19.685257,0.72420847,-1.5896116,-1.4822058,-1.5148057,-1.5678214,-1.678097,-1.4703959,-1.451876,-1.5564011,-1.2559762,-1.5435701,3,1,1,6,1,6,5,5,7,4,5,5,2,5,5,6,3,5,8,2,0.18097346,0.69428512
