# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:36:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1100
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4ac7f7de.json
# init = 2 (Default)
# random
#   seed = 1794574271
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201036-2-996c3b.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201036-2-6a675a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.978738,0.022010658,2,1,3,0,18.982729,0.82858615,-1.6552748,-1.4492321,-1.6012126,-1.6272843,-1.5410931,-1.5316211,-1.4417906,-1.4745289,-1.2277252,-1.5255576,7,7,5,6,5,5,3,4,5,6,6,3,3,7,2,7,3,1,3,8,-0.15994946,0.56841025
-18.235994,1,2.4304077,1,1,0,18.240544,0.61255805,-1.5445469,-1.5433679,-1.4324494,-1.5327648,-1.8456997,-1.4426773,-1.4750002,-1.6537812,-1.3012642,-1.5878405,4,4,4,4,4,8,7,3,7,5,6,6,2,4,4,5,4,3,7,6,0.35345866,0.6026269
-18.235994,0.0021456301,2.5606244,1,1,0,19.003822,0.61255805,-1.5445469,-1.5433679,-1.4324494,-1.5327648,-1.8456997,-1.4426773,-1.4750002,-1.6537812,-1.3012642,-1.5878405,6,8,5,3,3,8,1,1,6,7,5,7,3,7,4,8,3,2,7,2,0.35345866,0.91264254
-18.650285,0.98737741,0.25573417,2,5,0,18.896652,0.48846423,-1.5248019,-1.6410021,-1.3540036,-1.5260376,-2.0568316,-1.4506297,-1.5148002,-1.7734282,-1.3674901,-1.6676061,2,2,5,3,5,6,3,1,8,5,4,6,6,3,5,6,1,3,6,3,0.40493267,0.62801864
-18.219901,0.99477736,0.33519832,3,7,0,18.969853,0.66543463,-1.5626708,-1.511176,-1.4701166,-1.5458331,-1.7636635,-1.451359,-1.4625088,-1.6064283,-1.2780131,-1.5636565,3,8,3,6,3,7,5,2,6,2,3,7,1,2,3,5,6,1,8,3,0.2895216,0.5322552
-18.357437,0.97878555,0.51683948,2,5,0,18.449253,0.73160645,-1.5935116,-1.4790786,-1.5206365,-1.5711608,-1.6677506,-1.4735361,-1.4507856,-1.5503016,-1.2535011,-1.5415481,3,5,5,4,6,8,3,5,8,4,5,6,3,1,8,3,1,5,8,4,0.16394602,0.69876634
-18.622218,0.93747924,0.82486399,1,1,0,18.62763,0.78467086,-1.6248445,-1.4601416,-1.5637808,-1.5989775,-1.59636,-1.5012753,-1.4446276,-1.5078675,-1.2378152,-1.5303709,5,3,4,4,3,2,2,2,5,2,6,7,2,2,4,8,3,1,8,3,0.013680999,0.62325442
-18.24151,1,1.2140984,1,1,0,18.433335,0.68529873,-1.5709744,-1.5005723,-1.4848929,-1.5523719,-1.7340782,-1.4566472,-1.4585272,-1.5892106,-1.2701031,-1.5560684,5,2,6,5,5,7,2,5,6,7,4,3,5,3,4,6,2,1,8,3,0.25772759,0.46439754
-18.24151,0.044492104,2.2304107,1,1,0,18.272931,0.68529873,-1.5709744,-1.5005723,-1.4848929,-1.5523719,-1.7340782,-1.4566472,-1.4585272,-1.5892106,-1.2701031,-1.5560684,4,7,1,7,4,5,4,2,5,5,5,7,5,3,3,5,3,3,7,3,0.25772759,0.30029336
-18.221253,0.99826884,0.20374531,2,7,0,18.415694,0.62724434,-1.5490007,-1.5338536,-1.4426655,-1.5357692,-1.8224376,-1.4443231,-1.4712574,-1.6404088,-1.2944934,-1.5805412,6,4,3,6,3,7,5,3,3,4,4,6,7,1,5,6,1,3,8,7,0.33850821,0.57939795
