# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:46:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad339d51d6.json
# init = 2 (Default)
# random
#   seed = 2057578003
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201046-2-5e325e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201046-2-82d567.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-23.862413,0.4508291,2,1,3,0,23.9584,0.76362062,-1.5258528,-1.919766,-2.9959771,-2.1173179,-2.1173179,-2.5508011,-1.9348131,-1.2435951,-2.1173179,-1.9156516,4,4,1,3,2,6,4,2,1,3,2,2,5,3,2,6,3,4,8,5,0.079758074,0.85170134
-23.862413,3.6975843e-34,5.3001171,1,3,0,24.582595,0.76362062,-1.5258528,-1.919766,-2.9959771,-2.1173179,-2.1173179,-2.5508011,-1.9348131,-1.2435951,-2.1173179,-1.9156516,6,2,2,2,2,7,3,2,6,2,4,1,3,2,1,5,5,4,5,1,0.079758074,0.42459527
-18.749662,1,0.66628572,2,3,0,23.129273,0.16625909,-1.6745962,-1.5253016,-1.9590325,-1.2005728,-1.2005728,-1.6585055,-1.5252579,-1.6057074,-1.2005728,-1.2474608,8,3,3,4,2,7,3,1,1,6,2,5,1,2,3,4,6,3,3,5,-0.18428106,0.68021749
-18.70052,1,0.79718821,2,3,0,18.743009,0.18092698,-1.6662878,-1.5247302,-1.9826387,-1.2216416,-1.2216416,-1.6697252,-1.5262575,-1.5929729,-1.2216416,-1.2544955,4,5,3,3,4,7,5,2,3,7,4,4,1,2,1,3,4,4,3,5,-0.11748432,0.78027662
-18.70052,0.24728192,1.1759741,1,3,0,21.006729,0.18092698,-1.6662878,-1.5247302,-1.9826387,-1.2216416,-1.2216416,-1.6697252,-1.5262575,-1.5929729,-1.2216416,-1.2544955,3,6,5,2,1,2,5,2,1,2,4,6,4,3,2,5,4,2,4,1,-0.11748432,0.3819461
-18.645583,0.99988449,0.20620222,3,9,0,18.726409,0.22804672,-1.6413574,-1.5259852,-2.0590451,-1.2897746,-1.2897746,-1.7089311,-1.5325168,-1.553231,-1.2897746,-1.2811209,2,1,3,6,4,4,8,6,5,4,2,3,5,1,2,5,7,3,4,2,0.054723456,0.62667414
-18.914281,0.98841728,0.34245988,2,7,0,19.028257,0.33096187,-1.5958826,-1.5454853,-2.2290512,-1.4410371,-1.4410371,-1.8118181,-1.5622193,-1.4727721,-1.4410371,-1.3586089,4,3,2,4,3,8,5,3,3,4,2,1,7,4,4,4,8,5,2,6,0.28409315,0.85852944
-19.010137,0.96821737,0.58211291,2,5,0,19.287633,0.12389647,-1.7000922,-1.5294909,-1.8913219,-1.1400923,-1.1400923,-1.6286893,-1.5249235,-1.6434423,-1.1400923,-1.2307395,6,1,2,6,4,8,6,2,1,8,2,2,4,1,2,5,2,7,2,2,-0.4288205,0.67015621
-19.241718,0.95175645,0.96089868,1,1,0,19.293921,0.10190992,-1.7142225,-1.5331431,-1.8564494,-1.1089157,-1.1089157,-1.6147162,-1.5262575,-1.6635819,-1.1089157,-1.2242989,4,5,2,2,4,3,2,4,5,4,3,4,7,1,3,2,3,5,2,1,-0.5993914,0.31877192
-20.508805,0.25924765,1.5342114,2,3,0,23.551331,0.044763694,-1.7539194,-1.5473293,-1.7666559,-1.0285529,-1.0285529,-1.583144,-1.5346213,-1.7176809,-1.0285529,-1.2154866,4,2,5,3,3,5,4,3,4,3,2,4,5,3,3,5,4,4,2,2,-1.3603949,0.31546905
-20.690068,0.99726418,0.27676284,3,7,0,21.329299,0.040333298,-1.7571807,-1.5487115,-1.7597447,-1.0223625,-1.0223625,-1.5809809,-1.5355689,-1.7219801,-1.0223625,-1.2153197,5,5,5,4,1,3,6,3,1,5,3,3,3,1,2,4,5,1,1,2,-1.4599877,0.34562509
-20.583254,1,0.51818214,1,1,0,20.736658,0.04287856,-1.7553038,-1.5479124,-1.7637143,-1.0259182,-1.0259182,-1.5822186,-1.5350192,-1.7195084,-1.0259182,-1.215406,3,4,4,1,2,3,2,4,4,2,3,5,6,1,2,8,7,3,1,3,-1.4014489,0.56149419
-19.051223,0.99060041,0.98149063,1,3,0,20.353383,0.1193674,-1.7029521,-1.5301609,-1.8841235,-1.1336583,-1.1336583,-1.6257275,-1.5251136,-1.64756,-1.1336583,-1.229283,6,3,4,2,4,4,3,2,3,5,4,6,4,3,2,5,4,3,2,4,-0.46090445,0.67723256
-19.519522,0.73263112,1.8024752,1,1,0,19.984395,0.083106589,-1.726805,-1.5370637,-1.82677,-1.0823671,-1.0823671,-1.6035735,-1.5282242,-1.6811041,-1.0823671,-1.2200892,4,6,3,2,3,3,3,2,1,1,5,5,4,3,1,3,3,6,1,1,-0.78263587,0.23105046
-19.519522,0.072000969,1.4747802,1,1,0,20.319101,0.083106589,-1.726805,-1.5370637,-1.82677,-1.0823671,-1.0823671,-1.6035735,-1.5282242,-1.6811041,-1.0823671,-1.2200892,3,3,4,2,2,5,6,5,1,1,2,6,2,2,5,3,4,5,2,4,-0.78263587,0.51827855
-19.958179,0.99843813,0.15644604,2,5,0,20.008891,0.062304834,-1.7412696,-1.5422553,-1.7940896,-1.0531185,-1.0531185,-1.5921095,-1.5312948,-1.7008072,-1.0531185,-1.2169045,6,3,3,6,4,8,1,1,2,4,3,5,4,1,3,7,3,1,1,1,-1.0482872,0.66064851
-18.748598,0.99921928,0.29651309,2,5,0,20.131704,0.16652818,-1.6744414,-1.525287,-1.9594648,-1.2009588,-1.2009588,-1.6587072,-1.5252722,-1.6054723,-1.2009588,-1.2475842,4,3,4,5,2,4,3,1,2,2,4,5,4,1,6,5,3,4,1,4,-0.18298663,0.58300038
-19.191744,0.96950139,0.55923745,3,7,0,19.374958,0.10602638,-1.7115295,-1.5323827,-1.8629646,-1.1147418,-1.1147418,-1.6172547,-1.5259288,-1.6597826,-1.1147418,-1.2253827,1,7,2,2,2,8,5,1,2,3,1,4,3,2,1,4,5,6,1,5,-0.56438686,0.37544849
-18.987978,0.99949494,0.95586217,2,3,0,19.951448,0.12648881,-1.6984671,-1.5291267,-1.8954456,-1.1437778,-1.1437778,-1.6304042,-1.5248345,-1.6410926,-1.1437778,-1.2316029,5,2,3,4,2,6,7,1,2,4,1,6,1,2,2,7,6,5,2,1,-0.41107631,0.49505891
-18.987978,0.0032005272,1.7743052,1,1,0,19.525596,0.12648881,-1.6984671,-1.5291267,-1.8954456,-1.1437778,-1.1437778,-1.6304042,-1.5248345,-1.6410926,-1.1437778,-1.2316029,3,2,3,3,4,8,8,1,7,7,2,2,1,3,4,4,6,3,3,2,-0.41107631,0.91563558
-18.796825,0.99931988,0.16729899,2,7,0,19.152579,0.15565602,-1.6807672,-1.525997,-1.9420202,-1.1853838,-1.1853838,-1.6506831,-1.5248176,-1.6150194,-1.1853838,-1.242765,5,5,3,1,2,6,3,3,3,4,3,4,2,1,1,5,4,3,4,3,-0.23754254,0.23001834
-18.649079,0.99899184,0.31208241,2,5,0,18.88378,0.21141402,-1.6498544,-1.5250011,-2.031974,-1.2656454,-1.2656454,-1.6945372,-1.5297781,-1.5670549,-1.2656454,-1.2710419,8,6,1,2,2,5,5,3,1,3,4,2,1,4,4,6,3,5,4,2,0.00030872978,0.20032906
-18.674519,0.99699506,0.57589203,3,7,0,18.690957,0.25701478,-1.6273338,-1.5291224,-2.1064582,-1.3320071,-1.3320071,-1.7354633,-1.5386593,-1.5296933,-1.3320071,-1.3003657,6,1,5,3,1,1,8,2,5,1,3,4,2,6,5,4,3,4,3,2,0.13605865,0.37599279
-19.111836,0.78895707,1.0460625,1,1,0,19.135636,0.36837791,-1.5822791,-1.5584586,-2.2919573,-1.4968883,-1.4968883,-1.855322,-1.5784522,-1.4457475,-1.4968883,-1.392734,1,4,5,4,3,8,5,4,1,4,2,1,7,1,1,6,4,2,4,3,0.33364951,0.50088649
