# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:47:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad24cf7641.json
# init = 2 (Default)
# random
#   seed = 2054974266
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201047-1-79a873.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201047-1-16382c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-20.269565,1,2,1,1,0,20.337398,0.44496222,-2.2828245,-1.4446929,-2.1248338,-1.5952716,-1.6207671,-1.818153,-1.4620883,-1.6741338,-1.7464596,-1.7033707,3,8,6,5,1,6,1,7,4,2,4,7,5,5,5,7,2,5,1,3,0.39327447,0.71416319
-20.269565,3.3871856e-51,14.38551,1,3,0,20.279776,0.44496222,-2.2828245,-1.4446929,-2.1248338,-1.5952716,-1.6207671,-1.818153,-1.4620883,-1.6741338,-1.7464596,-1.7033707,3,5,3,7,3,5,4,7,4,5,3,6,8,5,5,7,5,8,4,5,0.39327447,0.10188935
-20.269565,0.0010583007,2.4311673,1,1,0,20.968899,0.44496222,-2.2828245,-1.4446929,-2.1248338,-1.5952716,-1.6207671,-1.818153,-1.4620883,-1.6741338,-1.7464596,-1.7033707,5,3,4,7,6,5,4,7,3,7,5,6,8,3,7,5,3,8,1,4,0.39327447,0.4812969
-23.481372,0.93497746,0.24046858,3,15,0,23.654267,0.087524934,-1.8524858,-1.4818585,-2.8754699,-1.5360765,-1.5276933,-2.2396856,-1.7069798,-1.4707306,-1.5681799,-2.1673601,6,4,5,7,7,8,6,7,1,6,6,3,7,4,6,4,5,5,4,7,-0.73566661,0.22421169
-20.318193,0.99952274,0.27015989,2,7,0,24.676629,0.4046822,-2.2294595,-1.4419221,-2.1939346,-1.5741591,-1.5969826,-1.8608397,-1.4764648,-1.63902,-1.718581,-1.7402036,3,8,8,4,7,6,5,8,3,3,3,4,5,6,4,6,3,7,7,2,0.36844636,0.070574647
-20.3043,0.97622974,0.41854692,3,7,0,20.933232,0.41252977,-2.2397576,-1.4423118,-2.1801908,-1.5779641,-1.6013495,-1.8524273,-1.4733853,-1.6455726,-1.7238437,-1.7327436,2,6,5,6,4,5,4,7,2,6,7,7,5,6,3,5,2,6,5,5,0.37438286,0.69770214
-20.315426,0.99920678,0.65902297,2,3,0,20.321206,0.4061521,-2.2313847,-1.4419896,-2.1913499,-1.5748605,-1.5977907,-1.8592605,-1.4758778,-1.640237,-1.7195606,-1.7387957,3,5,7,4,3,7,3,6,1,7,5,5,7,5,3,4,7,7,3,6,0.36959986,0.27343825
-21.860107,0.35646152,1.1711132,1,1,0,21.860717,0.75292605,-2.7339123,-1.536879,-1.7083003,-1.9036069,-1.9203957,-1.5329738,-1.4835619,-2.1007596,-2.0396503,-1.5363551,4,5,4,6,4,7,6,8,2,6,5,6,7,7,2,7,4,6,2,5,0.1099036,0.50422508
-20.704567,1,0.28460426,3,7,0,21.836787,0.61881078,-2.5278719,-1.480083,-1.8661211,-1.7346068,-1.7633681,-1.6480672,-1.4433075,-1.8744497,-1.8931837,-1.584678,5,5,5,8,8,6,4,7,2,1,4,7,5,6,5,5,3,8,2,2,0.34734434,0.16486008
-20.554672,1,0.52608684,3,7,0,20.691269,0.58936425,-2.4846515,-1.4712423,-1.905564,-1.7051251,-1.7345314,-1.6752423,-1.4412378,-1.834154,-1.8651208,-1.6002838,5,7,3,6,3,5,5,7,4,7,4,8,4,3,4,6,1,7,5,7,0.37299989,0.25898048
-21.39877,0.77454548,0.98617573,2,3,0,21.495455,0.71030563,-2.6667727,-1.5157375,-1.7546067,-1.8433433,-1.8657906,-1.5679841,-1.4649557,-2.0203089,-1.9896167,-1.5476763,5,6,4,6,7,5,3,5,5,7,4,6,3,8,4,5,2,8,1,6,0.21077072,0.18893058
-20.516583,1,0.91238269,1,1,0,21.114975,0.58065061,-2.4719981,-1.4688597,-1.9175717,-1.6968859,-1.7263729,-1.683413,-1.4410569,-1.8227819,-1.8570801,-1.6052491,4,4,1,5,4,6,2,3,5,3,4,6,7,8,3,4,4,6,1,5,0.37910257,0.23990986
-20.516583,0.068896897,1.7252072,1,1,0,20.711503,0.58065061,-2.4719981,-1.4688597,-1.9175717,-1.6968859,-1.7263729,-1.683413,-1.4410569,-1.8227819,-1.8570801,-1.6052491,6,7,7,5,6,8,2,7,7,7,7,3,4,5,4,7,5,8,3,4,0.37910257,0.50829347
