# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:51:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad339ad3b3.json
# init = 2 (Default)
# random
#   seed = 324096915
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201051-2-681a53.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201051-2-05af80.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-21.143712,0.96377254,1,2,3,0,21.192196,0.25581252,-1.2995253,-2.4816926,-1.8708717,-1.6004063,-2.2021832,-2.0291937,-1.6004063,-1.5306565,-1.6340917,-1.5771392,3,7,3,3,5,5,8,2,6,4,6,7,6,5,5,6,1,2,4,5,0.13298673,0.7882366
-21.143712,0,13.468496,0,1,1,21.155156,0.25581252,-1.2995253,-2.4816926,-1.8708717,-1.6004063,-2.2021832,-2.0291937,-1.6004063,-1.5306565,-1.6340917,-1.5771392,8,4,8,4,6,5,3,3,3,8,7,2,8,6,5,4,6,3,3,6,0.13298673,0.24585774
-21.143712,0.015267497,2.2321887,2,3,0,21.143736,0.25581252,-1.2995253,-2.4816926,-1.8708717,-1.6004063,-2.2021832,-2.0291937,-1.6004063,-1.5306565,-1.6340917,-1.5771392,4,4,8,6,8,5,6,2,6,7,8,6,8,5,3,1,7,3,5,7,0.13298673,0.33568332
-20.110564,0.9973983,0.22676574,3,11,0,21.582567,0.48275672,-1.5147481,-2.0632081,-1.5495381,-1.5265161,-2.6883857,-1.7792145,-1.5265161,-1.3709058,-1.7918935,-1.5246696,6,7,8,3,4,4,7,3,5,7,8,7,8,6,4,4,4,2,6,4,0.40427508,0.3266964
-20.173176,0.98850519,0.30321736,2,7,0,20.48238,0.5481687,-1.5957192,-1.9636962,-1.501578,-1.5251551,-2.8465371,-1.714387,-1.5251551,-1.3336685,-1.8457478,-1.5302944,5,6,8,5,3,3,7,2,5,7,6,6,8,8,4,8,3,1,3,2,0.39614088,0.15589135
-20.375026,0.98628669,0.45686968,2,5,0,20.375498,0.36651525,-1.3909648,-2.262754,-1.6790018,-1.5510283,-2.4276558,-1.9024139,-1.5510283,-1.447064,-1.7054552,-1.5371905,6,7,5,3,2,6,5,2,6,5,6,3,8,7,6,6,3,4,6,8,0.33152497,0.31675432
-20.664487,0.93112998,0.74361561,1,1,0,20.690056,0.31452569,-1.3445807,-2.3619041,-1.7592895,-1.5710514,-2.3190674,-1.9608062,-1.5710514,-1.485025,-1.6706102,-1.5524337,5,5,4,2,5,1,3,1,3,4,6,4,8,6,7,4,3,2,7,8,0.25742569,0.5269693
-20.157519,0.96489637,1.0712482,2,3,0,20.423091,0.43595568,-1.4617162,-2.139975,-1.5942358,-1.5330089,-2.5803608,-1.8275915,-1.5330089,-1.400078,-1.7556713,-1.526198,3,3,7,5,7,4,7,2,4,5,7,2,4,3,8,2,4,3,6,6,0.38892233,0.62249588
-20.157519,0.068720127,1.7602926,1,1,0,20.422298,0.43595568,-1.4617162,-2.139975,-1.5942358,-1.5330089,-2.5803608,-1.8275915,-1.5330089,-1.400078,-1.7556713,-1.526198,5,7,7,3,7,7,3,2,6,5,5,5,6,6,4,3,6,3,3,7,0.38892233,0.70916567
-20.131631,0.99989303,0.17338766,3,9,0,20.180562,0.52309195,-1.5637533,-2.0007897,-1.5180886,-1.5246055,-2.7848984,-1.7388538,-1.5246055,-1.3474443,-1.8246552,-1.5270772,7,2,6,1,7,3,5,6,3,3,6,3,7,4,6,5,4,2,5,8,0.40332988,0.68692294
