# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:52:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad1a45bc0f.json
# init = 2 (Default)
# random
#   seed = 520709128
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201052-1-397d0c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201052-1-1ae4fd.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.105229,0.017357269,2,1,1,0,18.22033,0.35217786,-1.4572991,-1.5004633,-1.5004633,-1.6956107,-1.4572991,-1.6126695,-1.5337901,-1.5559917,-1.6126695,-1.2234564,8,2,8,6,6,4,3,4,2,8,5,3,7,5,4,5,7,4,6,7,0.31400143,0.64916521
-18.105229,3.8288555e-07,2.4099315,2,3,0,20.916801,0.35217786,-1.4572991,-1.5004633,-1.5004633,-1.6956107,-1.4572991,-1.6126695,-1.5337901,-1.5559917,-1.6126695,-1.2234564,8,3,6,1,1,2,5,1,1,8,6,4,2,6,4,5,3,7,4,7,0.31400143,0.89181328
-17.959536,0.99937161,0.23985068,1,3,0,18.167007,0.38074731,-1.4370826,-1.4866771,-1.4866771,-1.7154045,-1.4370826,-1.601522,-1.5378992,-1.5465218,-1.601522,-1.2194242,5,6,6,5,5,6,2,2,4,6,6,4,6,7,4,6,4,2,8,7,0.34689825,0.24354194
-18.287537,0.9880066,0.25072275,3,11,0,18.881743,0.7289588,-1.254379,-1.4723925,-1.4723925,-2.0145193,-1.254379,-1.5262381,-1.6485015,-1.5699508,-1.5262381,-1.3053013,5,3,8,3,2,6,5,2,7,5,8,2,7,6,2,5,5,5,4,8,0.17013696,0.65922248
-18.337461,0.99830471,0.32875079,1,1,0,18.347979,0.73555448,-1.2522084,-1.4752826,-1.4752826,-2.0212413,-1.2522084,-1.5258931,-1.6516878,-1.5729962,-1.5258931,-1.310266,5,4,3,5,2,4,5,6,5,8,6,1,7,2,5,5,3,3,5,7,0.15450878,0.6174929
-17.616662,0.99965646,0.51182443,2,5,0,18.292303,0.51730907,-1.3507102,-1.4454356,-1.4454356,-1.8198701,-1.3507102,-1.5586841,-1.5679157,-1.5246685,-1.5586841,-1.2195607,6,1,8,8,3,5,3,4,4,5,6,1,5,5,4,4,4,5,8,8,0.40426597,0.57193866
-18.253971,0.81537341,0.87053556,1,3,0,18.336648,0.72435393,-1.2559269,-1.470456,-1.470456,-2.0098502,-1.2559269,-1.526503,-1.6463015,-1.5678858,-1.526503,-1.3019365,5,2,8,5,7,3,2,3,7,6,5,2,3,4,1,6,4,4,3,8,0.18064673,0.32772406
-19.034731,0.71154344,0.87696621,1,3,0,20.370082,0.23367542,-1.5486037,-1.5756443,-1.5756443,-1.6211045,-1.5486037,-1.6671008,-1.5248215,-1.6133425,-1.6671008,-1.2528212,6,4,8,4,1,4,3,6,4,8,5,3,6,7,2,1,3,5,7,7,0.071787796,0.64513765
-19.008593,1,0.64870674,2,3,0,19.204692,0.23618871,-1.5465459,-1.573755,-1.573755,-1.6225574,-1.5465459,-1.6658079,-1.5248757,-1.6118221,-1.6658079,-1.2520026,8,3,5,3,1,5,6,3,2,7,6,6,5,5,5,3,2,2,4,7,0.079200765,0.58472046
-17.655499,1,1.2039121,1,1,0,18.310489,0.47896956,-1.3731895,-1.4527629,-1.4527629,-1.7888909,-1.3731895,-1.5689737,-1.5577573,-1.5268713,-1.5689737,-1.215997,7,3,2,5,6,3,7,3,6,6,2,5,6,5,1,2,3,7,5,8,0.40369442,0.19827422
-17.655499,0.20848272,2.2593872,2,3,0,17.655881,0.47896956,-1.3731895,-1.4527629,-1.4527629,-1.7888909,-1.3731895,-1.5689737,-1.5577573,-1.5268713,-1.5689737,-1.215997,7,2,3,6,4,4,6,3,2,7,6,2,3,3,5,1,4,5,4,8,0.40369442,0.36343679
-17.61576,0.99980736,0.34936474,3,7,0,17.668818,0.51959992,-1.3494124,-1.4451071,-1.4451071,-1.8217622,-1.3494124,-1.5581121,-1.5685655,-1.524635,-1.5581121,-1.2198698,6,2,7,4,4,3,7,2,5,7,7,5,5,2,4,4,6,6,6,7,0.4039273,0.6947052
-17.633684,0.99411928,0.6621168,1,3,0,17.65307,0.56695956,-1.3237639,-1.4411625,-1.4411625,-1.8619188,-1.3237639,-1.5473674,-1.5830829,-1.5264484,-1.5473674,-1.2288635,7,4,3,2,4,6,2,7,3,7,7,5,4,6,1,3,5,5,6,8,0.38736801,0.54284382
-17.8325,0.87141613,1.2315863,1,1,0,17.870053,0.64723915,-1.2856594,-1.4475023,-1.4475023,-1.934563,-1.2856594,-1.5338665,-1.6124344,-1.54063,-1.5338665,-1.2568076,7,3,8,7,5,6,5,7,5,7,5,2,1,5,3,5,3,1,4,8,0.31475512,0.66307334
-17.8325,0.24359408,1.5565636,1,1,0,19.069547,0.64723915,-1.2856594,-1.4475023,-1.4475023,-1.934563,-1.2856594,-1.5338665,-1.6124344,-1.54063,-1.5338665,-1.2568076,7,5,6,5,4,3,5,7,4,3,8,3,7,1,2,4,4,5,3,8,0.31475512,0.14239619
-18.771715,0.98083824,0.28090154,3,7,0,18.840319,0.7834265,-1.2381403,-1.5005162,-1.5005162,-2.0712507,-1.2381403,-1.52461,-1.6760597,-1.5982462,-1.52461,-1.3518186,8,7,2,4,1,4,4,3,6,7,8,2,7,2,3,4,4,4,3,7,0.017856126,0.40278308
-17.615697,0.95954998,0.50228936,2,5,0,20.128166,0.54262463,-1.3366596,-1.4425053,-1.4425053,-1.8410366,-1.3366596,-1.5526309,-1.575365,-1.5249181,-1.5526309,-1.223609,5,5,7,7,3,5,2,2,6,8,6,3,6,5,2,3,5,5,5,7,0.39817114,0.74183854
-18.152689,0.84211886,0.83597809,2,3,0,18.460598,0.70950474,-1.2610978,-1.4646604,-1.4646604,-1.9949279,-1.2610978,-1.5274918,-1.6393441,-1.5615678,-1.5274918,-1.2916368,6,5,7,4,4,6,2,6,2,8,8,6,5,5,5,3,2,5,5,6,0.21240335,0.49448336
-19.87792,0.67006034,0.96825511,1,1,0,19.878901,0.8634586,-1.2217124,-1.5609261,-1.5609261,-2.1597288,-1.2217124,-1.5273025,-1.7217575,-1.6533183,-1.5273025,-1.4473599,7,5,6,8,1,5,5,8,5,7,6,4,8,7,2,4,4,1,4,8,-0.34617724,0.32852429
-19.273716,0.99699523,0.66755184,3,7,0,19.83872,0.21206965,-1.5665058,-1.5924051,-1.5924051,-1.608843,-1.5665058,-1.6784659,-1.5246002,-1.6269623,-1.6784659,-1.2601852,6,4,6,7,3,5,5,2,2,4,6,4,8,6,6,7,4,5,5,7,0.0025733544,0.41183413
-18.475162,1,1.2280651,1,1,0,19.373017,0.29595795,-1.4991433,-1.5325623,-1.5325623,-1.6587363,-1.4991433,-1.6368372,-1.5279072,-1.5795595,-1.6368372,-1.2349636,4,2,3,7,4,4,5,4,7,6,5,3,2,5,2,5,4,1,3,7,0.22330439,0.27464309
-18.475162,0.052345702,2.2575299,1,3,0,18.662166,0.29595795,-1.4991433,-1.5325623,-1.5325623,-1.6587363,-1.4991433,-1.6368372,-1.5279072,-1.5795595,-1.6368372,-1.2349636,6,1,5,3,1,6,3,3,2,8,7,3,2,7,1,3,6,6,3,6,0.22330439,0.77288263
-18.536516,0.99895262,0.25540511,2,3,0,18.59659,0.28808605,-1.5052165,-1.5375748,-1.5375748,-1.653793,-1.5052165,-1.6404587,-1.5273174,-1.5833826,-1.6404587,-1.236934,8,4,7,4,4,3,4,6,4,8,5,5,6,6,2,4,3,3,4,7,0.20746519,0.80697394
-17.630155,0.99734866,0.46980964,2,5,0,18.630274,0.56367335,-1.3254699,-1.441258,-1.441258,-1.8590681,-1.3254699,-1.5480464,-1.5820088,-1.5261675,-1.5480464,-1.2280728,5,6,6,5,3,6,5,5,5,6,5,2,6,1,3,4,4,8,3,4,0.38911499,0.37338659
-17.701606,0.97589333,0.85162168,1,1,0,17.702489,0.60555768,-1.3045743,-1.4420946,-1.4420946,-1.8961232,-1.3045743,-1.5401356,-1.5964479,-1.5315001,-1.5401356,-1.24015,6,4,6,6,1,2,6,4,5,7,8,3,7,2,3,6,3,3,6,7,0.35987165,0.42008296
-17.613683,1,1.4375997,1,1,0,17.636396,0.53191738,-1.3425241,-1.4435562,-1.4435562,-1.832015,-1.3425241,-1.5551192,-1.5721422,-1.5246462,-1.5551192,-1.2217253,8,3,8,5,2,4,1,3,3,8,6,6,7,5,4,6,2,3,2,7,0.40138191,0.77370372
-17.613683,0.0041200516,2.5755569,1,1,0,18.260792,0.53191738,-1.3425241,-1.4435562,-1.4435562,-1.832015,-1.3425241,-1.5551192,-1.5721422,-1.5246462,-1.5551192,-1.2217253,6,5,5,6,6,1,3,4,3,8,5,2,8,6,5,8,6,4,4,6,0.40138191,0.57765733
-17.616736,0.99943159,0.27864224,4,15,0,17.64162,0.54524871,-1.33524,-1.4422903,-1.4422903,-1.843263,-1.33524,-1.5520371,-1.5761709,-1.5250221,-1.5520371,-1.2241099,8,3,3,5,3,6,5,1,3,6,7,2,4,6,5,4,3,2,3,4,0.39724161,0.96213266
-17.985492,0.91368592,0.50049377,1,3,0,18.58945,0.37524702,-1.440919,-1.489197,-1.489197,-1.7115385,-1.440919,-1.6036091,-1.5370496,-1.5482138,-1.6036091,-1.220101,7,3,4,4,3,7,5,3,4,7,6,2,7,7,1,4,2,6,5,8,0.34118978,0.34392071
-17.622471,0.99632561,0.70253265,1,3,0,17.96838,0.50731939,-1.3564296,-1.4470133,-1.4470133,-1.8116735,-1.3564296,-1.5612349,-1.5651385,-1.524944,-1.5612349,-1.2183423,6,5,5,3,2,3,7,4,4,8,7,3,6,6,5,5,4,3,4,7,0.40525079,0.2116994
-17.622471,0.55890172,1.2296427,1,1,0,17.928003,0.50731939,-1.3564296,-1.4470133,-1.4470133,-1.8116735,-1.3564296,-1.5612349,-1.5651385,-1.524944,-1.5612349,-1.2183423,8,2,6,6,2,3,5,3,6,4,7,3,6,5,1,7,2,2,8,8,0.40525079,0.60773275
-17.613757,0.99955322,0.65000434,1,3,0,17.625889,0.53352012,-1.3416389,-1.4433812,-1.4433812,-1.8333589,-1.3416389,-1.55474,-1.5726179,-1.5246714,-1.55474,-1.2219911,6,6,4,7,3,2,8,6,6,6,7,4,6,7,3,3,3,3,7,7,0.40096058,0.20800102
-18.475776,0.61630844,1.1378643,1,1,0,18.4761,0.29587765,-1.499205,-1.5326128,-1.5326128,-1.6586856,-1.499205,-1.6368739,-1.5279009,-1.5795978,-1.6368739,-1.2349833,7,3,7,7,2,3,5,4,5,6,3,5,2,7,8,4,6,5,4,6,0.22314706,0.63415149
-17.943305,1,0.7089144,1,1,0,18.382112,0.38429691,-1.4346211,-1.485085,-1.485085,-1.7179135,-1.4346211,-1.6001901,-1.5384622,-1.5454631,-1.6001901,-1.2190132,7,5,6,3,5,6,8,2,2,5,8,3,6,5,4,3,4,4,6,6,0.35042922,0.53284576
-20.182072,0.43858172,1.2303761,1,1,0,20.215135,0.14726473,-1.6224519,-1.6482179,-1.6482179,-1.5745292,-1.6224519,-1.7152705,-1.5265872,-1.6737681,-1.7152705,-1.2856483,7,2,8,8,2,3,6,6,4,8,6,5,6,5,6,7,5,4,6,8,-0.28307009,0.90999312
-20.16067,1,0.48368073,2,3,0,20.302201,0.14854035,-1.6213184,-1.6470395,-1.6470395,-1.5751688,-1.6213184,-1.7145064,-1.5265095,-1.6727598,-1.7145064,-1.2851,7,6,5,4,2,7,3,7,8,8,4,4,3,8,4,5,8,4,6,8,-0.27594231,0.35061387
-19.740712,1,0.83462181,1,1,0,20.345295,0.17581697,-1.5973899,-1.6226071,-1.6226071,-1.5891908,-1.5973899,-1.6985498,-1.5252195,-1.6520382,-1.6985498,-1.2738211,5,2,8,2,4,3,3,3,4,8,5,4,4,5,4,3,1,5,5,4,-0.13991497,0.92351394
-18.270468,0.98855742,1.427917,1,3,0,18.539143,0.726635,-1.2551568,-1.471407,-1.471407,-2.0121607,-1.2551568,-1.5263693,-1.6473888,-1.5689024,-1.5263693,-1.303593,6,6,7,3,3,1,5,7,1,6,7,2,7,3,1,3,4,3,3,8,0.1754811,0.50347573
-18.270468,0.0062125373,2.352537,1,1,0,18.270988,0.726635,-1.2551568,-1.471407,-1.471407,-2.0121607,-1.2551568,-1.5263693,-1.6473888,-1.5689024,-1.5263693,-1.303593,8,2,7,7,4,4,3,6,7,7,6,2,8,7,1,5,6,2,4,8,0.1754811,0.742958
-18.533446,0.98871409,0.31447473,2,3,0,18.731114,0.75899202,-1.2449451,-1.4866848,-1.4866848,-2.0454563,-1.2449451,-1.5249963,-1.6633457,-1.5846615,-1.5249963,-1.3293515,6,2,3,6,4,3,4,5,5,6,8,5,7,8,2,4,4,5,8,6,0.093070231,0.61589338
-18.205836,1,0.52025336,1,1,0,18.505723,0.7174871,-1.2582842,-1.4676913,-1.4676913,-2.0029242,-1.2582842,-1.5269347,-1.6430582,-1.5648997,-1.5269347,-1.2970705,4,5,7,5,1,3,4,3,8,5,7,1,2,5,4,4,3,2,1,8,0.19572808,0.14060176
-18.790942,0.95923505,0.87873278,2,3,0,18.860971,0.7852425,-1.2376666,-1.5016258,-1.5016258,-2.0731903,-1.2376666,-1.5246037,-1.6770275,-1.5993147,-1.5246037,-1.3536001,7,7,7,4,1,2,7,2,5,7,6,1,7,2,2,6,6,5,4,7,0.011750979,0.5946113
-17.896289,1,1.3304124,2,3,0,18.093153,0.39512548,-1.427181,-1.4803948,-1.4803948,-1.7256353,-1.427181,-1.5961993,-1.5402517,-1.5423945,-1.5961993,-1.2178851,5,3,6,4,1,3,4,3,4,8,8,3,6,6,5,6,2,2,5,3,0.36047333,0.6459553
-17.896289,0.0034351748,2.2145008,1,1,0,18.148161,0.39512548,-1.427181,-1.4803948,-1.4803948,-1.7256353,-1.427181,-1.5961993,-1.5402517,-1.5423945,-1.5961993,-1.2178851,8,2,4,3,5,7,6,2,5,7,7,6,6,3,1,6,5,2,5,7,0.36047333,0.54271576
-17.615802,0.96679435,0.31627937,2,7,0,19.375792,0.54291773,-1.3365007,-1.4424805,-1.4424805,-1.841285,-1.3365007,-1.5525642,-1.5754547,-1.524929,-1.5525642,-1.2236642,7,5,5,2,3,2,8,4,4,6,6,3,6,3,5,5,6,7,6,6,0.39807011,0.40377168
-17.618885,0.99799187,0.48685838,1,3,0,17.641693,0.51283778,-1.353258,-1.4461126,-1.4461126,-1.8161905,-1.353258,-1.5598145,-1.5666613,-1.5247657,-1.5598145,-1.2189894,8,5,1,3,5,5,7,8,6,5,6,3,7,4,3,4,7,2,4,7,0.40480566,0.32020399
-17.645856,0.99175087,0.80330228,1,1,0,17.645863,0.48541023,-1.3693139,-1.4512932,-1.4512932,-1.7940047,-1.3693139,-1.5671506,-1.5593694,-1.5262851,-1.5671506,-1.2163889,4,1,7,3,5,5,3,7,6,5,8,5,4,1,3,6,7,6,6,7,0.4046133,0.66605813
-18.467749,0.54550249,1.2965239,1,1,0,18.477704,0.75152587,-1.2471818,-1.4828582,-1.4828582,-2.0376867,-1.2471818,-1.5252262,-1.659575,-1.5808017,-1.5252262,-1.3230203,4,7,7,6,4,5,4,3,7,8,7,2,7,3,1,6,7,3,2,8,0.11369327,0.24640379
-17.834057,1,0.71581014,2,7,0,18.353358,0.41100561,-1.4164601,-1.473973,-1.473973,-1.7371443,-1.4164601,-1.5905436,-1.543071,-1.5383335,-1.5905436,-1.2165805,3,7,3,2,3,3,3,5,6,7,7,2,2,4,3,4,5,5,6,7,0.37327243,0.25582723
-19.572644,0.4965892,1.1712439,1,1,0,19.602594,0.18806263,-1.5868398,-1.6121148,-1.6121148,-1.5956996,-1.5868398,-1.6916229,-1.524871,-1.6432548,-1.6916229,-1.2690393,5,3,8,4,3,4,4,2,6,7,6,4,5,6,5,5,7,6,7,7,-0.087552835,0.57247802
-19.854544,0.99122187,0.58114952,1,1,0,19.921798,0.16797799,-1.6042063,-1.6294788,-1.6294788,-1.5850936,-1.6042063,-1.7030608,-1.5255175,-1.6578294,-1.7030608,-1.2769746,7,4,6,4,4,3,4,5,5,8,6,4,6,3,1,5,6,5,7,8,-0.17605925,0.54995969
-21.642757,0.94550397,0.92661797,1,1,0,21.647429,0.080473769,-1.6835794,-1.7143772,-1.7143772,-1.5430636,-1.6835794,-1.7575394,-1.5328515,-1.7315424,-1.7575394,-1.3168664,6,2,6,5,1,4,6,3,3,7,5,2,7,5,5,4,6,6,4,3,-0.81196123,0.059574881
