# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 08:52:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 1500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad743df57a.json
# init = 2 (Default)
# random
#   seed = 1020912953
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201052-2-392a0d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201052-2-85e7d3.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-19.009875,1,1,2,3,0,19.074849,0.67381959,-1.4999825,-1.6782168,-1.5806277,-1.5252899,-1.7970873,-1.6782168,-1.5977313,-1.4763128,-1.5484833,-1.5977313,7,4,7,6,1,7,4,5,8,4,6,6,7,6,4,3,3,6,7,7,0.27666194,0.34761686
-19.009875,6.281209e-77,14.38551,1,1,0,19.432842,0.67381959,-1.4999825,-1.6782168,-1.5806277,-1.5252899,-1.7970873,-1.6782168,-1.5977313,-1.4763128,-1.5484833,-1.5977313,4,6,7,7,2,5,3,4,4,1,8,1,7,6,2,4,1,4,5,5,0.27666194,0.061835868
-19.009875,0.0093058886,2.4311673,1,1,0,19.038412,0.67381959,-1.4999825,-1.6782168,-1.5806277,-1.5252899,-1.7970873,-1.6782168,-1.5977313,-1.4763128,-1.5484833,-1.5977313,8,4,7,5,4,3,6,8,4,3,4,5,7,5,4,3,3,5,4,6,0.27666194,0.67696964
-19.363332,0.98843519,0.24581193,3,9,0,19.877178,0.44305737,-1.4445184,-1.8532594,-1.793053,-1.5596058,-2.1280214,-1.8532594,-1.5360941,-1.3289987,-1.5317298,-1.5360941,7,5,5,6,7,5,4,6,6,4,8,6,6,4,4,2,3,8,3,5,0.39241041,0.89534122
-19.450534,0.99870273,0.32224589,2,3,0,19.450608,0.42664031,-1.4431944,-1.8674983,-1.813453,-1.5640871,-2.1558222,-1.8674983,-1.5337745,-1.3204736,-1.5348458,-1.5337745,6,4,6,2,3,4,4,6,2,7,6,8,5,5,3,6,2,5,5,2,0.38370345,0.35687699
-19.600172,0.9919852,0.50185633,3,7,0,19.792218,0.79624275,-1.5615673,-1.6042347,-1.5127542,-1.5279296,-1.6648877,-1.6042347,-1.6538765,-1.5734939,-1.6059627,-1.6538765,8,3,7,5,3,6,6,7,4,7,6,4,4,3,5,6,6,7,1,6,-0.026917641,0.5432554
-20.669715,0.91777871,0.83332344,1,3,0,20.674806,0.88616171,-1.6240894,-1.5582838,-1.4785036,-1.5387627,-1.5865401,-1.5582838,-1.7064792,-1.6526087,-1.6720202,-1.7064792,6,2,7,4,3,5,3,6,3,7,7,6,4,6,3,7,1,7,6,5,-0.5020727,0.32087247
-19.691094,1,1.1537915,1,1,0,20.566133,0.80711152,-1.568293,-1.5983009,-1.5079542,-1.5288414,-1.6545722,-1.5983009,-1.6597066,-1.5827151,-1.6128302,-1.6597066,7,7,7,8,5,6,3,8,7,2,8,2,4,6,3,7,3,7,6,4,-0.068177046,0.23876848
-19.691094,0.22429332,2.1185792,2,3,0,19.82273,0.80711152,-1.568293,-1.5983009,-1.5079542,-1.5288414,-1.6545722,-1.5983009,-1.6597066,-1.5827151,-1.6128302,-1.6597066,6,2,8,4,3,6,4,8,3,6,6,6,8,5,7,3,2,7,5,8,-0.068177046,0.57943605
-19.599223,1,0.34137283,2,3,0,19.689072,0.79612405,-1.561495,-1.6043001,-1.5128077,-1.5279203,-1.6650017,-1.6043001,-1.6538137,-1.5733937,-1.6058894,-1.6538137,7,2,6,4,4,3,5,4,5,5,7,8,6,6,5,4,1,5,7,5,-0.026484357,0.40846826
