# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 09:44:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad4763f9.json
# init = 2 (Default)
# random
#   seed = 877457364
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201144-1-274a83.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201144-1-53adcb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-24.672971,1.7033387e-18,4,2,3,0,24.769204,0.87610764,-2.1045006,-2.1048062,-2.3050278,-3.091716,-1.5294915,-1.4661235,-1.5371807,-1.6162914,-1.643446,-2.8331701,1,4,1,4,4,8,5,1,2,6,1,3,3,3,7,6,3,3,6,4,-0.42884899,0.83888075
-24.672971,3.711398e-08,2.3350648,2,3,0,27.559711,0.87610764,-2.1045006,-2.1048062,-2.3050278,-3.091716,-1.5294915,-1.4661235,-1.5371807,-1.6162914,-1.643446,-2.8331701,5,5,2,8,6,7,7,5,2,3,7,6,3,2,5,8,6,2,4,6,-0.42884899,0.61362966
-24.574166,0.99811405,0.23023587,3,7,0,24.694273,0.87250456,-2.0985884,-2.0988192,-2.298932,-3.0814106,-1.528989,-1.4606617,-1.5366364,-1.6135484,-1.6401816,-2.8242749,3,6,3,6,7,6,6,2,2,3,5,2,2,5,6,8,6,2,4,6,-0.40430258,0.40924401
-24.576925,1,0.23858938,1,1,0,24.640451,0.87260614,-2.0987547,-2.0989875,-2.2991038,-3.081701,-1.5290028,-1.4608144,-1.5366516,-1.6136254,-1.6402735,-2.8245253,7,4,4,1,5,7,8,2,2,5,2,4,3,3,8,8,7,1,3,3,-0.40498323,0.42176714
-22.98573,0.99459997,0.3225895,2,3,0,24.601405,0.80407715,-1.9915508,-1.9920259,-2.1842175,-2.8887285,-1.5246165,-1.3730446,-1.5285758,-1.5663933,-1.5801312,-2.660257,8,2,5,3,7,5,6,2,5,5,2,3,4,2,7,7,5,4,3,4,-0.056334914,0.41581507
-22.442617,1,0.49630662,1,1,0,23.08105,0.77562383,-1.9499242,-1.9513434,-2.1370962,-2.8102516,-1.525717,-1.3443441,-1.5265017,-1.5494002,-1.5562624,-2.5947384,3,4,4,8,4,7,4,3,2,3,3,4,7,5,7,7,8,2,5,4,0.043240538,0.47795064
-18.594375,0.97933288,0.84432887,2,7,0,21.363309,0.41704215,-1.5638689,-1.6039189,-1.5702345,-1.893973,-1.6990463,-1.2161959,-1.5668373,-1.4425686,-1.3156193,-1.8936951,6,3,1,3,4,7,5,2,2,4,4,4,5,3,3,7,8,2,1,6,0.37755109,0.48800465
-18.453836,0.59071686,1.4162151,2,3,0,18.705487,0.38361376,-1.5408457,-1.5858946,-1.5197652,-1.8146764,-1.7320823,-1.2190907,-1.5771735,-1.4412287,-1.2994765,-1.8396009,3,1,2,6,5,7,5,1,4,3,8,4,3,3,6,5,6,4,5,7,0.3497589,0.82905422
-18.599903,0.88769476,0.71993493,2,3,0,19.18005,0.41820127,-1.5647076,-1.6045858,-1.5719914,-1.8967396,-1.6979591,-1.2161292,-1.5665001,-1.4426384,-1.3162004,-1.8956048,7,5,3,4,4,6,2,2,8,7,2,2,1,6,5,6,5,5,1,4,0.3783363,0.74072977
-18.599903,0.14582751,0.93764125,1,3,0,22.321296,0.41820127,-1.5647076,-1.6045858,-1.5719914,-1.8967396,-1.6979591,-1.2161292,-1.5665001,-1.4426384,-1.3162004,-1.8956048,4,5,3,3,8,8,5,1,3,6,5,5,3,7,8,8,4,4,4,7,0.3783363,0.34147724
