# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 09:45:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad73ff95f3.json
# init = 2 (Default)
# random
#   seed = 1831978234
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201144-2-1f032c.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201144-2-73ddc4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.286733,0.9616542,1,2,3,0,18.353593,0.25976192,-1.4755791,-1.5393322,-1.336026,-1.5288397,-1.884985,-1.2447186,-1.6260544,-1.4471518,-1.2507005,-1.6557997,2,3,2,6,7,7,5,2,1,7,4,3,3,1,6,8,7,4,2,4,0.14298631,0.54534171
-18.286733,0,13.416722,0,1,1,21.656191,0.25976192,-1.4755791,-1.5393322,-1.336026,-1.5288397,-1.884985,-1.2447186,-1.6260544,-1.4471518,-1.2507005,-1.6557997,5,3,3,2,5,8,3,2,4,5,2,4,3,2,7,7,8,7,2,7,0.14298631,0.47395881
-18.286733,0.13372012,2.2210713,1,1,0,18.307393,0.25976192,-1.4755791,-1.5393322,-1.336026,-1.5288397,-1.884985,-1.2447186,-1.6260544,-1.4471518,-1.2507005,-1.6557997,6,5,6,5,6,6,7,6,3,5,5,6,2,1,8,6,8,2,2,5,0.14298631,0.69859938
-18.527755,0.99190773,0.30917664,2,5,0,18.632923,0.18661395,-1.4525091,-1.5267666,-1.2298281,-1.3655914,-2.00079,-1.2695958,-1.6631372,-1.4582775,-1.2309086,-1.5598251,4,5,4,3,8,8,2,3,5,7,5,7,5,5,8,7,6,1,3,6,-0.093503196,0.39997562
-18.348676,0.99868458,0.41619181,2,5,0,18.568123,0.34921547,-1.5195209,-1.5697761,-1.4682261,-1.7340528,-1.7695727,-1.2239467,-1.5890557,-1.4411837,-1.2841398,-1.7859158,5,1,3,2,5,8,6,6,2,7,5,4,1,4,7,6,6,5,3,4,0.31011664,0.64969198
-18.48065,0.91085656,0.65538274,1,3,0,18.932671,0.19543396,-1.4546542,-1.5276903,-1.2425444,-1.3850658,-1.9857069,-1.2662467,-1.6583285,-1.4566475,-1.2329074,-1.5708881,7,3,2,6,4,7,5,6,5,4,7,6,4,2,8,7,2,5,6,7,-0.058225514,0.51808851
-18.280922,1,0.85501901,2,3,0,18.454816,0.30966513,-1.4980149,-1.5542743,-1.4094541,-1.6425427,-1.8172869,-1.2317384,-1.6043114,-1.4427576,-1.2681716,-1.7266851,5,4,2,6,6,7,3,1,5,5,5,4,5,5,7,6,8,1,3,3,0.2489172,0.72506569
-18.785684,0.54533697,1.5297551,1,1,0,19.041718,0.45298196,-1.5911201,-1.6259101,-1.6249241,-1.9802949,-1.6670997,-1.2152253,-1.5570322,-1.4454757,-1.3342867,-1.953962,2,5,4,2,8,7,4,2,4,6,5,5,3,3,8,7,6,2,1,5,0.39658299,0.65915296
-18.271982,1,0.67479562,2,3,0,18.786588,0.29651889,-1.4915906,-1.5498383,-1.3900324,-1.6124011,-1.8342869,-1.2348265,-1.6097663,-1.4436577,-1.2632726,-1.7075924,4,3,6,5,5,8,5,4,1,3,5,6,1,1,5,7,6,1,1,5,0.22440085,0.30575153
-18.30052,0.97880599,1.2525684,1,1,0,18.306278,0.32526087,-1.5061068,-1.5600005,-1.4325679,-1.6784778,-1.7978662,-1.2283931,-1.5980898,-1.4419323,-1.2742505,-1.7497213,6,4,3,6,7,8,4,1,5,6,7,5,3,3,6,6,8,2,6,7,0.2752026,0.7349475
-18.30052,0.039196398,2.1984379,1,1,0,18.664507,0.32526087,-1.5061068,-1.5600005,-1.4325679,-1.6784778,-1.7978662,-1.2283931,-1.5980898,-1.4419323,-1.2742505,-1.7497213,3,6,6,4,8,7,7,2,1,4,4,5,3,4,7,7,4,5,2,6,0.2752026,0.2206941
-18.382598,0.99783263,0.1991539,3,9,0,18.532107,0.21859725,-1.4611282,-1.5308902,-1.2760555,-1.436481,-1.9475957,-1.2578992,-1.6461446,-1.4527405,-1.2386735,-1.6006123,2,4,5,3,7,7,6,4,1,4,3,3,2,1,5,8,6,4,2,6,0.024570595,0.51201087
-19.288369,0.94749975,0.37573204,2,7,0,20.144289,0.52474059,-1.6531844,-1.6780266,-1.7354778,-2.1560795,-1.6137892,-1.2206042,-1.5414185,-1.4560229,-1.3754401,-2.0808346,2,3,3,4,5,7,7,2,3,2,7,3,1,2,7,8,6,5,1,4,0.40301372,0.87323599
-18.826675,1,0.60536564,3,7,0,19.23173,0.1463145,-1.445002,-1.5246265,-1.1720304,-1.2773239,-2.0739173,-1.286058,-1.6863197,-1.4667102,-1.2232121,-1.5110963,4,3,2,5,6,7,3,3,2,6,7,6,2,3,6,6,7,5,2,7,-0.2884298,0.71706104
-18.349548,1,1.1469257,1,1,0,18.646336,0.22899452,-1.4644254,-1.5326902,-1.2911522,-1.4596887,-1.9311762,-1.2543671,-1.640883,-1.4511642,-1.2414998,-1.6142676,8,3,1,1,5,6,5,4,4,6,8,4,2,4,3,7,7,2,4,7,0.057642471,0.36324884
-18.357384,0.35495035,2.1606675,2,3,0,18.420207,0.35268009,-1.5215591,-1.5712883,-1.4733993,-1.7421293,-1.7656312,-1.2233746,-1.587801,-1.441128,-1.2856246,-1.7912319,4,4,3,1,4,8,8,5,3,4,7,8,4,4,6,7,3,2,1,7,0.31465092,0.057019094
-19.046923,0.94470755,0.55524129,3,7,0,19.056561,0.12567776,-1.4426478,-1.5248608,-1.1426245,-1.2325692,-2.1141765,-1.2952044,-1.6989746,-1.4716467,-1.2202195,-1.4873183,3,4,3,6,5,8,2,2,2,1,8,5,3,3,7,6,5,2,2,3,-0.41658094,0.79805459
-19.400563,0.89043244,0.88249759,1,3,0,20.429951,0.53820942,-1.6659628,-1.6890457,-1.7564341,-2.1895995,-1.6052727,-1.2228013,-1.5390661,-1.4587346,-1.38372,-2.1056237,8,8,2,3,7,7,4,2,3,5,7,5,4,4,5,6,6,6,2,2,0.39960815,0.2698236
-18.319462,1,1.1828019,1,1,0,18.689435,0.24082298,-1.4684678,-1.5350112,-1.3083683,-1.4861892,-1.9129999,-1.2505142,-1.6350518,-1.4495057,-1.2448906,-1.6300366,6,3,3,3,6,8,3,5,2,6,5,6,3,1,4,7,8,5,3,5,0.09254602,0.89880643
-18.319462,0.1238713,2.1951387,1,1,0,19.05861,0.24082298,-1.4684678,-1.5350112,-1.3083683,-1.4861892,-1.9129999,-1.2505142,-1.6350518,-1.4495057,-1.2448906,-1.6300366,6,3,4,4,7,8,2,2,2,6,8,3,3,1,6,8,8,1,2,5,0.09254602,0.22788653
-18.513539,0.98769531,0.29608303,2,5,0,18.930715,0.1891643,-1.453111,-1.527017,-1.2335026,-1.3712167,-1.9963956,-1.2686178,-1.6617371,-1.4577981,-1.2314753,-1.5630095,3,4,5,3,8,8,4,5,2,5,5,5,4,7,6,7,6,5,3,8,-0.083069695,0.59250161
-18.270026,0.99950701,0.53111814,3,7,0,18.530978,0.28669619,-1.4870291,-1.546757,-1.3755574,-1.5899682,-1.8473727,-1.2372907,-1.6139689,-1.4444512,-1.259749,-1.6935216,4,3,2,4,7,7,4,1,5,4,7,3,1,4,7,8,6,5,7,4,0.20457942,0.63150696
-18.270026,0.63942643,0.97716264,1,3,0,18.991327,0.28669619,-1.4870291,-1.546757,-1.3755574,-1.5899682,-1.8473727,-1.2372907,-1.6139689,-1.4444512,-1.259749,-1.6935216,3,6,1,5,4,8,5,2,1,2,6,5,4,1,6,4,5,4,3,7,0.20457942,0.9447951
-18.354043,0.98076861,0.62498383,1,3,0,18.410257,0.22745466,-1.4639219,-1.5324094,-1.2889142,-1.4562465,-1.9335816,-1.2548817,-1.6416542,-1.4513906,-1.2410721,-1.6122331,6,2,4,4,6,7,7,1,3,4,4,2,3,4,7,7,7,3,2,5,0.052890543,0.79059154
-20.546549,0.55538439,1.0774201,1,3,0,20.566483,0.64891347,-1.7844747,-1.7948956,-1.9312246,-2.4717444,-1.5520635,-1.2575814,-1.526487,-1.4904134,-1.4580855,-2.3212219,5,5,4,1,6,8,4,6,1,2,6,2,2,1,6,7,5,1,2,5,0.31258101,0.25510777
