# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-05-20 09:44:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1300
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpEolbn8/standata-14bad760b7625.json
# init = 2 (Default)
# random
#   seed = 2132818869
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202605201144-2-342907.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202605201144-2-43d961.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,w_prior
-18.280131,0.71012927,1,1,3,0,18.856352,0.26572126,-1.477978,-1.5408456,-1.3447525,-1.5423166,-1.8764408,-1.2429917,-1.623309,-1.4464885,-1.252624,-1.6640367,6,3,4,4,4,6,3,4,4,5,4,3,4,6,6,8,4,5,4,6,0.15758549,0.69202415
-18.280131,2.3258361e-33,8.492503,1,3,0,18.360607,0.26572126,-1.477978,-1.5408456,-1.3447525,-1.5423166,-1.8764408,-1.2429917,-1.623309,-1.4464885,-1.252624,-1.6640367,5,6,2,3,8,7,6,3,1,4,8,5,1,3,3,6,7,1,3,7,0.15758549,0.25095179
-18.294035,0.99571317,1.2276965,1,3,0,18.29452,0.32086621,-1.5037752,-1.558336,-1.4260467,-1.6683322,-1.8032577,-1.2293004,-1.5998156,-1.4421381,-1.2725085,-1.7431877,3,3,3,1,7,7,2,2,3,2,3,7,1,5,7,7,4,2,2,5,0.2680913,0.67241835
-18.294035,0.11441736,1.5728164,2,3,0,21.249382,0.32086621,-1.5037752,-1.558336,-1.4260467,-1.6683322,-1.8032577,-1.2293004,-1.5998156,-1.4421381,-1.2725085,-1.7431877,2,1,3,2,6,8,3,1,3,4,5,8,1,1,7,5,4,3,1,7,0.2680913,0.92005448
-18.271264,0.99823094,0.19407128,2,7,0,18.478069,0.29456134,-1.4906652,-1.5492083,-1.3871452,-1.6079245,-1.8368683,-1.2353069,-1.6105951,-1.4438076,-1.262561,-1.7047749,5,7,3,2,7,7,7,5,2,3,7,2,3,2,7,4,5,5,4,8,0.220556,0.12503766
-18.298068,0.99728164,0.29523167,2,5,0,18.383478,0.32365757,-1.5052515,-1.5593886,-1.430188,-1.6747746,-1.7998259,-1.2287208,-1.5987169,-1.442005,-1.2736123,-1.7473338,4,3,1,6,4,7,8,4,1,4,6,5,1,4,3,6,5,6,3,7,0.27263448,0.14824713
-18.299398,0.99603298,0.49116056,3,7,0,18.378167,0.32453541,-1.5057191,-1.559723,-1.431491,-1.676802,-1.7987519,-1.2285409,-1.5983732,-1.4419648,-1.2739614,-1.7486405,2,2,4,5,3,7,8,1,3,5,4,4,6,5,7,7,4,2,1,6,0.2740443,0.37835448
-18.299398,0.3395486,0.86003016,1,3,0,21.296386,0.32453541,-1.5057191,-1.559723,-1.431491,-1.676802,-1.7987519,-1.2285409,-1.5983732,-1.4419648,-1.2739614,-1.7486405,6,5,6,1,2,8,3,2,4,4,4,6,5,3,7,7,4,4,2,6,0.2740443,0.81519127
-18.290577,0.99992728,0.19759599,1,3,0,18.305481,0.3182868,-1.5024254,-1.5573777,-1.4222221,-1.6623845,-1.8064517,-1.2298459,-1.6008386,-1.4422687,-1.2714966,-1.7393684,4,4,2,1,5,6,5,3,2,5,7,7,2,1,5,7,5,2,3,6,0.26381082,0.21276242
-18.77068,0.96188993,0.36452566,2,7,0,19.263133,0.15249244,-1.4459052,-1.5247322,-1.1808586,-1.2907802,-2.0622447,-1.2834129,-1.6826354,-1.4653133,-1.2242354,-1.5183708,8,3,1,3,3,7,5,5,3,3,4,7,4,2,8,6,5,3,1,5,-0.25433633,0.45093834
