# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:36:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b51b682183.json
# init = 2 (Default)
# random
#   seed = 1530396534
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252136-1-0218eb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252136-1-0c9965.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-12.320615,1,1,1,1,0,14.16294,0.21808585,1.5902323,0.34680717,1.2434251,-2.8378006,-0.53595699,-1.0827308,-0.97561278,-0.36802426,4,4,8,3,1,1,2,7,4,2,-0.77191558,0.4905692,3.7230195,1.8263987,1.8966208
-12.320615,0,14.38551,0,1,1,15.23045,0.21808585,1.5902323,0.34680717,1.2434251,-2.8378006,-0.53595699,-1.0827308,-0.97561278,-0.36802426,5,4,7,2,4,3,1,4,6,4,-0.77191558,0.52578109,1.1752749,0.61793731,0.55733757
-12.320615,5.8506024e-110,2.4311673,1,1,0,13.740213,0.21808585,1.5902323,0.34680717,1.2434251,-2.8378006,-0.53595699,-1.0827308,-0.97561278,-0.36802426,4,2,8,4,3,2,3,7,2,2,-0.77191558,0.67276966,13.143406,8.842485,4.3009214
-12.086382,0.99935002,0.23979141,2,3,0,12.673807,0.23185908,1.8383273,0.42623286,1.4120944,-2.8894825,-0.51658388,-1.0762304,-0.95773956,-0.34316772,5,5,7,6,4,2,1,6,7,4,-0.78250551,0.51100722,3.2696646,1.6708222,1.5988424
-12.919068,0.98001081,0.32373066,2,3,0,13.399538,0.1925971,1.2707423,0.24474128,1.026001,-2.7566708,-0.57006867,-1.0958428,-1.0077462,-0.41121807,5,3,7,5,2,3,5,6,5,6,-0.94612831,0.66735147,5.8167691,3.8818294,1.9349397
-8.9353025,1,0.47693599,3,7,0,12.550592,0.69582118,2.7778183,1.9328648,0.84495349,-1.527861,-0.12076204,0.13326729,-0.35145044,-0.38229639,1,3,5,4,5,5,2,8,2,2,-1.2243488,0.19068499,3.215207,0.61309171,2.6021153
-13.126112,0.11255933,0.81050405,2,3,0,13.930206,0.90713693,6.6522423,6.0344946,0.61774766,-1.0505251,0.013479371,0.70564275,-0.20453477,-0.57699469,3,3,8,5,3,4,1,8,4,2,-5.6917561,0.74219877,1.27783,0.94840384,0.32942615
-10.78279,0.99972818,0.09148891,3,7,0,13.326172,0.90187065,3.3526348,3.023643,0.32899187,-1.0199062,-0.038760573,0.65231956,-0.25711944,-0.57670275,3,2,3,6,2,5,2,8,5,1,-2.6022812,0.16597789,2.3753173,0.39425015,1.9810671
-8.9604864,1,0.16379044,3,15,0,10.956869,0.75874988,2.1967396,1.6667759,0.52996369,-1.3178855,-0.11985251,0.27985447,-0.34152198,-0.44824578,5,2,4,6,3,6,4,6,2,3,-0.93661736,0.26185734,0.82313868,0.2155449,0.60759377
-9.0839813,0.99391907,0.30195636,1,3,0,9.1485011,0.78490051,2.1356919,1.6763057,0.45938626,-1.2490672,-0.11445278,0.34037617,-0.33402141,-0.47173913,4,4,5,4,1,5,2,8,5,1,-0.98029361,0.56047227,4.2045958,2.3565594,1.8480364
-8.9074632,0.9902234,0.55482382,2,3,0,9.1564109,0.7382015,2.0790491,1.5347572,0.54429194,-1.3593069,-0.1346666,0.22800444,-0.35859559,-0.43798474,3,4,5,7,4,5,2,8,5,2,-0.81266635,0.054966251,2.2685261,0.12469238,2.1438337
-9.4638834,0.81552707,1.0151461,1,1,0,9.4719002,0.83656873,2.2365413,1.8710205,0.36552079,-1.13316,-0.094516267,0.46507882,-0.31203633,-0.51580374,3,2,6,2,2,5,4,8,2,3,-1.2537629,0.34880534,3.1332312,1.0928878,2.0403434
-9.4638834,0.1922772,1.0733828,1,1,0,9.9089842,0.83656873,2.2365413,1.8710205,0.36552079,-1.13316,-0.094516267,0.46507882,-0.31203633,-0.51580374,3,3,6,4,2,4,5,8,2,1,-1.2537629,0.57203057,4.2131581,2.4100552,1.8031029
-9.4560819,0.99366275,0.16126776,3,15,0,11.148499,0.50274444,1.7629564,0.88631655,0.8766399,-1.9548731,-0.28655311,-0.3489727,-0.56870139,-0.35329823,5,2,8,1,2,5,2,8,4,4,-0.41917873,0.74704569,2.5931405,1.9371944,0.65594606
-8.8516039,0.99940231,0.30174328,2,7,0,9.5754515,0.71284708,2.3520156,1.6766275,0.67538815,-1.4485877,-0.13052461,0.17138706,-0.35800363,-0.40865503,5,2,8,5,2,3,5,8,5,2,-0.92810264,0.7509378,1.9916711,1.4956211,0.49604999
-9.1487235,0.90464518,0.57219306,2,3,0,9.4727658,0.76322079,1.6981515,1.2960646,0.40208698,-1.2616271,-0.15324683,0.27503426,-0.37487478,-0.47613022,6,2,7,3,1,3,3,8,2,4,-0.72794171,0.54196325,2.3777664,1.288662,1.0891044
