# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b55517d786.json
# init = 2 (Default)
# random
#   seed = 2026439510
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252146-1-3b82a4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252146-1-33aab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-11.420471,1.6741661e-306,2,1,1,0,13.908569,0.32938476,4.4221164,1.4565778,2.9655386,-1.2760007,-0.1255647,-0.73895035,-0.2520934,-0.095789384,3,7,8,5,8,2,6,8,7,7,-2.6899319,0.28728801,1.1475653,0.32968175,0.81788356
-11.420471,0,2.3350648,0,1,1,11.928099,0.32938476,4.4221164,1.4565778,2.9655386,-1.2760007,-0.1255647,-0.73895035,-0.2520934,-0.095789384,5,4,5,6,5,3,7,8,6,7,-2.6899319,0.36471404,0.91704477,0.3344591,0.58258567
-12.360737,0.96683078,0.23023585,2,3,0,12.582875,0.30451396,5.579455,1.6990219,3.8804331,-1.2480248,-0.14521067,-0.68904627,-0.30573934,-0.067058762,4,7,8,8,5,3,6,6,7,6,-3.8104275,0.74125179,1.4797212,1.096846,0.3828752
-11.916903,1,0.21950688,2,3,0,12.451149,0.33096846,5.0963905,1.6867445,3.409646,-1.2916706,-0.11662364,-0.74193115,-0.25256375,-0.087691014,2,6,8,8,5,3,8,5,8,7,-3.3201122,0.95102705,1.522674,1.4481042,0.074569845
-11.74767,1,0.29500719,1,1,0,12.003644,0.32019275,4.8310453,1.5468657,3.2841796,-1.2664315,-0.13154822,-0.72044996,-0.27181357,-0.084649271,2,8,6,8,6,6,8,6,8,5,-3.0894234,0.73835475,2.9153578,2.1525682,0.76278952
-12.858061,0.92910455,0.4594476,2,3,0,13.213552,0.39866168,6.4286035,2.5628379,3.8657656,-1.4530364,-0.043560815,-0.9012457,-0.12707517,-0.12090319,1,8,8,4,8,1,8,8,7,4,-4.4496558,0.72037991,2.3361856,1.6829411,0.65324443
-14.085794,0.86902788,0.62779831,2,3,0,14.386866,0.31235103,0.53832077,0.16814505,0.37017572,-1.0777523,-0.37845945,-0.83465716,-0.22045093,-0.39925712,4,7,6,4,6,3,8,3,4,8,-2.7978744,0.6426596,0.98737534,0.63454624,0.3528291
-11.679725,0.98513521,0.74334798,1,3,0,13.008724,0.28275957,4.5416974,1.2842084,3.257489,-1.1926501,-0.18377538,-0.65201351,-0.34150627,-0.068555605,3,8,5,3,8,2,8,6,7,7,-2.8881391,0.26344514,0.99922062,0.26323981,0.73598081
-11.241586,0.33333333,1.2971136,1,3,1,11.247019,0.61460903,1.2701201,0.78062729,0.48949282,-1.5726573,-0.17353914,-1.3272166,0.20990813,-0.40700688,1,6,7,7,5,1,5,8,6,4,-0.52570609,0.55701908,1.9501951,1.0862959,0.86389922
-10.31171,1,0.29422223,3,7,0,11.608802,0.32172389,2.6300469,0.84614893,1.783898,-1.210359,-0.16728003,-0.72998524,-0.25054785,-0.13525466,4,6,8,8,2,3,6,7,7,8,-1.0732885,0.82843561,1.4889337,1.2334857,0.255448
