# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 09:43:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63c184a6c.json
# init = 2 (Default)
# random
#   seed = 718863389
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281143-2-7d63fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281143-2-4437ec.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-19.415678,0.0074285549,1,1,1,0,19.497533,0.39590819,5.8070653,2.2990647,3.5080005,-0.40948727,-0.35389251,-0.23677419,-0.40948727,-1.3523421,-1.1457569,-0.85390935,-0.46473759,-0.028650656,-0.59299866,8,5,4,1,8,8,6,8,5,1,6,5,1,2,8,8,7,7,8,3,-3.8961149,0.83989622,1.4825955,1.2452264,0.23736916
-19.415678,0,2.3668172,1,2,1,19.686015,0.39590819,5.8070653,2.2990647,3.5080005,-0.40948727,-0.35389251,-0.23677419,-0.40948727,-1.3523421,-1.1457569,-0.85390935,-0.46473759,-0.028650656,-0.59299866,7,1,3,5,6,5,6,8,4,4,6,5,2,5,8,5,8,8,7,5,-3.8961149,0.90930704,1.5755716,1.4326783,0.14289325
-16.993394,1,0.23430261,2,3,0,19.48088,0.4534566,2.4194369,1.0971096,1.3223273,-0.42274623,-0.46117272,-0.34405246,-0.42274623,-1.0660884,-0.97245878,-0.70790851,-0.57484041,-0.14777207,-0.5770869,7,0,3,3,8,5,7,6,7,5,4,2,2,2,7,8,8,8,7,2,-0.78505888,0.69146473,4.0825428,2.8229343,1.2596084
-16.700021,0.99380266,0.24458532,2,7,0,17.317846,0.57754781,2.0619508,1.1908751,0.87107561,-0.3740065,-0.56211844,-0.47826173,-0.3740065,-0.79094788,-0.76918044,-0.55027563,-0.75898678,-0.28445182,-0.50060584,8,1,2,5,6,5,7,7,8,4,8,5,3,4,7,3,8,6,7,2,-0.57018859,0.36759327,2.2622388,0.83158378,1.4306551
-16.772979,0.99622531,0.32547534,2,7,0,16.844841,0.50254563,2.1725046,1.0917827,1.0807219,-0.40210148,-0.50045612,-0.39889231,-0.40210148,-0.93921377,-0.88216983,-0.63633344,-0.6432796,-0.20090191,-0.5471668,7,4,0,3,7,7,7,7,7,4,6,4,1,1,6,4,7,7,6,2,-0.6099225,0.1290795,3.7655231,0.48605183,3.2794713
-17.172762,0.90097054,0.50337389,2,3,0,17.476023,0.55007419,3.8668951,2.1270792,1.7398159,-0.31010955,-0.47580862,-0.4207866,-0.31010955,-0.8399613,-0.78933444,-0.55062098,-0.71795447,-0.19557896,-0.46635108,8,1,1,3,6,5,6,8,7,2,4,3,0,3,5,5,5,5,6,3,-2.0522238,0.74127451,6.8670109,5.0903402,1.7766708
-18.103145,0.74986337,0.63260631,1,3,0,18.42363,0.69698728,4.5699285,3.185182,1.3847464,-0.26616141,-0.66156063,-0.60790077,-0.26616141,-0.56488604,-0.56752893,-0.37978652,-1.1144696,-0.41023238,-0.35477782,3,1,2,1,8,7,8,5,8,5,4,0,2,1,6,5,8,7,4,3,-2.8742079,0.19212837,2.1252459,0.40832003,1.7169259
-16.726403,1,0.51697933,1,3,0,17.794855,0.60411868,2.7754547,1.676704,1.0987507,-0.32527877,-0.55783523,-0.49506455,-0.32527877,-0.73446825,-0.71542051,-0.50106861,-0.81861359,-0.2901571,-0.45320352,7,2,4,0,6,3,7,8,5,1,6,4,5,3,6,4,5,7,5,4,-1.1002038,0.93181761,4.8185038,4.4899667,0.32853713
-18.770571,0.12951723,0.94194331,2,3,0,19.077518,0.79783903,3.6215168,2.8893874,0.73212936,-0.32974215,-0.87348562,-0.75106362,-0.32974215,-0.46844059,-0.48938884,-0.33230791,-1.474456,-0.60760079,-0.32616447,5,3,1,2,7,7,8,7,8,2,4,0,3,3,6,4,8,7,2,1,-2.2505323,0.46187395,3.8450564,1.7759314,2.069125
-17.668464,0.99962967,0.1120793,3,7,0,18.898458,0.72477571,3.3913293,2.4579531,0.93337621,-0.301013,-0.720372,-0.64575154,-0.301013,-0.54691695,-0.55752927,-0.38084438,-1.1657293,-0.46880919,-0.36460332,7,2,2,1,5,6,7,8,7,2,8,1,4,2,7,5,6,7,7,1,-1.8250418,0.79917399,1.1323401,0.90493675,0.22740334
