# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 10:02:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b66a0079d2.json
# init = 2 (Default)
# random
#   seed = 456715884
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281202-1-3abe16.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281202-1-8751a5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-21.177287,4.4668321e-05,1,1,1,0,21.689297,0.17357001,0.80899404,0.1404171,0.66857693,-0.66520177,-0.50556053,-1.8621682,-0.63637619,-0.315503,-0.68765121,-0.56455931,-1.099601,-0.29342906,-0.50556053,4,3,3,2,8,5,2,4,5,5,1,7,2,2,8,4,2,5,7,7,-1.802334,0.43472698,2.5191035,1.0951223,1.4239812
-21.177287,0,2.3352544,0,1,1,22.261043,0.17357001,0.80899404,0.1404171,0.66857693,-0.66520177,-0.50556053,-1.8621682,-0.63637619,-0.315503,-0.68765121,-0.56455931,-1.099601,-0.29342906,-0.50556053,3,3,6,1,7,4,1,7,6,6,4,3,5,4,5,5,1,3,6,6,-1.802334,0.62035528,1.4999249,0.93048634,0.56943858
-18.923823,1,0.23026009,2,7,0,21.166629,0.22719084,1.2775132,0.2902393,0.98727389,-0.66546385,-0.40397901,-2.2986103,-0.5831596,-0.21094072,-0.57893687,-0.453923,-1.0786175,-0.23877811,-0.40397901,4,1,6,3,8,5,5,6,7,4,5,2,6,5,6,8,5,4,4,7,-0.82045882,0.62966933,1.2456086,0.78432154,0.46128708
-19.139842,0.99641266,0.23981995,3,15,0,20.255217,0.10967416,2.7928988,0.30630882,2.48659,-0.47416311,-0.32369985,-2.287172,-0.43251836,-0.16925683,-0.61709958,-0.50229153,-1.337527,-0.068321502,-0.32369985,6,3,3,2,8,4,3,5,5,7,5,3,8,6,7,4,2,6,6,5,-2.0105435,0.42793131,3.5149373,1.5041518,2.0107856
-18.973729,0.973046,0.3210661,3,7,0,19.753303,0.16889144,4.1234728,0.69641926,3.4270535,-0.52595966,-0.26790195,-2.646682,-0.43357843,-0.10165643,-0.52520113,-0.39462087,-1.2806358,-0.061810906,-0.26790195,3,6,5,2,7,5,1,6,5,5,6,3,6,4,6,4,2,3,7,7,-2.8612665,0.3170974,3.1530768,0.99983244,2.1532443
-18.784921,0.93938935,0.4631231,2,3,0,19.861449,0.14284432,3.202343,0.4574365,2.7449065,-0.50390257,-0.2984335,-2.4592309,-0.43702727,-0.13678779,-0.56903221,-0.44459719,-1.2986488,-0.068527081,-0.2984335,4,3,3,2,8,5,1,7,4,2,5,3,7,2,5,2,2,4,8,4,-2.1412342,0.70582242,0.84812182,0.5986234,0.24949843
-19.711977,0.92390023,0.65320601,2,3,0,21.740585,0.53000779,3.6031636,1.9097048,1.6934588,-1.207251,-0.27720511,-4.1681688,-0.78703981,-0.046249744,-0.33205114,-0.26938542,-0.7531115,-0.53193107,-0.27720511,5,2,3,3,8,5,4,3,6,5,3,4,4,3,8,5,2,4,3,6,-1.7988,0.69317032,1.1732567,0.81326674,0.35998998
-20.260976,0.12712978,0.91808896,2,3,0,22.144943,0.11769807,5.1624694,0.60761268,4.5548567,-0.45097836,-0.26988477,-2.5082592,-0.3901999,-0.12009433,-0.58184832,-0.46471868,-1.3955621,-0.017437245,-0.26988477,6,3,5,2,6,5,2,5,5,4,5,2,3,2,7,3,2,3,8,7,-4.1387244,0.059485277,2.8154354,0.16747695,2.6479584
-19.611018,0.99896993,0.10826847,4,23,0,20.939889,0.49297667,1.1909972,0.58713384,0.60386336,-1.0353931,-0.41678182,-3.1245452,-0.77050524,-0.18434681,-0.49036378,-0.41233888,-0.80456251,-0.51320902,-0.41678182,3,4,4,2,7,3,3,4,8,6,4,4,4,3,8,5,5,6,6,6,-0.5327009,0.57594819,2.4098911,1.3879724,1.0219187
-19.377676,1,0.19855257,3,7,0,19.975346,0.44639594,1.1699136,0.52224469,0.64766894,-0.95984337,-0.41380566,-2.9478369,-0.73360803,-0.185199,-0.4996664,-0.41016845,-0.84688106,-0.45747653,-0.41380566,3,5,3,1,7,6,3,1,8,8,3,1,6,4,8,5,3,5,6,8,-0.5638742,0.13728194,0.43037989,0.059083386,0.3712965
-17.857546,0.8213799,0.37169355,2,3,0,21.417329,0.31465917,2.1284432,0.66973415,1.458709,-0.75830617,-0.31212245,-2.9148555,-0.58254731,-0.10624711,-0.45420002,-0.33342688,-1.0064737,-0.24970412,-0.31212245,5,2,4,4,6,3,3,3,5,6,3,4,6,1,8,6,2,4,2,4,-0.73127545,0.38996741,2.4736307,0.96463537,1.5089954
-17.985874,0.99519373,0.39914992,2,7,0,17.988098,0.22834888,2.7424511,0.62623565,2.1162155,-0.62353302,-0.29187298,-2.7196319,-0.501007,-0.10677808,-0.49127877,-0.35954637,-1.1460676,-0.1423405,-0.29187298,4,1,5,2,8,7,4,3,4,7,4,1,6,2,4,4,4,2,6,7,-1.3783266,0.75468319,4.2525053,3.2092942,1.043211
