# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 12:29:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63fd0ad00.json
# init = 2 (Default)
# random
#   seed = 780767566
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281429-1-3cf8b4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281429-1-568468.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-18.697694,0.274801,1,1,1,0,19.476909,0.2240203,1.1894951,0.26647106,0.92302406,-1.5886128,-1.9089209,-1.5886128,-1.7768957,-1.5754539,-1.4755561,-1.5142284,-1.6031346,-1.604333,-1.5886128,5,8,3,7,3,7,2,4,8,4,4,5,3,6,5,6,1,3,1,1,-0.89721456,0.28186904,1.8132074,0.51108704,1.3021204
-18.697694,0,3.8484783,0,1,1,18.820675,0.2240203,1.1894951,0.26647106,0.92302406,-1.5886128,-1.9089209,-1.5886128,-1.7768957,-1.5754539,-1.4755561,-1.5142284,-1.6031346,-1.604333,-1.5886128,5,5,3,5,6,5,5,3,4,2,2,7,5,7,5,8,0,3,8,3,-0.89721456,0.49796903,1.2023231,0.59871964,0.60360341
-18.591944,1,0.44001832,1,1,0,18.956779,0.221216,1.229703,0.27202997,0.957673,-1.5814025,-1.9050393,-1.5814025,-1.7724635,-1.5695697,-1.470229,-1.509878,-1.5977281,-1.5984024,-1.5814025,4,7,1,3,4,5,3,3,5,1,3,8,6,4,5,5,3,3,3,5,-0.87256214,0.55801987,1.5778867,0.88049211,0.69739455
-19.572801,0.97797722,0.49871254,2,3,0,19.839799,0.11187102,5.2306925,0.5851629,4.6455296,-1.3646767,-1.745879,-1.3646767,-1.5668355,-1.4485431,-1.3983462,-1.4589704,-1.482613,-1.4768914,-1.3646767,5,5,3,6,6,5,1,2,7,1,5,7,5,6,4,7,1,3,1,4,-4.246189,0.48662043,2.3590739,1.1479736,1.2111004
-19.458836,1,0.66780246,2,3,0,20.06194,0.55049662,1.2496828,0.68794617,0.56173665,-1.720978,-2.4102664,-1.720978,-2.4425525,-1.6143577,-1.5205213,-1.449292,-1.5508893,-1.6386137,-1.720978,4,6,1,8,4,7,0,3,1,4,2,7,4,5,4,4,1,2,3,4,-0.49575208,0.21767132,1.3560277,0.29516834,1.0608594
-19.458836,0.0032724374,1.0776688,1,1,0,19.868372,0.55049662,1.2496828,0.68794617,0.56173665,-1.720978,-2.4102664,-1.720978,-2.4425525,-1.6143577,-1.5205213,-1.449292,-1.5508893,-1.6386137,-1.720978,5,6,4,3,4,3,1,3,7,1,4,8,5,4,5,4,2,2,3,7,-0.49575208,0.4834635,1.4728441,0.71206636,0.76077772
-19.119169,0.99987741,0.088498027,4,15,0,20.090969,0.58419269,2.2271351,1.301076,0.92605905,-1.686441,-2.6746974,-1.686441,-2.6918559,-1.559336,-1.4636457,-1.3532696,-1.4532149,-1.5765365,-1.686441,4,6,1,7,7,6,2,2,4,4,3,8,1,3,8,5,1,0,3,4,-0.67294778,0.28667355,1.9632176,0.56280256,1.4004151
-19.047044,1,0.15243172,3,7,0,19.144382,0.57784766,2.296803,1.3272022,0.96960076,-1.6790387,-2.6658177,-1.6790387,-2.6815103,-1.5501133,-1.4546062,-1.3479252,-1.4480112,-1.5679513,-1.6790387,8,6,5,6,5,7,1,3,5,4,3,8,5,4,8,5,2,4,5,7,-0.71467712,0.55444506,2.2824674,1.2655028,1.0169646
-18.370957,0.96717477,0.27447746,3,7,0,20.480282,0.3169509,5.0176298,1.5903423,3.4272875,-1.4428937,-2.1153781,-1.4428937,-2.0568014,-1.357485,-1.2567302,-1.2963,-1.3860344,-1.3870187,-1.4428937,5,6,4,6,7,5,2,0,4,2,5,6,4,6,4,6,1,3,4,4,-3.2692892,0.16666843,2.1139719,0.35233237,1.7616395
-17.507202,0.91617666,0.45732849,1,3,0,19.236866,0.3848782,1.9965999,0.76844776,1.2281521,-1.5659667,-2.168375,-1.5659667,-2.1404516,-1.4688829,-1.3686548,-1.3747627,-1.4741535,-1.4984568,-1.5659667,2,6,1,3,7,5,1,4,5,5,4,8,3,5,2,5,2,2,5,6,-0.56624669,0.72497057,1.9925264,1.444523,0.54800341
