# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:53:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b66bf7f291.json
# init = 2 (Default)
# random
#   seed = 735838257
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281553-1-0a6bf2.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281553-1-4e10ad.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-221.41422,1,0.5,1,3,0,227.60195,0.64311539,0.19631484,0.1262531,0.070061746,-2.1588242,-1.856332,-1.9808257,-2.2372438,-1.9808257,-2.0688452,-2.0122042,-1.8868721,-1.7337549,-1.8738388,6,1,5,5,2,3,8,6,4,5,5,3,8,4,1,6,1,6,4,2,-9.0535489,0.64743672,0.77960807,0.50474689,0.27486118
-221.41422,0,14.38551,0,1,1,221.5807,0.64311539,0.19631484,0.1262531,0.070061746,-2.1588242,-1.856332,-1.9808257,-2.2372438,-1.9808257,-2.0688452,-2.0122042,-1.8868721,-1.7337549,-1.8738388,6,8,7,8,5,3,5,8,5,5,5,6,4,8,5,2,3,6,4,2,-9.0535489,0.092344223,2.7927547,0.25789476,2.5348599
-221.41422,0,2.4311673,0,1,1,221.98817,0.64311539,0.19631484,0.1262531,0.070061746,-2.1588242,-1.856332,-1.9808257,-2.2372438,-1.9808257,-2.0688452,-2.0122042,-1.8868721,-1.7337549,-1.8738388,8,4,2,8,6,4,6,2,6,4,8,8,6,8,3,5,8,6,1,5,-9.0535489,0.94549458,1.951962,1.8455695,0.10639251
-209.56511,1,0.23979141,2,3,0,220.19337,0.39964266,0.76449776,0.30552592,0.45897184,-1.8849753,-1.6631039,-1.5990325,-2.1945529,-1.5990325,-1.853657,-1.6251001,-1.5005152,-1.3561333,-1.5987934,6,7,5,8,8,6,8,4,1,1,7,7,3,7,3,6,6,6,6,1,-1.4425802,0.58833165,2.2800226,1.3414095,0.93861314
-209.88124,0.84244728,0.32433241,2,3,0,210.45353,0.47418547,0.81791859,0.38784511,0.43007348,-1.9848656,-1.5865377,-1.5979415,-2.3116642,-1.5979415,-1.970889,-1.6481346,-1.4878338,-1.3790682,-1.5575144,8,7,4,4,6,5,8,4,4,1,7,8,4,4,5,3,5,4,4,3,-1.2209743,0.94333365,2.0594395,1.9427386,0.11670092
-211.73443,0.77752547,0.31708978,2,3,0,212.32973,0.54490893,0.38471806,0.20963631,0.17508175,-2.0686564,-1.7001314,-1.792411,-2.2452967,-1.792411,-2.0073402,-1.8357277,-1.6877976,-1.5573928,-1.7102221,8,7,5,8,3,5,5,4,4,1,3,2,7,7,1,4,8,6,5,2,-4.3075721,0.88286545,4.0459916,3.5720662,0.47392541
-211.17349,1,0.26968633,1,1,0,211.891,0.56228368,0.4402642,0.24755337,0.19271082,-2.0883392,-1.6634433,-1.7615805,-2.2860803,-1.7615805,-2.0382122,-1.8162818,-1.6557953,-1.5371455,-1.6725452,4,5,2,7,7,7,6,8,1,4,7,7,7,8,4,3,8,6,8,2,-3.5971154,0.11774216,2.2360963,0.2632828,1.9728135
-209.256,1,0.47336176,2,3,0,209.63776,0.473082,0.57593278,0.27246343,0.30346935,-1.9837273,-1.6465063,-1.6782033,-2.2380903,-1.6782033,-1.9427943,-1.7170212,-1.571614,-1.4442233,-1.631051,7,7,6,7,6,7,6,5,2,2,6,7,2,4,4,8,8,4,2,5,-2.3710738,0.25248352,1.4972868,0.37804025,1.1192465
-209.256,0.022870473,0.86173795,1,1,0,210.01119,0.473082,0.57593278,0.27246343,0.30346935,-1.9837273,-1.6465063,-1.6782033,-2.2380903,-1.6782033,-1.9427943,-1.7170212,-1.571614,-1.4442233,-1.631051,8,6,4,7,7,6,6,6,3,4,7,7,4,7,1,2,1,7,2,3,-2.3710738,0.2833265,1.3465626,0.38151686,0.96504572
-209.64552,0.99037831,0.073185929,4,15,0,210.70727,0.50892845,0.55252126,0.28119379,0.27132747,-2.0276335,-1.6347349,-1.695072,-2.2723591,-1.695072,-1.9882549,-1.7431271,-1.5869459,-1.4684886,-1.6302864,6,3,4,8,6,3,8,7,1,4,4,8,6,8,7,8,5,8,8,5,-2.537086,0.74864768,1.9817953,1.4836664,0.49812885
