# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:53:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 5000
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b67d59e759.json
# init = 2 (Default)
# random
#   seed = 1785474717
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281553-2-596790.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281553-2-2e3b6b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-210.14358,0.3333334,0.5,2,3,0,216.67179,0.33097929,0.66856863,0.22128237,0.44728626,-1.8228225,-1.7518205,-1.6223131,-2.0989588,-1.6223131,-1.7607376,-1.6331502,-1.5395966,-1.3568298,-1.652137,8,6,2,8,3,3,3,3,1,4,7,8,6,8,3,7,6,8,4,4,-1.9404503,0.78039627,2.4986862,1.9499654,0.54872081
-210.14358,0,4.2806307,0,1,1,210.86477,0.33097929,0.66856863,0.22128237,0.44728626,-1.8228225,-1.7518205,-1.6223131,-2.0989588,-1.6223131,-1.7607376,-1.6331502,-1.5395966,-1.3568298,-1.652137,7,7,5,4,3,6,6,6,1,6,7,8,3,6,6,8,7,8,2,2,-1.9404503,0.32621005,2.3810024,0.77670692,1.6042955
-210.14358,0.052437497,0.50511118,2,3,0,211.45129,0.33097929,0.66856863,0.22128237,0.44728626,-1.8228225,-1.7518205,-1.6223131,-2.0989588,-1.6223131,-1.7607376,-1.6331502,-1.5395966,-1.3568298,-1.652137,5,7,1,6,2,4,6,6,2,5,8,8,3,6,6,7,7,7,1,1,-1.9404503,0.3207224,2.1467935,0.68852476,1.4582687
-212.39208,0.98595301,0.04666699,4,15,0,213.67109,0.35116312,1.0904227,0.38291624,0.70750646,-1.8049036,-1.697052,-1.516088,-2.1814531,-1.516088,-1.7909562,-1.5354265,-1.4305814,-1.2697378,-1.5624993,6,5,5,8,4,4,6,6,2,5,6,8,7,8,1,3,6,5,7,8,-0.73555854,0.34336957,4.2794575,1.4694355,2.810022
-212.03488,0.99942874,0.0538765,4,15,0,213.40642,0.44799853,0.34331402,0.15380418,0.18950985,-1.9921023,-1.7589484,-1.8084145,-2.1560106,-1.8084145,-1.9035733,-1.8276575,-1.7064939,-1.5476208,-1.7598059,8,7,5,6,5,4,8,8,3,6,6,7,8,8,6,5,6,7,1,7,-4.9731909,0.7194144,2.0727641,1.4911763,0.58158776
-210.43432,0.9970747,0.07779334,3,7,0,213.41982,0.55906883,0.58713227,0.32824735,0.25888492,-2.097333,-1.5996418,-1.6917468,-2.3495869,-1.6917468,-2.0651097,-1.7601954,-1.5822967,-1.4811849,-1.6033601,7,7,5,6,2,6,8,5,5,2,6,8,6,8,6,7,8,3,3,4,-2.3063232,0.39604627,1.2070887,0.47806299,0.72902574
-209.95727,1,0.12476723,3,7,0,210.73553,0.51071111,0.49223283,0.25138877,0.24084405,-2.0298798,-1.6576468,-1.7237677,-2.2525235,-1.7237677,-1.9820886,-1.7678833,-1.616818,-1.4923094,-1.65694,8,3,4,7,5,6,4,5,2,6,8,6,5,7,5,5,8,7,7,4,-3.042913,0.20427001,1.3651732,0.27886396,1.0863093
-211.71896,0.90475692,0.21621319,2,3,0,211.98953,0.60748244,0.50332951,0.30576384,0.19756567,-2.1547629,-1.6193272,-1.7394418,-2.3702674,-1.7394418,-2.1137561,-1.8180798,-1.6337562,-1.5330658,-1.6300506,7,7,7,7,4,4,5,7,2,3,4,7,3,7,6,6,6,5,3,4,-2.9880369,0.54352273,1.77403,0.96422562,0.80980438
-209.11619,0.90116592,0.28959159,2,3,0,213.3371,0.41713703,0.63103529,0.26322819,0.3678071,-1.9157648,-1.6715566,-1.6467759,-2.187718,-1.6467759,-1.8719419,-1.6734111,-1.5457933,-1.4018168,-1.6297397,5,7,3,6,6,5,6,4,2,2,6,5,4,7,6,5,8,4,2,3,-2.0490942,0.49813035,2.3849539,1.188018,1.196936
-209.19286,0.95648782,0.39182474,2,3,0,209.21541,0.43412364,0.6936935,0.30114874,0.39254476,-1.9313226,-1.6438213,-1.6270287,-2.222866,-1.6270287,-1.8989519,-1.6600699,-1.5231495,-1.3901782,-1.604443,8,7,4,8,5,6,7,6,5,4,6,8,2,7,5,5,5,5,1,2,-1.7145332,0.7938431,2.9392156,2.333276,0.60593957
