# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:58:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b65ffa1ea1.json
# init = 2 (Default)
# random
#   seed = 956528663
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281558-1-3bb3af.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281558-1-01c52b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-226.59326,1,0.25,3,11,0,238.3104,0.041752954,0.23496429,0.0098104531,0.22515383,-1.6403272,-2.1545905,-1.5639055,-1.8078214,-2.1545905,-1.8567267,-1.5825182,-1.8392061,-0.77018115,-1.8095019,6,1,7,5,4,5,6,3,8,6,4,5,8,5,6,8,8,2,8,8,-9.3761232,0.46027986,2.3485364,1.080984,1.2675524
-226.59326,0,14.38551,0,1,1,227.0055,0.041752954,0.23496429,0.0098104531,0.22515383,-1.6403272,-2.1545905,-1.5639055,-1.8078214,-2.1545905,-1.8567267,-1.5825182,-1.8392061,-0.77018115,-1.8095019,5,6,7,1,2,6,6,3,8,8,7,1,8,1,1,5,8,4,4,4,-9.3761232,0.098270449,1.5050463,0.14790158,1.3571447
-226.59326,0,2.4311673,0,1,1,228.41726,0.041752954,0.23496429,0.0098104531,0.22515383,-1.6403272,-2.1545905,-1.5639055,-1.8078214,-2.1545905,-1.8567267,-1.5825182,-1.8392061,-0.77018115,-1.8095019,7,4,8,2,5,8,8,3,7,8,6,5,8,1,4,6,6,2,8,8,-9.3761232,0.23966371,2.9618512,0.70984825,2.252003
-222.6083,0.91133607,0.23979141,3,11,0,227.60157,0.58113235,0.30812122,0.17905921,0.12906201,-1.4865893,-1.8944149,-1.7427307,-1.7931371,-1.8944149,-2.1041542,-1.5508734,-1.7411664,-1.4017519,-1.8658386,5,6,6,4,5,4,7,4,8,6,5,3,6,6,3,6,8,5,5,5,-5.6666079,0.17209677,1.5726995,0.27065651,1.302043
-222.80929,1,0.25175174,2,3,0,223.05278,0.60003081,0.29368683,0.17622115,0.11746568,-1.4984838,-1.8962197,-1.7628693,-1.8092082,-1.8962197,-2.1207296,-1.5704384,-1.7551799,-1.4258467,-1.8789663,7,7,4,4,2,2,6,4,5,7,8,5,3,1,4,3,3,2,6,8,-5.9963613,0.71275422,3.4844844,2.4835809,1.0009035
-222.23791,1,0.38938619,1,1,0,222.98807,0.57712718,0.28062424,0.16195588,0.11866837,-1.5095906,-1.9124393,-1.7529471,-1.8153026,-1.9124393,-2.1035293,-1.572464,-1.7650183,-1.3928221,-1.8745484,4,5,7,4,4,8,8,4,7,5,8,2,7,2,8,2,8,2,7,8,-6.2873652,0.12115059,1.4334294,0.17366082,1.2597685
-222.23791,1.6992743e-19,0.65811118,1,1,0,226.79937,0.57712718,0.28062424,0.16195588,0.11866837,-1.5095906,-1.9124393,-1.7529471,-1.8153026,-1.9124393,-2.1035293,-1.572464,-1.7650183,-1.3928221,-1.8745484,7,4,7,2,5,5,8,5,7,8,5,6,4,2,6,3,6,1,8,6,-6.2873652,0.5269151,1.7981115,0.9474521,0.85065941
-220.72869,0.99999789,0.052149936,4,15,0,222.32758,0.44088841,0.23315929,0.10279723,0.13036206,-1.5655498,-1.9905743,-1.7042709,-1.8386839,-1.9905743,-2.02763,-1.5787919,-1.8099097,-1.2254668,-1.8619478,7,6,4,4,4,5,6,4,8,6,5,3,7,2,5,2,7,7,8,7,-7.6163227,0.39263781,2.465659,0.96811095,1.497548
-220.31498,0.99974559,0.092936305,4,31,0,220.89567,0.35674624,0.27288741,0.097351557,0.17553585,-1.5346871,-2.0013806,-1.628568,-1.7853578,-2.0013806,-1.9579565,-1.5221705,-1.7684776,-1.1077908,-1.8125621,8,7,8,3,3,7,6,2,6,6,8,2,6,2,5,3,8,2,7,8,-6.5421609,0.37112812,2.4359322,0.90404294,1.5318893
-220.4376,0.99205805,0.17072691,3,7,0,220.49417,0.31453071,0.26023875,0.081853079,0.17838567,-1.5537602,-2.0245484,-1.6199433,-1.7934444,-2.0245484,-1.9425829,-1.5300999,-1.7833436,-1.0617638,-1.8138752,8,6,5,5,5,4,5,3,7,8,6,1,7,2,7,6,8,2,8,8,-6.9397146,0.56200403,2.3670539,1.3302938,1.0367601
