# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:58:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b674202032.json
# init = 2 (Default)
# random
#   seed = 1565009320
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281558-2-733f2a.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281558-2-6af03e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-229.09774,1,0.5,1,1,0,255.91544,0.76714163,0.1321445,0.10137355,0.030770954,-1.6863373,-2.0213222,-1.9567017,-2.0268136,-2.0213222,-2.2422003,-1.8170932,-1.9602296,-1.5635774,-2.0131785,6,6,6,4,3,5,8,2,6,7,8,5,8,1,3,6,7,5,8,7,-12.896829,0.44248548,1.8894791,0.83606705,1.053412
-229.09774,0,14.38551,0,1,1,229.28138,0.76714163,0.1321445,0.10137355,0.030770954,-1.6863373,-2.0213222,-1.9567017,-2.0268136,-2.0213222,-2.2422003,-1.8170932,-1.9602296,-1.5635774,-2.0131785,5,6,7,2,4,4,8,4,8,7,6,4,8,5,2,2,8,5,3,8,-12.896829,0.12190305,2.420201,0.29502988,2.1251712
-229.09774,0,2.4311673,0,1,1,229.54771,0.76714163,0.1321445,0.10137355,0.030770954,-1.6863373,-2.0213222,-1.9567017,-2.0268136,-2.0213222,-2.2422003,-1.8170932,-1.9602296,-1.5635774,-2.0131785,7,4,7,3,3,1,6,2,7,6,8,5,3,2,4,6,4,7,2,4,-12.896829,0.54816367,3.7707183,2.0669708,1.7037475
-228.11947,0.99354069,0.23979141,2,3,0,229.77875,0.81248508,0.18788861,0.15265669,0.035231918,-1.607997,-1.9345468,-1.9532641,-1.9607655,-1.9345468,-2.2751443,-1.765745,-1.885011,-1.6478129,-1.9942552,7,6,7,5,5,4,8,3,8,8,8,2,4,3,4,3,5,1,8,8,-9.8306335,0.14675107,3.1792535,0.46655887,2.7126946
-227.1968,0.89847844,0.31840169,1,1,0,228.30518,0.78436977,0.23381425,0.18339683,0.050417422,-1.5603643,-1.8901309,-1.920699,-1.9070875,-1.8901309,-2.2676411,-1.7089287,-1.8325412,-1.6470845,-1.9749389,6,4,4,6,4,2,7,2,5,7,5,7,8,5,1,2,6,1,3,6,-7.9717237,0.686696,1.8710257,1.2848259,0.58619983
-227.1968,0.12385453,0.36759421,2,3,0,228.18155,0.78436977,0.23381425,0.18339683,0.050417422,-1.5603643,-1.8901309,-1.920699,-1.9070875,-1.8901309,-2.2676411,-1.7089287,-1.8325412,-1.6470845,-1.9749389,8,6,6,5,1,5,8,1,4,8,8,3,4,1,4,3,8,2,8,8,-7.9717237,0.56209936,1.2724359,0.71523541,0.5572005
-220.86579,0.99874554,0.042418789,5,39,0,228.96677,0.25793807,0.25407164,0.065534748,0.18853689,-1.5701772,-2.0511612,-1.6025579,-1.7947682,-2.0511612,-1.9191361,-1.533806,-1.7935319,-0.99759859,-1.8097321,6,4,4,5,4,1,4,2,7,8,7,8,3,1,8,6,5,2,8,3,-7.231551,0.69589412,1.5998326,1.1133141,0.4865185
-220.95515,0.99594668,0.071923785,2,7,0,221.26193,0.25008339,0.26578167,0.066467581,0.19931409,-1.5599943,-2.0506935,-1.5883918,-1.7817699,-2.0506935,-1.9067577,-1.5229528,-1.7817568,-0.97991133,-1.7981609,7,5,6,2,7,5,7,3,7,7,1,4,8,6,5,7,7,7,7,6,-6.9291886,0.56783956,2.1780871,1.236804,0.94128309
-221.29985,0.99413755,0.12694707,2,3,0,221.32776,0.22543322,0.27216854,0.061355831,0.21081271,-1.558894,-2.0601998,-1.5732807,-1.7734156,-2.0601998,-1.8905391,-1.5184063,-1.7773124,-0.9453424,-1.7889008,8,3,3,3,4,5,8,3,5,8,6,8,4,1,3,7,5,3,8,7,-6.8337894,0.58713688,2.2897645,1.3444052,0.94535934
-223.71451,0.91270727,0.22945791,4,15,0,225.46816,0.11268142,0.2597319,0.029266958,0.23046494,-1.5972165,-2.1172004,-1.5516049,-1.7812031,-2.1172004,-1.8547562,-1.5458654,-1.802582,-0.82151313,-1.7876612,6,7,8,4,4,4,6,2,6,8,8,3,6,5,7,5,6,4,6,7,-7.7220922,0.55813175,1.2978018,0.72434437,0.57345738
