# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 13:59:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b61d36e59c.json
# init = 2 (Default)
# random
#   seed = 1423934635
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281559-1-332dd4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281559-1-12140b.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-228.96253,1,0.5,1,1,0,269.28822,0.79377587,0.51649069,0.40997785,0.10651284,-1.7161353,-1.739575,-1.5991693,-1.756694,-1.9212458,-1.6428113,-1.9212458,-1.4080087,-1.4080087,-1.3870488,4,7,2,4,2,4,6,3,2,6,2,5,5,8,3,1,2,2,7,8,-3.2488733,0.38762108,1.7077408,0.66195633,1.0457845
-228.96253,0,14.38551,0,1,1,230.31493,0.79377587,0.51649069,0.40997785,0.10651284,-1.7161353,-1.739575,-1.5991693,-1.756694,-1.9212458,-1.6428113,-1.9212458,-1.4080087,-1.4080087,-1.3870488,3,7,5,2,2,4,8,6,7,4,1,6,5,2,5,3,1,4,4,7,-3.2488733,0.16145375,2.0265925,0.32720095,1.6993915
-228.96253,0,2.4311673,0,1,1,229.67227,0.79377587,0.51649069,0.40997785,0.10651284,-1.7161353,-1.739575,-1.5991693,-1.756694,-1.9212458,-1.6428113,-1.9212458,-1.4080087,-1.4080087,-1.3870488,4,6,5,7,3,2,6,1,1,8,3,4,2,5,4,5,8,1,3,8,-3.2488733,0.74080456,2.0823705,1.5426296,0.53974095
-221.30858,0.998928,0.23979141,2,5,0,230.67067,0.46359131,0.28133399,0.13042399,0.15091,-1.9538968,-1.964307,-1.8062675,-1.8497366,-1.6799504,-1.9872289,-1.6799504,-1.7253007,-1.7253007,-1.5569998,3,6,3,2,3,1,6,4,1,6,7,8,8,7,4,4,1,7,3,7,-6.2512954,0.70393746,2.9635546,2.0861571,0.8773975
-221.64828,0.7856694,0.32334055,1,3,0,222.61874,0.58376419,0.24292385,0.14181024,0.10111361,-1.9367314,-1.9585414,-1.8243606,-1.897106,-1.7783878,-1.8922977,-1.7783878,-1.683326,-1.683326,-1.5626546,6,5,6,4,3,3,5,2,4,5,6,8,4,8,2,3,7,4,2,8,-7.3224164,0.47334086,1.1971363,0.56665353,0.63048279
-221.61433,0.96763969,0.2668562,2,5,0,222.0347,0.54179961,0.24081727,0.1304747,0.11034257,-1.9515525,-1.9703064,-1.8327533,-1.8960987,-1.7540736,-1.9245597,-1.7540736,-1.7068706,-1.7068706,-1.5744264,5,7,3,2,2,6,4,4,3,8,5,2,5,1,2,1,7,2,3,7,-7.3658493,0.4961445,3.8390979,1.9047473,1.9343506
-221.61433,0.43676239,0.40433137,1,3,0,222.86389,0.54179961,0.24081727,0.1304747,0.11034257,-1.9515525,-1.9703064,-1.8327533,-1.8960987,-1.7540736,-1.9245597,-1.7540736,-1.7068706,-1.7068706,-1.5744264,6,8,4,5,4,3,4,2,2,8,6,2,4,3,4,2,4,2,6,8,-7.3658493,0.43567713,1.4342718,0.62487944,0.8093924
-221.66656,0.98657427,0.12376587,2,5,0,222.20612,0.57847227,0.40475905,0.23414189,0.17061717,-1.8501664,-1.8603073,-1.6907338,-1.7554864,-1.7061501,-1.8742025,-1.7061501,-1.584662,-1.584662,-1.4304887,7,5,4,2,3,4,8,2,3,6,2,7,4,5,1,5,7,3,2,8,-4.0455216,0.32964044,2.727563,0.89911507,1.828448
-221.70412,1,0.21322329,3,7,0,221.79549,0.58100972,0.23976016,0.13930298,0.10045717,-1.9400325,-1.9618787,-1.8282218,-1.9004696,-1.7786249,-1.8952719,-1.7786249,-1.6874488,-1.6874488,-1.5666713,4,7,6,2,2,3,7,3,5,6,3,7,2,1,1,6,2,3,6,3,-7.4183277,0.15884947,1.7972536,0.28549278,1.5117609
-221.70412,0.044967317,0.39359015,1,1,0,222.70136,0.58100972,0.23976016,0.13930298,0.10045717,-1.9400325,-1.9618787,-1.8282218,-1.9004696,-1.7786249,-1.8952719,-1.7786249,-1.6874488,-1.6874488,-1.5666713,7,5,5,8,3,5,6,4,4,7,4,6,4,7,8,7,5,5,7,3,-7.4183277,0.44868448,1.3743592,0.61665363,0.75770553
