# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 14:00:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6668ca32.json
# init = 2 (Default)
# random
#   seed = 1342598920
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281600-1-3de0cf.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281600-1-47c0ad.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-225.23198,0.94998582,0.25,2,3,0,228.01765,0.13735913,0.26216392,0.036010608,0.22615331,-1.7793019,-2.1046798,-1.7323521,-2.7239626,-1.8451978,-2.3727983,-1.7323521,-2.786828,-1.9055342,-1.8219905,3,7,6,5,4,6,5,8,4,6,2,5,5,8,6,8,7,4,3,5,-7.4856592,0.16680414,1.3868036,0.23132457,1.155479
-225.23198,0,13.135081,0,1,1,225.34977,0.13735913,0.26216392,0.036010608,0.22615331,-1.7793019,-2.1046798,-1.7323521,-2.7239626,-1.8451978,-2.3727983,-1.7323521,-2.786828,-1.9055342,-1.8219905,7,4,6,1,6,8,7,4,7,6,4,4,5,6,2,6,2,5,4,7,-7.4856592,0.1814907,1.8445397,0.33476681,1.5097729
-225.23198,2.9695798e-19,2.1608183,1,2,1,226.11352,0.13735913,0.26216392,0.036010608,0.22615331,-1.7793019,-2.1046798,-1.7323521,-2.7239626,-1.8451978,-2.3727983,-1.7323521,-2.786828,-1.9055342,-1.8219905,3,5,7,3,7,6,8,4,7,6,3,5,8,5,2,5,8,4,7,6,-7.4856592,0.41374679,1.0943646,0.45278982,0.64157474
-224.91796,0.78462833,0.20987182,1,3,0,227.89895,0.19725361,0.1991466,0.039282384,0.15986421,-1.8570271,-2.0978824,-1.7498026,-2.5222302,-1.9230105,-2.2924941,-1.7498026,-2.4904833,-1.9461291,-1.8709589,4,2,8,4,2,8,6,4,5,7,1,5,3,5,6,8,5,4,6,7,-9.3065169,0.54953445,3.3164971,1.8225294,1.4939677
-222.6659,0.99329039,0.15194577,3,7,0,225.47642,0.28853875,0.39821735,0.11490114,0.28331622,-1.6751611,-2.0021182,-1.5593738,-2.7158656,-1.7983164,-2.2614582,-1.5593738,-2.8411691,-1.7708563,-1.6981355,5,7,7,5,3,6,7,7,6,7,6,2,5,4,5,7,5,1,4,6,-4.3060102,0.20532465,3.238907,0.66502744,2.5738796
-222.74291,0.97376052,0.22535671,1,1,0,222.95369,0.29139569,0.40759505,0.11877144,0.28882361,-1.6692676,-1.99913,-1.5528604,-2.7231102,-1.794932,-2.2604995,-1.5528604,-2.8532732,-1.7649905,-1.6922304,5,4,8,7,3,7,7,4,6,3,1,4,7,5,1,8,6,5,2,8,-4.1742788,0.78098375,1.4353957,1.1210207,0.31437499
-222.33674,1,0.34632934,2,3,0,222.79588,0.50327875,0.41894637,0.21084681,0.20809957,-1.6993639,-1.8807033,-1.4422676,-2.3953468,-1.8839703,-2.0393112,-1.4422676,-2.4497293,-1.6978273,-1.6546371,4,5,6,4,4,5,5,5,5,7,3,2,5,8,3,6,6,7,7,7,-3.8372924,0.40073135,2.3407247,0.93800178,1.4027229
-222.33674,4.8645876e-05,0.61041521,2,3,0,222.94692,0.50327875,0.41894637,0.21084681,0.20809957,-1.6993639,-1.8807033,-1.4422676,-2.3953468,-1.8839703,-2.0393112,-1.4422676,-2.4497293,-1.6978273,-1.6546371,2,4,7,3,6,8,7,3,6,7,5,8,5,7,5,8,6,5,8,6,-3.8372924,0.16805636,4.0961912,0.68839098,3.4078002
-221.39573,0.99987213,0.048093233,4,15,0,222.44608,0.46531811,0.35622421,0.16575757,0.19046663,-1.7319348,-1.9200807,-1.4965441,-2.3996737,-1.8891144,-2.0812208,-1.4965441,-2.4291535,-1.7466848,-1.6996763,4,5,8,2,6,3,7,3,5,5,1,6,8,5,5,6,3,2,7,7,-4.7465652,0.54095244,1.1660294,0.63076647,0.53526297
-221.71603,0.96122684,0.088102965,2,7,0,223.43899,0.46533089,0.24686468,0.11487376,0.13199092,-1.8273622,-1.9731919,-1.5898449,-2.3013538,-1.9495078,-2.1081363,-1.5898449,-2.2339192,-1.839115,-1.7962206,6,7,5,4,4,8,7,6,6,5,4,3,8,8,4,8,8,1,4,8,-7.1796786,0.23697446,1.2644639,0.29964565,0.96481827
