# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 14:15:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b625882ba.json
# init = 2 (Default)
# random
#   seed = 1511064553
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281615-2-32b937.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281615-2-459730.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-222.27727,0.8423537,0.25,2,3,0,223.79847,0.51307034,0.2295029,0.11775113,0.11175177,-1.8539754,-1.9691602,-1.5944792,-2.2380836,-1.9776011,-2.0887136,-1.5944792,-2.1320579,-1.8497427,-1.8143625,2,4,8,3,6,6,5,2,7,6,7,4,8,5,4,7,4,3,4,6,-7.7235058,0.61406454,2.0141366,1.2368099,0.77732673
-222.27727,0,10.800493,0,1,1,224.57479,0.51307034,0.2295029,0.11775113,0.11175177,-1.8539754,-1.9691602,-1.5944792,-2.2380836,-1.9776011,-2.0887136,-1.5944792,-2.1320579,-1.8497427,-1.8143625,1,7,6,4,2,8,6,5,6,6,1,4,2,6,3,4,5,3,7,6,-7.7235058,0.3728627,2.2127135,0.82503834,1.3876752
-222.27727,9.0509912e-90,1.6766465,1,2,1,222.80124,0.51307034,0.2295029,0.11775113,0.11175177,-1.8539754,-1.9691602,-1.5944792,-2.2380836,-1.9776011,-2.0887136,-1.5944792,-2.1320579,-1.8497427,-1.8143625,2,5,6,1,6,7,6,5,7,5,3,3,3,8,5,4,7,5,1,5,-7.7235058,0.32283506,1.4357615,0.46351416,0.97224738
-223.01644,0.99591738,0.15754172,3,7,0,223.56787,0.62579012,0.29845061,0.18676745,0.11168317,-1.8114164,-1.8843064,-1.5012197,-2.1629032,-1.9833374,-1.9903763,-1.5012197,-2.075417,-1.7634811,-1.7433805,4,3,8,4,3,5,8,3,5,7,4,7,6,8,6,7,4,1,6,7,-5.9140351,0.49974112,1.3125646,0.65594248,0.65662207
-221.22898,1,0.20431978,2,7,0,223.11099,0.38569651,0.30066942,0.11596715,0.18470227,-1.7630981,-1.9773762,-1.5708489,-2.4510328,-1.8869028,-2.1534692,-1.5708489,-2.4676625,-1.8068671,-1.7505798,5,6,6,3,2,7,6,4,6,8,7,7,5,3,2,6,7,6,5,4,-5.853483,0.069659057,4.0541042,0.28240508,3.7716991
-221.28386,0.95670148,0.31316616,1,3,0,221.76854,0.47401034,0.29639706,0.14049527,0.15590179,-1.7810903,-1.9420404,-1.5401193,-2.3359742,-1.9216843,-2.0867157,-1.5401193,-2.3136844,-1.7909659,-1.7474522,3,5,5,4,6,6,5,4,5,7,1,4,8,3,5,8,2,1,7,7,-5.8970848,0.28378463,1.6730388,0.47478269,1.1982561
-221.28386,0.082833005,0.46085565,2,3,0,221.66805,0.47401034,0.29639706,0.14049527,0.15590179,-1.7810903,-1.9420404,-1.5401193,-2.3359742,-1.9216843,-2.0867157,-1.5401193,-2.3136844,-1.7909659,-1.7474522,6,2,4,7,6,7,7,4,4,7,2,6,7,4,3,5,5,3,5,7,-5.8970848,0.71539869,1.3842667,0.99030256,0.39396411
-221.91611,0.99839564,0.046981517,4,15,0,222.17684,0.5459185,0.27463427,0.14992793,0.12470634,-1.8142495,-1.9271598,-1.5388995,-2.2364242,-1.9611574,-2.0479193,-1.5388995,-2.1636244,-1.7976111,-1.7656315,1,5,8,3,3,5,7,5,8,7,2,7,2,5,5,7,2,2,2,2,-6.420601,0.45406703,3.9624834,1.7992331,2.1632504
-221.22974,0.98938889,0.083221254,4,15,0,222.72878,0.38851493,0.29713826,0.11544265,0.18169561,-1.766664,-1.9775598,-1.5724698,-2.4433748,-1.8900744,-2.1514286,-1.5724698,-2.4557625,-1.8090457,-1.753293,5,2,7,2,1,8,8,4,6,7,1,8,4,4,5,7,8,3,4,8,-5.9288099,0.52047615,0.83440435,0.43428756,0.40011679
-221.15703,1,0.14788195,3,7,0,221.23339,0.43096179,0.32315055,0.13926554,0.18388501,-1.7509975,-1.9483389,-1.5342065,-2.4155043,-1.8907814,-2.1142153,-1.5342065,-2.4335948,-1.7786556,-1.7278162,4,5,8,6,8,7,7,6,5,7,2,7,5,5,5,4,8,5,5,5,-5.3550225,0.76422333,1.5972481,1.2206542,0.37659382
