# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:02:43 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b658fb2b2.json
# init = 2 (Default)
# random
#   seed = 962358008
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281702-1-053049.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281702-1-98b344.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-229.16178,1,0.25,2,3,0,288.39731,0.39507012,0.45130549,0.17829731,0.27300817,-2.8984695,-1.6602974,-1.7186228,-1.9225236,-0.91172832,-1.7380063,-1.7304329,-0.91172832,-1.70558,-1.8611163,8,5,3,4,8,8,5,8,2,7,4,8,3,5,7,8,5,7,3,1,-3.5025566,0.056525807,2.6425955,0.14937484,2.4932206
-229.16178,0,14.38551,0,1,1,229.84301,0.39507012,0.45130549,0.17829731,0.27300817,-2.8984695,-1.6602974,-1.7186228,-1.9225236,-0.91172832,-1.7380063,-1.7304329,-0.91172832,-1.70558,-1.8611163,8,6,3,8,8,8,3,8,2,6,8,2,5,5,6,6,5,5,8,8,-3.5025566,0.42454076,1.8684229,0.79322169,1.0752012
-229.16178,0,2.4311673,0,1,1,229.18282,0.39507012,0.45130549,0.17829731,0.27300817,-2.8984695,-1.6602974,-1.7186228,-1.9225236,-0.91172832,-1.7380063,-1.7304329,-0.91172832,-1.70558,-1.8611163,6,7,4,8,7,3,1,7,4,4,8,8,4,6,6,7,5,7,6,6,-3.5025566,0.98661826,2.199561,2.1701271,0.029433952
-235.17272,0.58259611,0.23979141,2,3,0,235.41415,0.40837503,0.070799725,0.02891284,0.041886885,-2.3733305,-2.1154906,-1.9728029,-2.214341,-1.2566609,-2.0902252,-2.1991155,-1.2566609,-2.1326544,-2.2236544,8,4,2,7,8,7,5,8,4,5,8,7,6,8,5,2,4,5,8,8,-19.531778,0.39887874,2.7059137,1.0793314,1.6265823
-234.42656,1,0.098414328,1,1,0,235.27041,0.41354125,0.073865356,0.030546371,0.043318984,-2.3733906,-2.1066823,-1.9654052,-2.20822,-1.2507653,-2.0823253,-2.1905688,-1.2507653,-2.125551,-2.2158557,5,6,2,8,6,7,2,6,4,6,8,8,1,1,8,5,6,8,2,8,-19.007468,0.54348923,1.6331948,0.88762377,0.74557099
-231.68057,1,0.14612442,1,1,0,234.32145,0.40506287,0.087433044,0.03541588,0.052017164,-2.3821503,-2.0730266,-1.9431289,-2.1802578,-1.2155945,-2.0503183,-2.1561004,-1.2155945,-2.0918744,-2.1868228,6,5,4,5,7,7,5,8,5,6,1,6,6,8,3,6,8,4,3,4,-17.014328,0.42857171,3.5264174,1.5113227,2.0150946
-223.99736,1,0.24052342,2,3,0,230.87708,0.60603202,0.332903,0.20174988,0.13115312,-2.5074753,-1.7130906,-1.605623,-2.1282394,-1.1518455,-1.722266,-1.8051899,-1.1518455,-1.8772119,-1.8377234,8,8,5,8,7,5,5,8,4,7,5,7,5,3,8,4,1,7,5,4,-5.1965017,0.66427972,1.75333,1.1647016,0.58862843
-223.1276,0.48716316,0.42137349,2,3,0,223.4769,0.63629651,0.2470669,0.1572078,0.089859093,-2.409691,-1.794258,-1.6541413,-2.1508732,-1.2009823,-1.7964561,-1.8899312,-1.2009823,-1.9457924,-1.9087723,6,5,3,8,5,5,5,6,4,6,5,8,2,8,7,8,5,8,5,8,-7.24604,0.90114673,1.1959985,1.0777701,0.11822837
-224.1877,0.90538458,0.15290198,3,7,0,224.67601,0.59312362,0.16620737,0.098581518,0.067625855,-2.3730668,-1.9012186,-1.7595617,-2.1423839,-1.2103586,-1.9004251,-1.9953902,-1.2103586,-2.0032813,-2.0185678,7,6,3,8,7,6,2,8,4,3,5,1,1,5,5,7,2,6,2,5,-10.438078,0.36573069,1.9741745,0.7220162,1.2521583
-223.60594,1,0.20900822,2,3,0,224.34451,0.55726454,0.17822275,0.09931722,0.078905533,-2.4000401,-1.8850109,-1.7598403,-2.1201386,-1.1778641,-1.8853486,-1.9763029,-1.1778641,-1.9771127,-2.0075535,7,8,4,8,8,6,2,6,3,4,5,3,5,4,7,7,6,7,1,1,-9.8009828,0.65142097,1.9660491,1.2807256,0.68532349
