# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:02:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b676269723.json
# init = 2 (Default)
# random
#   seed = 1539317536
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281702-1-736cdf.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281702-1-3adacb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-227.92606,1,0.5,1,1,0,249.22765,0.37515871,0.11574064,0.04342111,0.072319531,-2.4166338,-2.0143507,-1.9115752,-2.1277436,-1.1457738,-1.997089,-2.0943797,-1.1457738,-2.0275157,-2.138544,7,5,3,7,6,5,1,4,3,3,7,5,3,6,7,5,2,8,1,2,-13.96817,0.77772175,2.252353,1.7517039,0.50064907
-227.92606,0,14.38551,0,1,1,230.52914,0.37515871,0.11574064,0.04342111,0.072319531,-2.4166338,-2.0143507,-1.9115752,-2.1277436,-1.1457738,-1.997089,-2.0943797,-1.1457738,-2.0275157,-2.138544,7,7,5,7,8,8,6,8,3,8,5,4,6,7,8,5,3,7,3,1,-13.96817,0.15706066,2.2653954,0.35580449,1.9095909
-227.92606,0,2.4311673,0,1,1,228.20849,0.37515871,0.11574064,0.04342111,0.072319531,-2.4166338,-2.0143507,-1.9115752,-2.1277436,-1.1457738,-1.997089,-2.0943797,-1.1457738,-2.0275157,-2.138544,8,6,6,7,8,8,4,7,2,7,5,7,2,3,3,5,1,7,1,7,-13.96817,0.0861007,3.1533812,0.27150832,2.8818728
-225.91703,1,0.23979141,1,1,0,227.68276,0.37122144,0.14071864,0.052237776,0.088480863,-2.4492831,-1.9682567,-1.8842568,-2.0918511,-1.1032342,-1.9591402,-2.0468596,-1.1032342,-1.9817608,-2.1008419,7,3,4,5,8,8,4,8,5,6,6,5,3,7,8,5,5,8,2,6,-12.01689,0.065794329,0.74674181,0.049131377,0.69761044
-223.00123,0.90265764,0.32433241,2,7,0,225.72267,0.53702133,0.28447519,0.15276925,0.13170595,-2.5206468,-1.7593005,-1.6774903,-2.0723239,-1.1046272,-1.7739522,-1.8466137,-1.1046272,-1.8715273,-1.8968488,7,7,6,7,8,5,6,8,6,2,3,4,1,7,4,8,4,7,1,3,-6.1757145,0.39633486,2.497783,0.98995846,1.5078245
-224.01568,0.73344766,0.3794404,2,3,0,224.7126,0.68362641,0.19577369,0.13383606,0.061937624,-2.3470096,-1.8568822,-1.687803,-2.1837791,-1.2555451,-1.8565424,-1.9567631,-1.2555451,-2.0079788,-1.9633109,7,6,6,7,8,6,2,7,4,6,4,4,4,7,8,7,3,8,6,2,-9.1358344,0.57220568,2.1475259,1.2288265,0.91869939
-225.97823,0.5830333,0.28334216,1,1,0,226.02761,0.71645958,0.15139146,0.10846586,0.042925598,-2.3139388,-1.9229212,-1.737117,-2.2045497,-1.2979332,-1.9242677,-2.0257214,-1.2979332,-2.0636451,-2.0272433,8,8,2,4,8,7,3,8,2,6,8,5,4,8,2,4,2,2,7,4,-11.463448,0.64675321,0.95436754,0.61724027,0.33712727
-224.55462,0.98301975,0.1359387,2,3,0,226.51474,0.71636885,0.19049082,0.13646169,0.054029131,-2.32797,-1.8650446,-1.6824132,-2.2045379,-1.2808813,-1.8643084,-1.9671488,-1.2808813,-2.0269224,-1.9668605,7,5,3,6,3,3,4,5,5,7,3,8,2,4,5,8,4,7,2,2,-9.4267302,0.89650894,1.7221912,1.5439598,0.17823139
-225.28726,0.8655654,0.23180285,2,7,0,226.16818,0.66218775,0.15334095,0.1015405,0.051800451,-2.3358715,-1.9197305,-1.7518703,-2.1786785,-1.2630916,-1.9196176,-2.0189289,-1.2630916,-2.0420214,-2.0294162,8,5,1,8,8,7,3,4,5,4,8,7,1,5,8,5,1,6,1,4,-11.248111,0.80212406,2.2521694,1.8065192,0.44565012
-223.78227,1,0.27998363,1,1,0,224.91861,0.64425563,0.18827918,0.12129992,0.066979259,-2.362837,-1.8668722,-1.7120023,-2.1608233,-1.2310626,-1.8671445,-1.9642227,-1.2310626,-1.9983246,-1.9789653,6,8,4,7,5,5,5,8,5,4,4,8,3,5,3,8,3,7,7,2,-9.4047218,0.29337732,3.0690294,0.90038363,2.1686458
