# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6589cbe2d.json
# init = 2 (Default)
# random
#   seed = 803065192
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-1-08cf39.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-1-419bb9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-230.53903,1,0.25,1,1,0,240.81151,0.15269293,0.38408329,0.058646804,0.32543649,-1.3879269,-1.763298,-2.0389005,-2.4315761,-2.0389005,-2.0299902,-1.8232208,-2.9323149,-1.8448401,-1.8448401,8,4,7,5,5,3,3,4,8,7,8,2,5,7,4,3,1,4,4,5,-4.9674384,0.59972796,2.396631,1.4373266,0.95930439
-230.53903,0,14.38551,0,1,1,231.3323,0.15269293,0.38408329,0.058646804,0.32543649,-1.3879269,-1.763298,-2.0389005,-2.4315761,-2.0389005,-2.0299902,-1.8232208,-2.9323149,-1.8448401,-1.8448401,6,1,8,7,1,6,4,2,7,8,2,7,6,5,5,5,6,8,8,8,-4.9674384,0.61884382,0.88827596,0.54970409,0.33857187
-230.53903,0,2.4311673,0,1,1,230.57796,0.15269293,0.38408329,0.058646804,0.32543649,-1.3879269,-1.763298,-2.0389005,-2.4315761,-2.0389005,-2.0299902,-1.8232208,-2.9323149,-1.8448401,-1.8448401,6,3,6,6,2,4,4,4,7,7,4,3,8,6,2,2,1,6,5,5,-4.9674384,0.50787649,0.98417582,0.49983976,0.48433606
-211.99797,0.89277824,0.23979141,3,7,0,227.53478,0.9358983,0.33110365,0.30987934,0.021224306,-0.66727877,-1.9280163,-1.8136477,-1.8400454,-1.8136477,-1.5964812,-1.9174123,-1.8577156,-0.69490984,-0.69490984,7,7,4,3,6,7,5,2,8,8,8,4,2,2,5,5,4,3,3,7,-6.6112368,0.95321316,1.3780842,1.313608,0.0644762
-211.42247,1,0.23875097,2,3,0,211.88713,0.93608386,0.26722367,0.25014376,0.017079904,-0.73157108,-1.9694946,-1.8728014,-1.8952321,-1.8728014,-1.6426869,-1.9606062,-1.8709664,-0.75649906,-0.75649906,8,2,5,5,4,6,3,4,6,8,8,6,6,8,6,7,7,1,7,8,-8.0334564,0.40963557,1.4366627,0.58850816,0.84815457
-211.42247,0.24726618,0.36842711,2,3,0,212.4183,0.93608386,0.26722367,0.25014376,0.017079904,-0.73157108,-1.9694946,-1.8728014,-1.8952321,-1.8728014,-1.6426869,-1.9606062,-1.8709664,-0.75649906,-0.75649906,7,3,8,6,4,6,3,4,7,7,6,3,7,4,6,3,6,6,8,5,-8.0334564,0.71309311,2.3966245,1.7090164,0.6876081
-209.47925,0.99895809,0.062040363,4,23,0,212.12133,0.85120266,0.29128693,0.24794421,0.04334272,-0.77463393,-1.9281735,-1.8413484,-1.8971073,-1.8413484,-1.6550624,-1.9092869,-1.9380836,-0.83598734,-0.83598734,8,4,4,6,3,6,2,2,7,7,7,8,5,7,2,3,8,3,8,7,-6.6903869,0.31890991,1.6225758,0.51745549,1.1051203
-208.91967,0.99508321,0.10592895,3,15,0,211.41975,0.74420197,0.32969438,0.24535921,0.084335174,-0.83536969,-1.8727974,-1.8067495,-1.9118543,-1.8067495,-1.6775559,-1.8448589,-2.045781,-0.94927618,-0.94927618,7,2,7,3,6,3,4,4,8,7,7,4,5,5,5,4,8,6,8,6,-5.4829693,0.5157018,1.9887269,1.0255901,0.96313689
-209.07509,0.98307495,0.18715845,4,15,0,209.63802,0.7094979,0.28097854,0.19935368,0.081624854,-0.89975788,-1.9029025,-1.8534925,-1.9595082,-1.8534925,-1.7193995,-1.8773929,-2.0700191,-1.0204197,-1.0204197,8,4,6,6,4,6,4,4,5,8,5,6,6,8,5,5,8,8,8,8,-6.4476844,0.50823873,1.8172601,0.92360198,0.89365816
-209.13035,0.99591994,0.32729036,2,7,0,209.21267,0.81860971,0.30062885,0.24609769,0.054531155,-0.79336372,-1.9126493,-1.8313041,-1.9009092,-1.8313041,-1.6618008,-1.8906188,-1.9678268,-0.86971263,-0.86971263,8,3,3,5,2,8,6,6,8,8,8,8,5,2,7,4,6,7,8,8,-6.3216524,0.74797639,2.9638299,2.2168748,0.74695509
