# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b672460238.json
# init = 2 (Default)
# random
#   seed = 2064940492
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-1-414e90.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-1-06a02e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-226.78862,0.96134687,0.25,1,3,0,228.39629,0.25715321,0.14903218,0.038324103,0.11070807,-2.5180509,-1.9762329,-1.9321878,-2.0567008,-1.024467,-1.9710461,-2.0458143,-1.024467,-1.9480873,-2.1213013,8,4,4,7,8,5,4,8,4,6,7,6,5,5,4,1,4,8,1,1,-11.671907,0.30020607,5.4980731,1.6505549,3.8475182
-226.78862,0,13.409227,0,1,1,226.82414,0.25715321,0.14903218,0.038324103,0.11070807,-2.5180509,-1.9762329,-1.9321878,-2.0567008,-1.024467,-1.9710461,-2.0458143,-1.024467,-1.9480873,-2.1213013,7,6,1,8,8,5,3,8,5,5,4,1,8,7,6,8,7,4,7,3,-11.671907,0.86027993,1.443008,1.2413908,0.20161718
-226.78862,0,2.2194629,0,1,1,227.877,0.25715321,0.14903218,0.038324103,0.11070807,-2.5180509,-1.9762329,-1.9321878,-2.0567008,-1.024467,-1.9710461,-2.0458143,-1.024467,-1.9480873,-2.1213013,8,5,4,8,5,5,4,7,4,7,3,6,1,6,4,7,2,1,5,1,-11.671907,0.77140565,1.1032582,0.8510596,0.25219859
-226.51175,1,0.21632256,1,1,0,226.90573,0.26083324,0.15457538,0.040318396,0.11425698,-2.5264164,-1.966841,-1.9264117,-2.0496415,-1.01768,-1.9645231,-2.0363453,-1.01768,-1.9394267,-2.1139529,7,6,6,4,6,8,7,6,5,6,7,5,5,5,8,8,5,8,5,3,-11.322523,0.53343432,2.6746072,1.4267273,1.2478799
-225.62986,0.99087352,0.29042095,2,3,0,226.86345,0.28904998,0.25074937,0.0724791,0.17827027,-2.6920886,-1.841159,-1.8612296,-1.9562062,-0.9234501,-1.8847577,-1.9075961,-0.9234501,-1.8184253,-2.0205063,8,6,5,7,8,3,4,8,5,6,5,6,3,4,7,7,4,8,6,6,-7.2563165,0.26105732,1.6292214,0.42532018,1.2039012
-225.62986,0.056406944,0.4398638,1,1,0,225.85007,0.28904998,0.25074937,0.0724791,0.17827027,-2.6920886,-1.841159,-1.8612296,-1.9562062,-0.9234501,-1.8847577,-1.9075961,-0.9234501,-1.8184253,-2.0205063,6,6,1,8,7,8,5,7,5,7,4,8,2,4,6,4,6,8,3,8,-7.2563165,0.85201209,2.9817526,2.5404893,0.44126332
-225.19693,0.99243438,0.041487997,2,7,0,227.03949,0.297667,0.23546076,0.0700889,0.16537186,-2.6549953,-1.8545154,-1.8609018,-1.9719426,-0.94395278,-1.8894134,-1.9224756,-0.94395278,-1.8369123,-2.0272346,7,6,3,4,7,8,5,7,1,7,7,2,5,4,6,8,2,7,7,6,-7.7066551,0.34755957,1.3094289,0.45510453,0.85432432
-224.82916,0.99892496,0.068951775,4,23,0,225.86207,0.7338242,0.2831086,0.20775194,0.075356658,-2.3659582,-1.7646334,-1.5791857,-2.2470729,-1.275861,-1.7573989,-1.8659151,-1.275861,-1.9790122,-1.8564392,4,3,2,8,8,7,2,8,5,6,8,7,3,2,6,4,1,8,1,1,-6.4498035,0.38205019,2.6529297,1.0135523,1.6393774
-226.06427,0.90825414,0.12279582,2,3,0,226.4781,0.74164846,0.33652508,0.24958331,0.086941773,-2.3912573,-1.7219198,-1.5337365,-2.2824747,-1.2797746,-1.7102847,-1.82269,-1.2797746,-1.9635832,-1.8077043,8,7,1,6,8,8,8,8,2,7,5,6,6,2,6,8,2,6,3,6,-5.3499493,0.36844013,1.4848168,0.5470661,0.9377507
-222.79743,0.97538335,0.16920328,2,7,0,227.40605,0.49757459,0.22337707,0.11114675,0.11223031,-2.4820241,-1.8296327,-1.7448623,-2.0680044,-1.1041185,-1.8388948,-1.9151293,-1.1041185,-1.9077148,-1.9665681,7,6,3,7,7,8,1,6,5,6,6,8,6,4,4,7,3,2,8,8,-7.9315452,0.55917726,2.2540729,1.2604263,0.99364657
-222.78111,0.9430282,0.29296407,2,3,0,222.96477,0.50866875,0.25550033,0.12996503,0.12553529,-2.5112325,-1.7916181,-1.7140967,-2.0610563,-1.0941912,-1.8053944,-1.8772021,-1.0941912,-1.8822044,-1.9313503,7,5,3,7,8,8,6,7,6,7,6,5,3,5,8,4,4,8,1,6,-6.9241792,0.065635997,2.1584907,0.14167469,2.016816
-223.96155,0.15430334,0.46212556,1,3,0,224.50623,0.43398882,0.30219964,0.13115127,0.17104837,-2.6375986,-1.7567955,-1.7345545,-1.9966542,-1.0076782,-1.7901198,-1.8346039,-1.0076782,-1.8147386,-1.9197131,7,5,3,8,8,7,3,7,2,4,8,5,6,3,7,3,2,6,3,2,-5.7840408,0.46251576,0.97286993,0.44996768,0.52290225
-223.24774,0.99638552,0.061048773,4,15,0,224.97911,0.51600559,0.29831469,0.15393205,0.14438264,-2.5546979,-1.7482006,-1.681651,-2.053892,-1.0809332,-1.7674881,-1.8334524,-1.0809332,-1.8520089,-1.8920289,7,6,2,8,7,8,6,8,3,3,8,7,2,8,7,7,4,5,4,6,-5.8526872,0.60324384,5.1911861,3.131551,2.0596351
-223.00754,0.99939426,0.11557647,2,7,0,223.38758,0.5445803,0.28528322,0.15535962,0.1299236,-2.5150907,-1.7579166,-1.6724723,-2.077769,-1.1107963,-1.7717304,-1.8458412,-1.1107963,-1.8744353,-1.8939033,7,6,2,6,8,8,5,8,2,8,6,7,2,8,8,8,5,6,8,3,-6.1589241,0.21439943,2.9044849,0.62271992,2.281765
-222.70306,0.99726999,0.22055411,2,7,0,223.10925,0.52135027,0.23784372,0.12399989,0.11384383,-2.4816458,-1.809964,-1.7202896,-2.0750879,-1.1136892,-1.8198734,-1.8970175,-1.1136892,-1.902788,-1.9449977,7,4,3,7,7,8,2,8,3,6,8,4,6,8,4,8,2,5,2,7,-7.4537502,0.28115574,2.242355,0.63045098,1.611904
-222.70306,0.11089375,0.41630268,2,3,0,224.72098,0.52135027,0.23784372,0.12399989,0.11384383,-2.4816458,-1.809964,-1.7202896,-2.0750879,-1.1136892,-1.8198734,-1.8970175,-1.1136892,-1.902788,-1.9449977,7,6,7,4,8,8,7,8,4,6,8,5,1,6,8,8,6,6,2,4,-7.4537502,0.14777044,6.855284,1.0130083,5.8422757
