# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6390424b9.json
# init = 2 (Default)
# random
#   seed = 1491847251
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-1-68ec60.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-1-4c66a5.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-216.68894,1,0.5,2,3,0,239.59418,0.9877569,0.17045919,0.16837224,0.0020869492,-0.83942775,-2.0709184,-2.000331,-2.0033253,-2.000331,-1.7291701,-2.0696811,-1.8827662,-0.8431773,-0.8431773,7,3,6,6,4,5,5,3,6,8,8,2,4,3,1,6,3,8,8,8,-13.206776,0.5994071,0.77820459,0.46646136,0.31174323
-216.68894,0,14.38551,0,1,1,218.07958,0.9877569,0.17045919,0.16837224,0.0020869492,-0.83942775,-2.0709184,-2.000331,-2.0033253,-2.000331,-1.7291701,-2.0696811,-1.8827662,-0.8431773,-0.8431773,8,2,8,6,3,4,4,6,8,8,4,3,8,8,8,5,3,4,8,8,-13.206776,0.51759993,1.8842042,0.97526394,0.90894023
-216.68894,0,2.4311673,0,1,1,217.25529,0.9877569,0.17045919,0.16837224,0.0020869492,-0.83942775,-2.0709184,-2.000331,-2.0033253,-2.000331,-1.7291701,-2.0696811,-1.8827662,-0.8431773,-0.8431773,6,8,5,8,3,3,5,8,6,8,8,7,6,8,4,7,1,3,3,5,-13.206776,0.33124186,3.4838636,1.1540015,2.3298622
-208.91396,0.6026152,0.23979141,3,11,0,221.35709,0.72785475,0.31734496,0.23098104,0.086363924,-0.85800344,-1.8777923,-1.8183971,-1.9271522,-1.8183971,-1.6913169,-1.8501498,-2.0602693,-0.97741979,-0.97741979,8,4,2,6,1,7,2,5,8,6,8,7,5,6,7,8,3,2,4,8,-5.683261,0.42237699,1.6345277,0.69038689,0.94414079
-209.1439,0.98706196,0.10420747,3,7,0,209.43748,0.73613095,0.36343406,0.26753506,0.095898999,-0.82166495,-1.848297,-1.7803294,-1.8966138,-1.7803294,-1.6656839,-1.8179541,-2.0624551,-0.94464006,-0.94464006,6,4,5,5,5,6,5,3,7,7,8,4,4,5,5,4,2,2,6,7,-4.8766515,0.66349933,3.4141481,2.265285,1.1488631
-209.52781,0.99555082,0.14924214,3,7,0,209.85935,0.66439193,0.26967087,0.17916715,0.09050372,-0.94510666,-1.9043386,-1.8691669,-1.9879041,-1.8691669,-1.7454627,-1.8794283,-2.1109938,-1.0827938,-1.0827938,7,6,5,2,2,5,4,5,5,7,5,6,8,8,6,5,8,1,6,6,-6.6538025,0.49747443,4.3966749,2.1872333,2.2094416
-209.66555,0.98881676,0.24246949,2,3,0,209.89839,0.63689971,0.32286557,0.20563299,0.11723258,-0.93449026,-1.8540892,-1.8245964,-1.9716627,-1.8245964,-1.7321633,-1.8259065,-2.1617423,-1.0978321,-1.0978321,7,2,8,5,1,2,4,3,7,5,5,2,6,8,2,7,6,6,4,2,-5.4192504,0.33691053,0.92471788,0.31154719,0.61317069
-209.66109,0.69095932,0.41030558,2,3,0,210.15363,0.69681137,0.40205776,0.28015842,0.12189934,-0.83874737,-1.8147238,-1.7568229,-1.9002482,-1.7568229,-1.6710536,-1.7811766,-2.1208404,-0.98754316,-0.98754316,5,4,6,7,3,4,1,6,8,7,7,4,2,7,1,6,3,4,8,8,-4.225113,0.44642849,1.8749034,0.83701032,1.0378931
-208.9916,0.56439472,0.28241914,2,3,0,211.63529,0.79597193,0.31223722,0.24853206,0.063705158,-0.80304994,-1.8983316,-1.8204443,-1.9009753,-1.8204443,-1.6641407,-1.8740704,-1.9902374,-0.89081671,-0.89081671,6,4,3,7,2,4,2,5,6,7,6,5,4,5,4,2,8,5,6,7,-5.9856612,0.13919076,1.3473381,0.18753702,1.1598011
-209.27219,0.97140707,0.13191081,3,15,0,210.02493,0.74207406,0.24964403,0.18525436,0.064389671,-0.9003457,-1.9378985,-1.8843604,-1.9702933,-1.8843604,-1.7263829,-1.9154269,-2.0337528,-1.0007904,-1.0007904,8,7,5,7,5,8,3,7,8,8,7,3,3,7,2,3,8,4,6,5,-7.3597118,0.78015299,3.0010783,2.3413002,0.65977808
