# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6d1129a2.json
# init = 2 (Default)
# random
#   seed = 1415752481
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-1-982dc0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-1-5cf259.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-223.2649,1,0.25,2,7,0,230.33405,0.46166892,0.27796614,0.12832833,0.14963781,-2.5784738,-1.7747341,-1.7284878,-2.023548,-1.0437818,-1.79829,-1.8557086,-1.0437818,-1.8447963,-1.9272903,8,4,5,5,7,7,4,8,6,8,2,2,2,3,2,8,6,8,3,3,-6.3346047,0.11573045,4.5922751,0.53146608,4.060809
-223.2649,0,14.38551,0,1,1,223.29109,0.46166892,0.27796614,0.12832833,0.14963781,-2.5784738,-1.7747341,-1.7284878,-2.023548,-1.0437818,-1.79829,-1.8557086,-1.0437818,-1.8447963,-1.9272903,6,7,1,7,7,7,3,8,5,4,7,8,1,6,7,5,2,6,6,8,-6.3346047,0.84044047,2.3066529,1.9386045,0.36804847
-223.2649,0,2.4311673,0,1,1,224.5644,0.46166892,0.27796614,0.12832833,0.14963781,-2.5784738,-1.7747341,-1.7284878,-2.023548,-1.0437818,-1.79829,-1.8557086,-1.0437818,-1.8447963,-1.9272903,7,7,5,7,6,5,5,7,6,6,5,8,8,7,8,1,5,7,6,1,-6.3346047,0.38976317,2.4692149,0.96240901,1.5068059
-223.95027,0.95524705,0.23979141,2,3,0,224.16321,0.41283675,0.28722203,0.11857581,0.16864622,-2.6366409,-1.7746809,-1.756655,-1.9905108,-0.99759232,-1.8081443,-1.8509797,-0.99759232,-1.819066,-1.9392403,5,5,2,7,8,8,3,7,6,4,8,5,6,7,6,7,4,8,3,2,-6.1359085,0.4861401,1.7101937,0.83139372,0.87879996
-224.47129,0.8758646,0.28540333,2,3,0,224.8625,0.40824467,0.30920227,0.12623018,0.18297209,-2.6739019,-1.7558879,-1.7500888,-1.9778254,-0.98162268,-1.7959454,-1.8310861,-0.98162268,-1.7996664,-1.926047,7,6,5,8,7,6,5,7,3,5,6,8,7,6,8,7,5,5,5,1,-5.6515048,0.49637631,3.2938196,1.634974,1.6588456
-223.64137,1,0.30655237,2,3,0,224.29237,0.56621079,0.17787447,0.10071444,0.077160025,-2.3951514,-1.884919,-1.756398,-2.1244141,-1.1841099,-1.8851644,-1.976881,-1.1841099,-1.9805305,-2.0063591,8,3,5,7,8,7,5,7,4,5,4,8,1,8,8,4,6,5,4,1,-9.8224403,0.37330662,3.0686025,1.1455296,1.9230728
-223.64137,0.032130159,0.51477904,1,3,0,224.3401,0.56621079,0.17787447,0.10071444,0.077160025,-2.3951514,-1.884919,-1.756398,-2.1244141,-1.1841099,-1.8851644,-1.976881,-1.1841099,-1.9805305,-2.0063591,8,7,3,6,8,8,3,6,7,4,7,2,3,4,8,5,6,3,7,5,-9.8224403,0.50976028,3.7633106,1.9183862,1.8449243
-222.83943,0.99970384,0.044899309,3,15,0,223.84768,0.5888469,0.255455,0.15042388,0.10503111,-2.450357,-1.7858407,-1.6702077,-2.1150013,-1.1593968,-1.7922168,-1.8778541,-1.1593968,-1.9169632,-1.9100683,8,7,3,5,6,8,2,6,1,3,3,7,7,6,8,4,5,6,5,5,-6.9572459,0.21511039,1.1626747,0.2501034,0.91257126
-223.06336,0.97518282,0.079825623,3,11,0,224.22633,0.57375498,0.28662811,0.1644543,0.1221738,-2.4919722,-1.7548465,-1.6546952,-2.1000752,-1.1354538,-1.7652832,-1.8451154,-1.1354538,-1.8874723,-1.8845085,7,8,5,5,8,8,5,8,2,6,3,1,6,7,4,6,1,2,8,7,-6.1410537,0.16516468,2.0857172,0.34448683,1.7412304
-224.1651,0.92922328,0.13559783,3,7,0,225.06672,0.63055186,0.3318835,0.20926975,0.12261374,-2.4841021,-1.7142549,-1.5922684,-2.1527678,-1.1749814,-1.7196536,-1.8082129,-1.1749814,-1.8922062,-1.8322412,8,5,3,4,8,8,7,8,3,6,8,6,5,7,7,8,5,8,5,5,-5.2400485,0.10367269,3.3244709,0.34465684,2.979814
-223.83791,0.97269057,0.20282921,2,7,0,224.72096,0.55633158,0.17160714,0.095470473,0.07613667,-2.3948766,-1.8950822,-1.7679424,-2.1233587,-1.1823114,-1.8946327,-1.9864619,-1.1823114,-1.9846601,-2.0169973,7,6,2,4,7,7,4,6,2,4,7,8,5,7,1,5,5,3,3,4,-10.131425,0.47867275,2.4709729,1.1827874,1.2881855
-224.87795,0.51945053,0.35151849,1,3,0,226.7847,0.37981935,0.15937947,0.060535407,0.098844066,-2.4708531,-1.9358648,-1.8617529,-2.0716983,-1.0828173,-1.9332086,-2.0142603,-1.0828173,-1.9537928,-2.0734708,7,3,5,8,8,8,4,8,2,7,6,7,1,7,5,4,2,4,5,8,-10.841267,0.33414359,2.4879662,0.83133797,1.6566282
-226.40337,0.98974923,0.14676572,3,7,0,226.84868,0.25460696,0.24542476,0.062486851,0.18293791,-2.7136428,-1.8569298,-1.8884492,-1.9486768,-0.90179549,-1.904967,-1.9205578,-0.90179549,-1.8170848,-2.0407907,6,4,1,8,7,3,1,6,6,5,6,2,3,4,6,8,4,7,4,5,-7.4936148,0.86928551,1.6568388,1.440266,0.21657284
-223.18043,1,0.27107967,2,3,0,226.50391,0.50414355,0.19304093,0.097320338,0.095720589,-2.4437085,-1.8683777,-1.76857,-2.0876307,-1.1303361,-1.8718733,-1.9552426,-1.1303361,-1.9424545,-1.9995686,8,8,7,5,7,8,7,8,4,8,5,4,5,2,5,5,7,7,1,2,-9.1080321,0.10151828,1.0387706,0.10545421,0.93331643
-223.42783,0.72775784,0.51585807,2,3,0,223.67844,0.66579013,0.24596742,0.16376268,0.082204739,-2.3890954,-1.7960705,-1.641759,-2.1739066,-1.2251976,-1.7961328,-1.89381,-1.2251976,-1.9613022,-1.904736,8,7,2,6,8,7,5,7,1,4,3,7,1,4,3,8,4,4,5,6,-7.3181878,0.53360652,3.677334,1.9622494,1.7150846
-222.8089,0.96826461,0.42018308,1,3,0,223.35557,0.58435865,0.25277779,0.14771289,0.1050649,-2.45115,-1.7888957,-1.6747236,-2.1121411,-1.1567904,-1.7954403,-1.8806156,-1.1567904,-1.9169372,-1.9138185,7,6,5,7,4,6,5,8,4,2,6,6,1,7,3,2,5,3,6,7,-7.0304483,0.43814868,1.9168981,0.83988638,1.0770117
-222.8089,1.153753e-12,0.72081681,1,1,0,224.41169,0.58435865,0.25277779,0.14771289,0.1050649,-2.45115,-1.7888957,-1.6747236,-2.1121411,-1.1567904,-1.7954403,-1.8806156,-1.1567904,-1.9169372,-1.9138185,8,4,1,7,7,7,6,7,6,4,5,2,2,8,4,5,5,6,1,7,-7.0304483,0.59210303,3.241711,1.9194269,1.3222841
-223.47436,0.98800062,0.063849334,3,15,0,223.80238,0.5683614,0.3138773,0.17839574,0.13548156,-2.5238721,-1.7301428,-1.6398082,-2.0934589,-1.1220826,-1.7436425,-1.8195193,-1.1220826,-1.8672583,-1.8632144,8,7,5,8,8,6,4,7,3,5,8,6,3,3,6,7,3,6,1,8,-5.5395127,0.47661005,3.3387078,1.5912617,1.7474461
