# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6618bb141.json
# init = 2 (Default)
# random
#   seed = 2073412918
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-2-65f8e6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-2-1e60c7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-226.14785,1,0.25,2,3,0,235.54191,0.65502752,0.40130732,0.26286734,0.13843998,-2.5170938,-1.6649758,-1.5376189,-2.1959381,-1.1897942,-1.667342,-1.7599332,-1.1897942,-1.8795723,-1.776832,6,6,2,7,7,7,2,6,7,4,7,5,6,7,6,7,1,8,6,6,-4.1679687,0.75900647,1.9702418,1.4954263,0.47481553
-226.14785,0,14.38551,0,1,1,226.27938,0.65502752,0.40130732,0.26286734,0.13843998,-2.5170938,-1.6649758,-1.5376189,-2.1959381,-1.1897942,-1.667342,-1.7599332,-1.1897942,-1.8795723,-1.776832,7,6,2,8,7,5,5,7,4,6,7,4,5,8,6,8,1,8,4,5,-4.1679687,0.53598519,1.5197866,0.81458309,0.70520347
-226.14785,0,2.4311673,0,1,1,226.61136,0.65502752,0.40130732,0.26286734,0.13843998,-2.5170938,-1.6649758,-1.5376189,-2.1959381,-1.1897942,-1.667342,-1.7599332,-1.1897942,-1.8795723,-1.776832,8,4,1,7,7,5,6,8,4,6,8,5,3,6,6,6,3,7,6,1,-4.1679687,0.58307203,0.37081635,0.21621264,0.15460371
-223.30637,0.99608714,0.23979141,2,7,0,226.77707,0.45424242,0.19529701,0.088712189,0.10658483,-2.4764086,-1.8714216,-1.7916221,-2.0645172,-1.0937745,-1.8772023,-1.9542711,-1.0937745,-1.9243541,-2.0095934,7,6,5,6,8,7,5,5,3,6,8,8,3,4,8,8,8,6,6,5,-9.0195991,0.48992421,2.9947803,1.4672154,1.5275649
-225.88376,0.85274723,0.32072669,2,3,0,226.83178,0.77951099,0.28313243,0.22070484,0.06242759,-2.3340628,-1.7718031,-1.5615193,-2.2975172,-1.3162105,-1.7593434,-1.8753663,-1.3162105,-2.0085044,-1.8517131,5,7,3,8,7,7,4,8,7,5,5,8,2,7,5,3,2,5,8,3,-6.5771412,0.82185221,4.5648511,3.7516329,0.81321814
-225.57991,0.35001841,0.32318585,2,3,0,228.53304,0.36230285,0.14777049,0.053537668,0.094232818,-2.4631823,-1.95771,-1.8812327,-2.0808285,-1.0878829,-1.9510139,-2.0353122,-1.0878829,-1.9683612,-2.0932805,4,7,3,8,7,7,1,6,3,3,3,4,6,6,2,8,6,5,8,3,-11.561677,0.9109138,1.3673185,1.2455093,0.12180921
-225.63509,0.99712537,0.074280483,4,15,0,227.77219,0.7664137,0.28790247,0.2206524,0.067250074,-2.3454753,-1.7653286,-1.5621699,-2.2854046,-1.3044024,-1.7539628,-1.8681822,-1.3044024,-1.9979882,-1.8482086,7,6,4,6,6,7,6,7,5,4,6,5,3,7,8,1,3,4,5,4,-6.4229992,0.32524772,1.9242056,0.62584348,1.2983621
-224.20205,0.99269366,0.12648373,3,15,0,227.50163,0.65835836,0.31873748,0.20984349,0.108894,-2.4490034,-1.7263358,-1.5861979,-2.1791971,-1.2031108,-1.7274812,-1.8224298,-1.2031108,-1.9154951,-1.836621,7,8,2,5,5,7,3,7,3,4,8,6,6,8,7,6,2,2,5,6,-5.5283622,0.32096232,1.3161004,0.42241863,0.89368175
-223.7457,0.80323686,0.22218339,2,3,0,226.21679,0.51231892,0.17298721,0.08862462,0.084362589,-2.4183965,-1.8967332,-1.7855375,-2.1040768,-1.1523479,-1.8965788,-1.9847902,-1.1523479,-1.9691586,-2.0237564,6,6,3,8,6,5,3,5,2,3,5,5,3,7,8,1,3,2,5,5,-10.048718,0.54950785,1.7049309,0.93687289,0.76805798
-223.22801,0.99371345,0.22037157,3,7,0,224.15499,0.51677514,0.19032607,0.098355783,0.091970289,-2.4335212,-1.8708877,-1.7651842,-2.0949712,-1.1411825,-1.8735678,-1.9588076,-1.1411825,-1.9496874,-2.0000162,8,5,4,6,6,6,7,7,1,6,6,4,4,7,4,8,7,7,6,7,-9.227784,0.45409834,5.7744895,2.6221861,3.1523034
