# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:03:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6100f6ece.json
# init = 2 (Default)
# random
#   seed = 359242446
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281703-2-720bd8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281703-2-3ee8ed.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-226.00318,1,0.25,2,3,0,232.01909,0.8006999,0.1966854,0.15748598,0.039199419,-2.2895837,-1.8638173,-1.6472158,-2.2664159,-1.3400789,-1.8605957,-1.970706,-1.3400789,-2.0628698,-1.9515968,7,4,5,6,8,7,3,7,5,7,4,6,6,7,6,8,7,5,7,6,-9.4013717,0.33455776,1.6517159,0.55259438,1.0991215
-226.00318,0,14.38551,0,1,1,227.11335,0.8006999,0.1966854,0.15748598,0.039199419,-2.2895837,-1.8638173,-1.6472158,-2.2664159,-1.3400789,-1.8605957,-1.970706,-1.3400789,-2.0628698,-1.9515968,7,4,4,7,7,7,5,7,5,6,7,2,4,4,8,8,2,8,2,2,-9.4013717,0.6729219,2.897365,1.9497004,0.94766464
-226.00318,0,2.4311673,0,1,1,227.04625,0.8006999,0.1966854,0.15748598,0.039199419,-2.2895837,-1.8638173,-1.6472158,-2.2664159,-1.3400789,-1.8605957,-1.970706,-1.3400789,-2.0628698,-1.9515968,6,4,5,7,7,4,1,8,5,4,8,8,3,6,5,6,1,8,6,8,-9.4013717,0.52659565,2.1338788,1.1236913,1.0101875
-226.77478,0.84722675,0.23979141,3,15,0,227.80908,0.24266019,0.15585773,0.037820465,0.11803726,-2.5389182,-1.9690907,-1.9353405,-2.0443732,-1.0047965,-1.9681349,-2.037119,-1.0047965,-1.9346364,-2.1184797,7,6,3,7,8,8,5,7,4,4,8,1,5,8,7,8,7,6,6,1,-11.294245,0.4805087,2.4169413,1.1613613,1.25558
-226.75203,0.96001129,0.2096153,3,7,0,227.46793,0.27675472,0.1435947,0.039740512,0.10385419,-2.4982861,-1.9807483,-1.9263147,-2.0681476,-1.0447929,-1.9724502,-2.0521511,-1.0447929,-1.9603258,-2.1218479,6,2,4,3,8,7,1,7,2,4,4,7,1,7,1,6,8,7,1,7,-11.976841,0.20328318,1.0212857,0.2076102,0.81367546
-226.84726,1,0.28549122,2,3,0,227.39466,0.23628941,0.15719252,0.037142927,0.12004959,-2.5451424,-1.9686216,-1.9380023,-2.0413218,-0.99883633,-1.9687052,-2.0360716,-0.99883633,-1.9315521,-2.1192213,8,7,2,6,7,7,4,6,6,7,7,1,6,7,2,3,1,7,7,6,-11.234097,0.60113351,5.930452,3.5649934,2.3654585
-226.0344,0.61372305,0.47849228,1,1,0,227.42064,0.27440384,0.25285664,0.069384832,0.18347181,-2.7100567,-1.8434596,-1.8713768,-1.9491793,-0.91018063,-1.891103,-1.9084721,-0.91018063,-1.8130564,-2.0262667,7,7,3,7,6,7,4,5,5,2,7,6,2,5,4,5,7,2,5,3,-7.2269232,0.64968156,1.400203,0.90968606,0.49051693
-226.81856,0.84805227,0.25478157,2,3,0,227.62978,0.25304791,0.14989389,0.037930337,0.11196355,-2.5218238,-1.9758013,-1.9337248,-2.0547125,-1.0206495,-1.9711802,-2.0450155,-1.0206495,-1.9460325,-2.1216075,8,3,3,7,7,8,7,8,3,6,4,6,5,5,8,3,2,8,7,3,-11.628436,0.13192402,3.1733785,0.41864485,2.7547337
-228.42064,0.97609496,0.28600014,1,3,0,229.72995,0.16022913,0.16307362,0.026129145,0.13694447,-2.6034037,-1.9803232,-1.978884,-2.0201385,-0.9431637,-1.9892462,-2.0415008,-0.9431637,-1.912812,-2.1416005,6,6,2,6,6,5,4,7,5,5,8,3,6,3,8,6,6,7,1,8,-11.193352,0.58455626,1.3556745,0.79246802,0.56320649
-228.42064,0.044452434,0.49023897,2,3,0,229.06308,0.16022913,0.16307362,0.026129145,0.13694447,-2.6034037,-1.9803232,-1.978884,-2.0201385,-0.9431637,-1.9892462,-2.0415008,-0.9431637,-1.912812,-2.1416005,6,3,2,5,7,8,6,7,1,3,5,6,2,6,8,4,2,8,5,8,-11.193352,0.55873045,2.9537523,1.6503514,1.3034009
