# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 15:04:08 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6693100b6.json
# init = 2 (Default)
# random
#   seed = 2130171813
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281704-2-33a8f5.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281704-2-252d9e.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-215.55975,1,0.5,2,3,0,237.88126,0.97787258,0.16925552,0.16551033,0.0037451878,-0.84779861,-2.0703194,-2.0010643,-2.006444,-2.0010643,-1.7331859,-2.0681333,-1.8890101,-0.85455798,-0.85455798,4,4,6,8,5,4,4,5,5,8,7,8,3,3,5,4,5,2,5,8,-12.687791,0.48093811,1.5976076,0.76835036,0.82925721
-215.55975,0,14.38551,0,1,1,215.83674,0.97787258,0.16925552,0.16551033,0.0037451878,-0.84779861,-2.0703194,-2.0010643,-2.006444,-2.0010643,-1.7331859,-2.0681333,-1.8890101,-0.85455798,-0.85455798,8,6,7,7,4,6,3,5,6,6,8,3,1,6,4,5,7,7,7,4,-12.687791,0.34548259,1.205005,0.41630825,0.78869677
-215.55975,0,2.4311673,0,1,1,216.51052,0.97787258,0.16925552,0.16551033,0.0037451878,-0.84779861,-2.0703194,-2.0010643,-2.006444,-2.0010643,-1.7331859,-2.0681333,-1.8890101,-0.85455798,-0.85455798,8,4,3,4,6,4,6,7,7,8,8,5,7,5,6,2,8,4,3,5,-12.687791,0.81402358,4.96625,4.0426446,0.92360539
-215.55975,0.92469487,0.23979141,1,1,0,216.44309,0.97787258,0.16925552,0.16551033,0.0037451878,-0.84779861,-2.0703194,-2.0010643,-2.006444,-2.0010643,-1.7331859,-2.0681333,-1.8890101,-0.85455798,-0.85455798,8,5,2,4,4,7,8,5,7,8,8,3,8,3,6,5,6,3,8,6,-12.687791,0.8668454,1.7663932,1.5311898,0.23520338
-215.55975,0.79159472,0.26154633,1,3,0,217.94755,0.97787258,0.16925552,0.16551033,0.0037451878,-0.84779861,-2.0703194,-2.0010643,-2.006444,-2.0010643,-1.7331859,-2.0681333,-1.8890101,-0.85455798,-0.85455798,5,7,4,6,4,5,2,2,8,7,5,3,8,2,2,7,2,8,7,8,-12.687791,0.6855785,0.86471865,0.59283252,0.27188614
-214.42511,1,0.21768638,1,1,0,215.34211,0.97684593,0.19688294,0.1923243,0.0045586411,-0.79902527,-2.0403575,-1.9610328,-1.9674122,-1.9610328,-1.6990829,-2.0377221,-1.8717345,-0.80670681,-0.80670681,6,6,6,4,5,3,4,5,8,8,7,5,4,6,2,6,4,7,8,5,-11.346863,0.35730451,2.3320359,0.83324694,1.4987889
-210.38605,0.46187509,0.36218983,2,7,0,215.25833,0.86585895,0.21778794,0.18857364,0.029214302,-0.84421747,-1.9947226,-1.9235057,-1.9636117,-1.9235057,-1.7093525,-1.9810048,-1.9367015,-0.89194826,-0.89194826,6,4,4,8,3,6,3,2,8,6,4,1,8,8,4,8,8,5,8,8,-8.8962489,0.343421,3.4861822,1.1972282,2.288954
-209.7235,0.99738255,0.11966147,4,15,0,210.61158,0.78446565,0.4005674,0.31423136,0.086336031,-0.75513452,-1.8405049,-1.751256,-1.85287,-1.751256,-1.6261611,-1.8104448,-2.0144888,-0.85895235,-0.85895235,8,6,6,7,4,7,4,1,6,6,6,8,4,6,3,3,5,5,8,5,-4.4680055,0.19520637,1.8116603,0.35364762,1.4580126
-210.12708,0.9701937,0.21320551,2,3,0,210.24284,0.78109414,0.42904709,0.33512617,0.093920922,-0.74324813,-1.8248741,-1.7325625,-1.8407017,-1.7325625,-1.6167708,-1.7930832,-2.0236224,-0.85183764,-0.85183764,6,3,8,6,4,6,3,3,5,6,8,1,7,3,2,6,1,5,7,8,-4.0931256,0.41350359,2.0440056,0.84520365,1.1988019
-213.12158,0.64634262,0.35820347,2,3,0,214.95127,0.60628889,0.55832649,0.33850715,0.21981934,-0.88185147,-1.7152301,-1.6931837,-1.9242509,-1.6931837,-1.6911655,-1.6758589,-2.3160611,-1.106674,-1.106674,6,3,7,7,2,7,5,4,5,8,8,5,4,2,2,6,6,7,8,7,-2.5398975,0.34835929,2.2113537,0.77034561,1.4410081
