# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b612ec7acb.json
# init = 2 (Default)
# random
#   seed = 464448135
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-2-16e8f9.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-2-2d78ed.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-231.6493,2.6415372e-05,0.5,1,1,0,232.32391,0.32725714,4.3194793,1.4135804,2.9058989,-1.7348275,-1.7572155,-1.3254202,-2.350242,-1.3254202,-1.7950737,-1.3479313,-1.2557267,-1.0961538,-1.4554662,8,6,5,6,5,6,6,6,3,7,8,8,4,8,3,6,6,7,1,6,-2.59633,0.65353421,0.87926099,0.57462713,0.30463386
-231.6493,0,2.3351769,0,1,1,232.04034,0.32725714,4.3194793,1.4135804,2.9058989,-1.7348275,-1.7572155,-1.3254202,-2.350242,-1.3254202,-1.7950737,-1.3479313,-1.2557267,-1.0961538,-1.4554662,5,7,4,7,3,6,5,7,4,6,8,7,5,7,8,8,5,7,3,2,-2.59633,0.27593166,3.5666786,0.98415955,2.5825191
-209.24441,0.97840054,0.23025018,2,3,0,229.60633,0.39262599,0.60280093,0.23667531,0.36612562,-1.8928987,-1.6986863,-1.6545431,-2.1547642,-1.6545431,-1.8392694,-1.6749647,-1.5575851,-1.4016014,-1.6478906,6,6,3,6,5,5,2,8,3,3,7,4,7,8,6,5,5,8,4,5,-2.238087,0.26878727,2.1631446,0.58142575,1.5817189
-210.44478,0.42323413,0.22639559,2,3,0,215.6433,0.41989941,0.93615787,0.39309213,0.54306574,-1.9049207,-1.6189167,-1.5582807,-2.2585279,-1.5582807,-1.894189,-1.59384,-1.4549685,-1.3282984,-1.5540608,4,5,4,7,4,5,5,6,2,5,7,7,7,7,8,6,5,5,2,6,-0.93287588,0.5516118,1.4820685,0.81752647,0.66454203
-211.16198,0.99572109,0.058687643,3,7,0,211.19118,0.4282739,1.0409862,0.44582722,0.59515897,-1.9166397,-1.5980783,-1.5383927,-2.2938302,-1.5383927,-1.9152139,-1.57892,-1.4327836,-1.3147102,-1.5325704,7,8,5,5,6,6,4,6,1,4,6,7,4,8,3,3,3,7,3,3,-0.73405024,0.53549889,1.5389491,0.82410554,0.71484357
-212.92395,0.96781511,0.084121079,2,3,0,213.02524,0.43715276,1.2733406,0.55664435,0.71669623,-1.9338698,-1.5670962,-1.5025666,-2.3560078,-1.5025666,-1.947285,-1.5508167,-1.3936662,-1.2887088,-1.497115,5,7,4,7,2,6,6,6,1,3,4,8,5,7,3,6,4,8,3,4,-0.48560587,0.46699309,2.330915,1.0885212,1.2423938
-209.44655,0.99303641,0.12361504,2,7,0,213.14499,0.37581755,0.66477727,0.24983496,0.4149423,-1.8676013,-1.7029112,-1.6285209,-2.1472917,-1.6285209,-1.8182178,-1.6470812,-1.534888,-1.3744979,-1.6348003,8,6,3,8,2,8,8,6,6,3,6,4,3,7,3,8,3,4,1,3,-1.9020787,0.94907412,5.1211447,4.8603458,0.26079882
-209.71782,0.90486944,0.20959104,3,7,0,211.3932,0.39126,0.48629687,0.19026851,0.29602836,-1.9114166,-1.7294227,-1.708989,-2.1333064,-1.708989,-1.8384843,-1.725651,-1.612063,-1.4482944,-1.6938962,6,8,5,7,2,3,7,3,2,2,7,5,3,6,3,7,7,7,3,5,-3.1471054,0.92323727,1.9041988,1.7580273,0.14617149
-209.71782,0.84473878,0.28073698,1,1,0,210.16672,0.39126,0.48629687,0.19026851,0.29602836,-1.9114166,-1.7294227,-1.708989,-2.1333064,-1.708989,-1.8384843,-1.725651,-1.612063,-1.4482944,-1.6938962,6,8,7,8,5,5,8,7,1,3,5,4,5,6,7,5,2,6,1,1,-3.1471054,0.85722291,2.4919313,2.1361406,0.3557907
-209.58932,1,0.31779932,2,3,0,209.78513,0.46687648,0.77142785,0.36016152,0.41126633,-1.9733857,-1.6013652,-1.6091237,-2.287636,-1.6091237,-1.9543724,-1.6549681,-1.5003743,-1.3856999,-1.5715804,4,8,4,7,4,4,5,6,3,4,4,3,2,6,3,3,6,6,3,5,-1.380332,0.59682624,1.6382315,0.97773954,0.66049196
