# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6bd35136.json
# init = 2 (Default)
# random
#   seed = 1700320863
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-2-7a95ee.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-2-1503b9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-231.60844,1,0.25,1,1,0,237.86073,0.45414349,5.1415219,2.3349887,2.8065332,-2.0452803,-1.4593201,-1.345963,-2.7414728,-1.345963,-2.1077425,-1.4286814,-1.2222857,-1.1740696,-1.3553159,8,5,5,8,3,7,4,6,3,3,6,8,4,8,8,5,3,3,4,4,-3.2491568,0.81548606,1.9500611,1.5902476,0.35981345
-231.60844,0,14.38551,0,1,1,232.16844,0.45414349,5.1415219,2.3349887,2.8065332,-2.0452803,-1.4593201,-1.345963,-2.7414728,-1.345963,-2.1077425,-1.4286814,-1.2222857,-1.1740696,-1.3553159,6,6,4,8,4,5,7,4,2,3,7,6,3,7,5,5,7,7,2,4,-3.2491568,0.70620747,1.1475741,0.81042541,0.3371487
-231.60844,0,2.4311673,0,1,1,233.04492,0.45414349,5.1415219,2.3349887,2.8065332,-2.0452803,-1.4593201,-1.345963,-2.7414728,-1.345963,-2.1077425,-1.4286814,-1.2222857,-1.1740696,-1.3553159,5,8,3,5,4,5,7,6,3,6,7,8,5,8,7,3,7,4,2,4,-3.2491568,0.34527701,1.5228404,0.52580178,0.99703864
-215.37161,0.78045477,0.23979141,3,7,0,230.08546,0.44318225,0.26074191,0.11555619,0.14518573,-2.0203672,-1.8174408,-1.8829675,-2.1451288,-1.8829675,-1.9088025,-1.8955339,-1.7818255,-1.6112934,-1.8294773,7,8,3,7,4,4,7,7,2,4,2,2,2,4,7,7,5,6,3,1,-6.7908635,0.33088511,2.2771909,0.75348855,1.5237023
-210.15683,1,0.17320864,2,3,0,215.3014,0.38240084,0.44856124,0.17153019,0.27703105,-1.9129979,-1.7476138,-1.7293046,-2.1203562,-1.7293046,-1.830583,-1.7433158,-1.6334356,-1.4638111,-1.7145585,6,6,5,8,6,7,8,5,2,4,7,2,2,8,7,7,2,3,3,4,-3.5447197,0.68655738,1.025535,0.70408862,0.32144638
-209.29846,0.94981836,0.26358055,1,3,0,210.76515,0.48241388,0.59570356,0.28737567,0.3083279,-1.9945184,-1.6346988,-1.6717887,-2.2552868,-1.6717887,-1.9576059,-1.7144044,-1.5642259,-1.4416919,-1.6207792,8,6,2,8,4,8,8,4,5,1,7,8,5,5,3,4,7,8,3,4,-2.2373656,0.74307855,1.1101785,0.82494981,0.28522866
-209.62652,0.63563817,0.378034,2,3,0,210.16608,0.4404361,0.80165945,0.35307976,0.44857969,-1.9361186,-1.6178926,-1.5953872,-2.2579417,-1.5953872,-1.9165326,-1.6337569,-1.489632,-1.3658375,-1.573834,6,7,5,6,3,7,7,4,3,5,6,3,7,5,5,7,5,6,1,2,-1.2851391,0.48812003,1.3038213,0.63642128,0.6674
-210.5438,0.691405,0.21466011,2,7,0,213.448,0.47732937,0.41546841,0.19831527,0.21715314,-2.0011653,-1.707634,-1.7614885,-2.1952857,-1.7614885,-1.9345594,-1.7913637,-1.6572049,-1.5146967,-1.7060693,8,6,6,6,6,6,6,7,5,2,3,1,5,7,2,2,8,5,7,3,-3.883234,0.5068114,2.5266221,1.2805209,1.2461012
-209.16355,1,0.14703822,2,3,0,210.65998,0.40492095,0.61360704,0.24846234,0.36514469,-1.9043024,-1.6857084,-1.6518232,-2.170244,-1.6518232,-1.8552548,-1.6751383,-1.5528015,-1.4026649,-1.6398329,6,7,7,7,3,2,5,4,1,2,3,8,3,8,6,7,5,8,2,2,-2.1608659,0.54443073,0.453022,0.2466391,0.2063829
-209.43915,0.92259593,0.27093136,2,3,0,209.71371,0.40573833,0.51434116,0.20868792,0.30565324,-1.9190384,-1.7104986,-1.69621,-2.1515938,-1.69621,-1.8547482,-1.7164406,-1.5972885,-1.4409411,-1.6769611,5,4,4,8,4,6,6,3,2,3,8,6,7,2,6,5,4,6,2,6,-2.8800589,0.54853895,0.63115288,0.34621193,0.28494094
