# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:13:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64fd8c232.json
# init = 2 (Default)
# random
#   seed = 339884539
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281813-2-9576fd.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281813-2-044a7f.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-217.39336,3.6957359e-05,0.5,1,1,0,218.82549,0.75147547,0.52518344,0.39466247,0.13052097,-2.4086543,-1.5919344,-1.773101,-2.5923389,-1.773101,-2.3393561,-1.9291488,-1.683524,-1.605337,-1.5983258,7,7,3,7,5,5,3,7,4,3,5,5,5,5,4,2,5,6,4,2,-3.0439208,0.52745764,2.7126946,1.4308315,1.2818631
-217.39336,0,2.3352217,0,1,1,219.56959,0.75147547,0.52518344,0.39466247,0.13052097,-2.4086543,-1.5919344,-1.773101,-2.5923389,-1.773101,-2.3393561,-1.9291488,-1.683524,-1.605337,-1.5983258,6,7,6,5,7,2,8,5,3,4,6,6,6,8,3,5,8,4,3,1,-3.0439208,0.75296799,1.0034672,0.75557869,0.24788852
-209.72367,1,0.2302559,3,7,0,216.65587,0.38740226,0.48884858,0.18938104,0.29946754,-1.9075516,-1.7315119,-1.7071917,-2.1302238,-1.7071917,-1.8340522,-1.7232892,-1.6108376,-1.4457701,-1.6939952,6,7,4,6,6,8,5,5,3,5,8,8,5,4,2,5,5,6,6,1,-3.1263827,0.2264612,1.4920228,0.33788529,1.1541376
-209.45996,1,0.23981502,2,3,0,209.80988,0.43081066,0.76751387,0.33065315,0.43686071,-1.9240633,-1.632515,-1.6033,-2.2363491,-1.6033,-1.899391,-1.6377667,-1.4992858,-1.3693431,-1.5858079,7,6,5,7,5,5,4,3,3,6,6,7,4,6,2,5,7,7,5,3,-1.4096164,0.71739885,2.616267,1.8769069,0.73936006
-209.41353,1,0.32436666,2,3,0,209.5111,0.45550866,0.51329426,0.23380998,0.27948428,-1.9683241,-1.6779799,-1.7037719,-2.2009566,-1.7037719,-1.914895,-1.7346735,-1.5994459,-1.4605685,-1.6621306,7,8,7,3,3,5,2,7,2,2,7,8,6,5,5,8,8,7,4,3,-2.8608589,0.11946677,3.3387033,0.39886409,2.9398392
-209.41353,0.033849216,0.50726147,1,1,0,209.94212,0.45550866,0.51329426,0.23380998,0.27948428,-1.9683241,-1.6779799,-1.7037719,-2.2009566,-1.7037719,-1.914895,-1.7346735,-1.5994459,-1.4605685,-1.6621306,5,7,5,8,6,7,8,7,2,5,8,5,2,8,3,6,5,2,2,4,-2.8608589,0.46832318,1.4157721,0.66303891,0.75273322
-210.06486,0.99713497,0.044823979,4,15,0,210.29436,0.40947978,0.44386975,0.18175569,0.26211406,-1.9361967,-1.7313222,-1.735062,-2.1424906,-1.735062,-1.859997,-1.753255,-1.6357595,-1.4753695,-1.7087468,5,8,6,6,3,8,6,5,3,3,5,4,4,7,8,6,8,6,2,7,-3.5737124,0.57417626,2.8849635,1.6564775,1.2284859
-210.37494,0.99448104,0.075691096,2,3,0,210.38703,0.40726142,0.42224212,0.17196293,0.2502792,-1.939546,-1.7409916,-1.7480706,-2.1372257,-1.7480706,-1.858465,-1.7649817,-1.6490148,-1.4860861,-1.72086,7,6,1,7,6,6,4,6,4,1,4,8,7,2,5,5,8,3,2,3,-3.83122,0.70747649,2.4077106,1.7033987,0.70431197
-209.39322,0.99824742,0.13304807,2,7,0,210.54861,0.45535098,0.74053484,0.33720327,0.40333158,-1.9573914,-1.6167715,-1.615927,-2.2629162,-1.615927,-1.9337733,-1.656851,-1.5088458,-1.3875503,-1.5837794,8,4,5,8,1,4,7,7,5,3,8,8,4,7,4,3,4,8,1,4,-1.5021526,0.94557491,1.4365153,1.3583328,0.078182474
-209.4786,0.86937865,0.24368233,1,3,0,210.50553,0.38475384,0.53170996,0.20457745,0.32713252,-1.8966197,-1.7218941,-1.6851659,-2.1344277,-1.6851659,-1.8298388,-1.7021037,-1.5894001,-1.4259738,-1.6767887,6,5,6,6,5,3,5,6,3,2,4,7,3,7,5,4,2,5,5,6,-2.753472,0.40283973,1.6673878,0.67169006,0.99569775
-209.4786,0.64706092,0.30190264,2,3,0,212.36489,0.38475384,0.53170996,0.20457745,0.32713252,-1.8966197,-1.7218941,-1.6851659,-2.1344277,-1.6851659,-1.8298388,-1.7021037,-1.5894001,-1.4259738,-1.6767887,6,8,1,7,7,5,7,8,2,4,3,4,4,4,8,2,1,7,3,3,-2.753472,0.35831729,2.1986398,0.78781064,1.4108291
