# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:15:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b63d203b96.json
# init = 2 (Default)
# random
#   seed = 615274014
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281815-1-6ff364.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281815-1-4babb4.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-202.08145,1,0.25,4,15,0,206.25837,0.38159144,1.0010846,0.38200531,0.61907928,-1.5460495,-1.7159036,-1.5460495,-1.5602745,-1.6911956,-1.4053483,-2.4381792,-1.5285378,-1.4363653,-1.882846,6,3,7,4,2,3,7,5,2,3,7,4,6,5,5,2,6,6,1,4,-0.83702947,0.32865044,0.70389975,0.23133696,0.47256279
-202.08145,0,14.38551,0,1,1,203.09832,0.38159144,1.0010846,0.38200531,0.61907928,-1.5460495,-1.7159036,-1.5460495,-1.5602745,-1.6911956,-1.4053483,-2.4381792,-1.5285378,-1.4363653,-1.882846,4,4,6,1,3,4,8,3,4,1,6,4,5,4,5,5,7,3,5,1,-0.83702947,0.57659539,3.3108389,1.9090144,1.4018244
-202.08145,0,2.4311673,0,1,1,205.3533,0.38159144,1.0010846,0.38200531,0.61907928,-1.5460495,-1.7159036,-1.5460495,-1.5602745,-1.6911956,-1.4053483,-2.4381792,-1.5285378,-1.4363653,-1.882846,5,4,5,5,2,3,6,1,1,2,6,4,5,5,4,3,6,4,4,5,-0.83702947,0.66503062,3.6435502,2.4230724,1.2204778
-199.72874,1,0.23979141,2,3,0,202.04269,0.33096694,0.69864729,0.23122916,0.46741813,-1.6391409,-1.7245639,-1.6391409,-1.6441862,-1.7658803,-1.4183005,-2.267807,-1.6066748,-1.5161248,-1.8726443,6,6,6,1,2,3,8,4,2,2,7,5,2,6,5,2,8,4,1,3,-1.7954644,0.78588297,1.7885917,1.4056238,0.38296795
-197.7593,0.92350391,0.32433241,3,7,0,200.8513,0.22383359,0.65723104,0.14711038,0.51012066,-1.6974051,-1.679539,-1.6974051,-1.7046815,-1.9085503,-1.3621727,-2.1017273,-1.6226389,-1.5942337,-2.0077181,5,4,4,5,3,2,7,1,2,4,2,3,4,1,2,6,6,7,1,1,-2.2414982,0.61964392,1.0209516,0.63262644,0.38832514
-197.08151,1,0.4037715,2,3,0,197.52243,0.21205827,0.85458564,0.18122195,0.67336368,-1.6537668,-1.6314689,-1.6537668,-1.6731809,-1.9433566,-1.3014846,-2.0984034,-1.5614331,-1.5782754,-2.1077967,5,4,4,4,4,3,6,4,1,2,4,2,4,4,1,1,4,3,4,2,-1.5120903,0.43379265,1.2303563,0.53371952,0.69663678
-198.46442,0.079106413,0.6830924,2,3,0,199.71528,0.059440246,0.74990683,0.044574646,0.70533218,-1.7852704,-1.5866489,-1.7852704,-1.7827871,-2.1803516,-1.2772651,-1.9000962,-1.6102944,-1.7104662,-2.2990247,4,5,3,3,3,2,7,6,6,4,2,2,5,1,6,1,3,2,2,4,-2.9548289,0.10204918,1.3290659,0.13563009,1.1934358
-198.66345,0.99324803,0.069284944,4,27,0,200.0167,0.049546721,1.0223339,0.050653292,0.97168059,-1.7595018,-1.5260745,-1.7595018,-1.7652416,-2.2618782,-1.2113804,-1.8721423,-1.546704,-1.7128586,-2.4409847,4,4,3,5,6,4,6,5,4,4,3,5,5,3,4,2,7,4,4,7,-2.412416,0.19867024,2.7859941,0.55349412,2.2325
-198.51064,0.98598171,0.12121295,3,7,0,199.40158,0.056893616,0.76511289,0.043530039,0.72158285,-1.7848817,-1.5817934,-1.7848817,-1.7825964,-2.188607,-1.272545,-1.896034,-1.6062527,-1.7119466,-2.311151,3,5,5,5,1,2,6,3,4,3,3,6,4,7,4,2,6,7,3,1,-2.9380255,0.47485165,4.4701854,2.1226749,2.3475105
-198.64942,0.95103788,0.21347495,3,7,0,199.23695,0.063909764,1.3130836,0.083918861,1.2291647,-1.721808,-1.4931255,-1.721808,-1.7392739,-2.2850214,-1.1658671,-1.8846327,-1.4969123,-1.6973963,-2.5125181,4,5,5,2,3,4,3,3,4,3,5,1,2,1,8,3,5,3,4,4,-1.8768297,0.3262272,2.580285,0.84175915,1.7385259
-198.49455,1,0.3423399,1,1,0,198.77005,0.064820194,1.2627131,0.081849308,1.1808638,-1.7241204,-1.4992812,-1.7241204,-1.7405456,-2.274914,-1.1729358,-1.8865365,-1.5036024,-1.6964605,-2.4961022,5,5,4,4,3,3,7,5,3,1,6,4,1,5,6,2,3,4,1,6,-1.8934366,0.51365563,1.3349654,0.68571248,0.64925288
