# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:15:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b655eddb43.json
# init = 2 (Default)
# random
#   seed = 1635748981
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281815-1-935598.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281815-1-216be7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-216.1916,1,0.25,1,1,0,231.65555,0.65970936,0.58632248,0.38680243,0.19952005,-1.6635789,-1.9507358,-1.6635789,-1.5829193,-1.4577056,-1.7591128,-2.8773557,-1.698668,-1.3887563,-1.4074262,5,6,4,4,4,5,8,4,2,3,5,4,7,5,2,5,7,4,7,2,-2.4052752,0.53370256,3.2919237,1.7569081,1.5350156
-216.1916,0,14.38551,0,1,1,218.04694,0.65970936,0.58632248,0.38680243,0.19952005,-1.6635789,-1.9507358,-1.6635789,-1.5829193,-1.4577056,-1.7591128,-2.8773557,-1.698668,-1.3887563,-1.4074262,4,5,4,3,5,5,5,4,2,6,5,6,4,5,4,3,8,3,2,4,-2.4052752,0.35882085,1.7737347,0.636453,1.1372817
-216.1916,0,2.4311673,0,1,1,216.7008,0.65970936,0.58632248,0.38680243,0.19952005,-1.6635789,-1.9507358,-1.6635789,-1.5829193,-1.4577056,-1.7591128,-2.8773557,-1.698668,-1.3887563,-1.4074262,5,4,7,2,4,3,6,2,3,4,6,4,6,4,1,3,8,5,3,2,-2.4052752,0.53293156,4.3715873,2.3297569,2.0418305
-200.72175,1,0.23979141,2,3,0,214.89753,0.28924143,0.45919835,0.13281919,0.32637916,-1.7519706,-1.7717839,-1.7519706,-1.7411821,-1.8245563,-1.4764119,-2.1674435,-1.7138677,-1.6017938,-1.8211037,4,6,5,3,4,4,6,3,1,4,3,6,2,2,6,5,7,2,4,6,-3.5678297,0.63448857,2.9538207,1.8741655,1.0796552
-197.00334,0.8170659,0.32433241,2,3,0,201.66109,0.12776947,1.1127219,0.14217189,0.97054999,-1.6758715,-1.5487263,-1.6758715,-1.7000631,-2.123371,-1.2114233,-1.9793852,-1.5151616,-1.6361318,-2.3365753,3,3,4,4,4,3,6,6,4,4,7,4,4,3,3,1,5,5,2,6,-1.4226548,0.26681962,3.2267596,0.86096278,2.3657969
-199.38182,0.83992818,0.29398017,2,3,0,199.59001,0.077930526,0.54454297,0.04243652,0.50210645,-1.8186836,-1.6592523,-1.8186836,-1.8078374,-2.0982756,-1.3544696,-1.9425587,-1.6838865,-1.7130358,-2.1453487,5,4,2,3,4,3,8,2,4,3,5,4,1,6,7,4,3,5,1,4,-3.8442667,0.37113911,2.8820052,1.0696249,1.8123804
-199.69259,0.94683813,0.30205641,3,7,0,200.77902,0.07278383,0.53052846,0.038613893,0.49191456,-1.8264623,-1.6633161,-1.8264623,-1.8140129,-2.1020127,-1.359908,-1.9401711,-1.6911939,-1.7185154,-2.1422809,6,3,6,6,4,4,7,2,4,2,5,4,5,5,7,3,4,5,5,4,-4.0179914,0.79614218,1.7374028,1.3832196,0.35418315
-199.69259,0.0054067144,0.45016767,2,3,0,205.15208,0.07278383,0.53052846,0.038613893,0.49191456,-1.8264623,-1.6633161,-1.8264623,-1.8140129,-2.1020127,-1.359908,-1.9401711,-1.6911939,-1.7185154,-2.1422809,8,2,5,6,5,4,5,3,3,2,3,5,3,4,6,1,2,6,4,2,-4.0179914,0.57393974,1.0816569,0.62080587,0.46085101
-203.15365,0.99437849,0.035964102,5,31,0,203.27434,0.05538601,2.7403349,0.15177621,2.5885586,-1.6911746,-1.4042866,-1.6911746,-1.7262771,-2.4528432,-1.0591111,-1.8718742,-1.3962231,-1.7180685,-2.773606,6,6,7,3,2,5,7,4,4,1,5,5,3,3,4,2,6,4,3,5,-2.5908847,0.53733539,1.6179395,0.86937616,0.74856336
-198.41855,0.99857626,0.064659316,5,31,0,203.96622,0.10288569,1.5774969,0.16230185,1.415195,-1.6637571,-1.4887131,-1.6637571,-1.6967127,-2.2340549,-1.1427629,-1.946368,-1.4575985,-1.6552365,-2.5033206,8,3,6,3,2,3,8,4,2,6,4,3,6,5,2,5,6,6,4,5,-1.38521,0.30472971,0.95939695,0.29235676,0.66704019
