# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:16:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b64c618451.json
# init = 2 (Default)
# random
#   seed = 1250106151
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281816-1-5354c7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281816-1-6f60c9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-213.87429,1,0.5,2,3,0,214.34491,0.82733466,0.32034595,0.26503331,0.055312642,-1.7728514,-1.9011692,-1.6461981,-2.0414485,-1.8449649,-1.7255121,-1.6837862,-1.2966445,-1.2966445,-1.8267685,4,5,4,4,3,3,4,3,5,7,3,5,3,7,3,2,4,2,5,4,-5.9504155,0.23219281,3.5380441,0.8215084,2.7165357
-213.87429,0,14.38551,0,1,1,215.73284,0.82733466,0.32034595,0.26503331,0.055312642,-1.7728514,-1.9011692,-1.6461981,-2.0414485,-1.8449649,-1.7255121,-1.6837862,-1.2966445,-1.2966445,-1.8267685,4,6,3,6,4,3,4,2,3,5,1,8,8,7,3,5,2,6,8,4,-5.9504155,0.56238239,1.5384833,0.86521593,0.67326739
-213.87429,1.4350405e-180,2.4311673,1,3,1,213.97045,0.82733466,0.32034595,0.26503331,0.055312642,-1.7728514,-1.9011692,-1.6461981,-2.0414485,-1.8449649,-1.7255121,-1.6837862,-1.2966445,-1.2966445,-1.8267685,5,6,3,6,1,5,5,3,5,6,2,6,4,5,1,3,6,8,1,4,-5.9504155,0.242084,3.1648912,0.76616952,2.3987216
-213.52983,1,0.23979141,2,3,0,213.85895,0.7950776,0.35413427,0.28156423,0.072570045,-1.7438404,-1.8702771,-1.6420327,-2.0637088,-1.8265628,-1.6997437,-1.6912566,-1.3443176,-1.3443176,-1.790172,2,6,6,7,2,5,5,5,8,7,4,3,2,2,2,7,2,4,3,8,-5.2046813,0.14207141,2.7502355,0.39072983,2.3595057
-213.8967,0.87222277,0.32433241,2,3,0,214.47066,0.63540933,0.37887451,0.2407404,0.13813411,-1.6956424,-1.8141337,-1.7123003,-2.2245034,-1.8532873,-1.6983823,-1.8200278,-1.5968272,-1.5968272,-1.7137414,2,6,3,7,2,6,5,3,4,7,3,8,3,5,2,6,6,3,7,8,-4.4617257,0.54065786,1.6592133,0.89706669,0.76214657
-213.73018,0.79966284,0.34652616,2,7,0,215.73224,0.78902418,0.41458232,0.32711548,0.087466844,-1.7095574,-1.8346311,-1.6182443,-2.066437,-1.7906365,-1.657436,-1.6742067,-1.3589538,-1.3589538,-1.7529681,2,5,3,5,4,6,4,2,4,6,1,6,7,5,5,5,3,4,2,3,-4.2991467,0.73188094,2.9706124,2.1741346,0.79647781
-214.25727,0.73616652,0.31614772,2,3,0,214.89939,0.67511543,0.47947254,0.32369931,0.15577323,-1.6478425,-1.768578,-1.6610608,-2.2003441,-1.7929507,-1.6309933,-1.7670133,-1.5635996,-1.5635996,-1.6691637,5,6,6,8,4,7,3,7,4,6,6,6,6,6,4,5,5,1,7,7,-3.2957211,0.41256368,1.3789339,0.56889804,0.81003586
-213.91687,0.9889652,0.24474711,3,7,0,215.37678,0.82321236,0.30476861,0.25088929,0.053879323,-1.7821536,-1.910868,-1.6573374,-2.0478005,-1.8581018,-1.7394098,-1.6948663,-1.3027304,-1.3027304,-1.8357501,2,6,5,6,4,5,3,4,3,5,1,2,5,4,3,6,5,2,2,3,-6.2521293,0.58743019,1.7636028,1.0359935,0.72760927
-213.91687,0.099693225,0.42763496,1,1,0,215.3847,0.82321236,0.30476861,0.25088929,0.053879323,-1.7821536,-1.910868,-1.6573374,-2.0478005,-1.8581018,-1.7394098,-1.6948663,-1.3027304,-1.3027304,-1.8357501,3,4,3,5,3,6,4,6,4,7,5,6,5,7,6,4,2,5,1,8,-6.2521293,0.32590456,2.750314,0.89633987,1.8539741
-213.97098,0.99958378,0.046133141,3,15,0,214.33539,0.83737404,0.32693083,0.27376339,0.053167438,-1.7713119,-1.8996666,-1.6381525,-2.0322351,-1.8381452,-1.7195028,-1.6735504,-1.2822664,-1.2822664,-1.8270894,1,5,3,6,5,2,1,4,3,3,4,2,4,6,6,7,1,3,6,2,-5.8703686,0.48043379,2.3594333,1.1335515,1.2258818
-213.78416,0.99423035,0.08607384,3,11,0,214.56144,0.80383106,0.40379718,0.32458471,0.079212465,-1.7193395,-1.8448884,-1.6152815,-2.0523573,-1.7933429,-1.6636078,-1.6656359,-1.3344432,-1.3344432,-1.765995,2,7,3,2,2,5,5,5,3,6,2,2,1,3,3,7,3,3,5,6,-4.4942689,0.7562485,1.7380576,1.3144035,0.42365415
-213.56689,0.9943256,0.15983043,2,7,0,214.80245,0.76287675,0.41241443,0.31462138,0.097793051,-1.7031708,-1.8276395,-1.6324105,-2.0927454,-1.798365,-1.6607897,-1.6970448,-1.4007264,-1.4007264,-1.7415595,3,6,2,7,1,5,3,3,4,7,2,8,5,4,2,6,4,2,1,3,-4.2438238,0.70563767,2.9255966,2.0644112,0.86118546
-214.58092,0.62978819,0.29842825,2,3,0,215.19453,0.7170791,0.24229334,0.17374349,0.06854985,-1.8153478,-1.9403332,-1.741341,-2.1375441,-1.9320955,-1.8098871,-1.7995453,-1.438095,-1.438095,-1.8515127,3,6,3,4,3,6,2,4,2,5,4,6,2,4,8,6,4,2,1,3,-7.522142,0.74145396,1.8119784,1.3434986,0.46847984
-213.82032,0.99515139,0.17775305,2,7,0,215.10832,0.65292981,0.40246933,0.26278423,0.13968511,-1.6839642,-1.803515,-1.6951119,-2.2103017,-1.8354761,-1.6798428,-1.7996925,-1.5770852,-1.5770852,-1.7038889,2,3,2,6,1,5,5,1,2,4,1,6,4,2,5,6,2,1,4,8,-4.1494457,0.67342123,0.81414134,0.54826007,0.26588127
-213.74809,0.93874544,0.33395727,2,3,0,214.19707,0.67502008,0.30228085,0.20404564,0.098235207,-1.7565659,-1.8780353,-1.7232615,-2.1711868,-1.8901892,-1.7538079,-1.8036212,-1.5095546,-1.5095546,-1.7832831,2,6,2,3,3,5,5,4,6,8,2,2,6,2,1,3,5,4,3,4,-5.8954054,0.4473444,1.5297892,0.68434261,0.84544655
-213.74809,0.052473591,0.524442,2,3,0,214.72956,0.67502008,0.30228085,0.20404564,0.098235207,-1.7565659,-1.8780353,-1.7232615,-2.1711868,-1.8901892,-1.7538079,-1.8036212,-1.5095546,-1.5095546,-1.7832831,3,5,2,6,3,5,5,4,1,7,4,8,2,4,3,7,7,3,3,8,-5.8954054,0.62219843,1.6162277,1.0056143,0.61061334
-215.3657,0.99456138,0.053660408,4,15,0,215.85626,0.56889598,0.26344286,0.14987158,0.11357128,-1.7808862,-1.894975,-1.791556,-2.2595804,-1.945664,-1.8049863,-1.8986013,-1.6395379,-1.6395379,-1.7944708,2,6,4,8,1,5,6,3,2,5,1,5,5,4,2,6,4,1,2,8,-6.7235695,0.39076836,3.9680939,1.5506056,2.4174884
-214.5446,0.9967526,0.10104671,3,7,0,215.79827,0.63916116,0.4757347,0.30407114,0.17166356,-1.6418641,-1.7606389,-1.6841299,-2.245307,-1.8076221,-1.638584,-1.8055083,-1.6260463,-1.6260463,-1.657878,1,6,5,6,3,4,5,5,4,7,6,4,4,8,3,2,7,2,2,3,-3.2824934,0.34070063,2.3731336,0.8085281,1.5646055
-214.111,0.99660769,0.1900867,3,7,0,214.84113,0.62394221,0.39904085,0.24897843,0.15006242,-1.681205,-1.7989177,-1.7125807,-2.2429205,-1.8467676,-1.6865213,-1.8284522,-1.6234642,-1.6234642,-1.6971165,4,3,4,7,2,7,6,5,3,6,4,6,3,7,3,1,2,5,2,5,-4.1610981,0.34518896,2.946177,1.0169878,1.9291892
-214.95729,0.94845898,0.35435995,2,3,0,215.0411,0.56121644,0.31432104,0.17640213,0.1379189,-1.7343534,-1.8475593,-1.7740315,-2.2847629,-1.9132595,-1.7596003,-1.8972261,-1.680594,-1.680594,-1.7452549,1,5,5,6,2,4,3,2,3,5,3,3,5,8,2,6,4,4,4,4,-5.5266978,0.42766061,4.4916042,1.9208822,2.570722
