# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:16:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b633c2d5aa.json
# init = 2 (Default)
# random
#   seed = 1354720592
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281816-2-382c42.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281816-2-075fb7.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-219.57003,1,0.5,1,3,0,221.36754,0.732588,0.14654055,0.10735385,0.039186702,-1.9352269,-2.0626782,-1.8269155,-2.1579615,-2.0476131,-1.9422749,-1.865449,-1.4141412,-1.4141412,-1.9779472,2,4,2,4,3,5,2,3,4,5,2,8,8,8,1,4,2,4,2,2,-11.805528,0.69206751,4.2072922,2.9117302,1.295562
-219.57003,0,14.38551,0,1,1,220.01657,0.732588,0.14654055,0.10735385,0.039186702,-1.9352269,-2.0626782,-1.8269155,-2.1579615,-2.0476131,-1.9422749,-1.865449,-1.4141412,-1.4141412,-1.9779472,4,1,5,6,1,7,3,4,4,5,1,6,4,8,6,4,3,1,3,6,-11.805528,0.45806433,1.8740386,0.85843025,1.0156084
-219.57003,0,2.4311673,0,1,1,219.63171,0.732588,0.14654055,0.10735385,0.039186702,-1.9352269,-2.0626782,-1.8269155,-2.1579615,-2.0476131,-1.9422749,-1.865449,-1.4141412,-1.4141412,-1.9779472,3,4,4,5,2,5,3,3,3,6,2,2,5,7,4,6,8,1,1,6,-11.805528,0.45222358,0.97854173,0.44251964,0.53602209
-214.76763,0.99752956,0.23979141,2,7,0,218.72471,0.79250287,0.51354654,0.40698711,0.10655943,-1.6686136,-1.792327,-1.582945,-2.0639987,-1.741195,-1.6007315,-1.6446667,-1.3635803,-1.3635803,-1.7105119,6,5,7,7,7,7,5,1,3,6,1,4,1,8,5,4,6,1,7,5,-3.2696308,0.54137238,0.80747461,0.43714446,0.37033016
-214.57564,1,0.3220512,2,3,0,215.17306,0.7759252,0.24306912,0.18860345,0.054465665,-1.8225262,-1.9510078,-1.7184336,-2.0962256,-1.9216861,-1.8044078,-1.7619675,-1.3648917,-1.3648917,-1.8692013,3,5,3,3,6,8,3,3,2,2,1,5,2,6,1,8,5,2,6,2,-7.6526868,0.98437685,1.8707249,1.8414982,0.029226615
-214.57564,0.011802576,0.50348351,1,3,0,218.46139,0.7759252,0.24306912,0.18860345,0.054465665,-1.8225262,-1.9510078,-1.7184336,-2.0962256,-1.9216861,-1.8044078,-1.7619675,-1.3648917,-1.3648917,-1.8692013,3,6,4,7,2,8,5,2,3,4,8,6,5,5,6,4,2,6,1,3,-7.6526868,0.59206472,0.96576448,0.57179508,0.3939694
-213.63867,0.99897265,0.041577625,4,31,0,215.58871,0.66062058,0.37000879,0.24443542,0.12557337,-1.7054342,-1.8255396,-1.701694,-2.1951221,-1.8504226,-1.7010801,-1.7982023,-1.5535358,-1.5535358,-1.7275074,1,5,2,5,2,8,3,2,1,5,2,6,4,7,4,4,4,4,7,7,-4.629489,0.833224,1.3447428,1.120472,0.22427083
-213.67629,0.99996198,0.070523957,3,7,0,213.7014,0.65449043,0.35571717,0.23281348,0.12290368,-1.7139589,-1.8337473,-1.7101673,-2.1988553,-1.8604689,-1.7124397,-1.8066468,-1.5581181,-1.5581181,-1.7355768,3,5,3,6,1,5,6,1,4,6,8,7,7,4,3,8,3,5,2,8,-4.850491,0.35491766,2.2495324,0.79839877,1.4511336
-213.95938,0.98740098,0.12603313,1,3,0,214.27981,0.62734642,0.36801972,0.23087586,0.13714387,-1.7015771,-1.8195544,-1.7202753,-2.2306814,-1.8616826,-1.7072912,-1.8292675,-1.6053419,-1.6053419,-1.7188941,2,5,5,5,3,8,3,3,6,7,2,3,3,2,7,8,5,1,5,6,-4.6186885,0.37000301,2.1303457,0.78823434,1.3421114
-214.61588,0.85466337,0.22300314,3,7,0,215.32974,0.79947109,0.24549343,0.1962649,0.049228531,-1.8239923,-1.9536598,-1.7079,-2.0797535,-1.9157385,-1.8002092,-1.7461317,-1.3357034,-1.3357034,-1.8750545,1,4,2,6,3,6,4,2,3,5,2,7,3,6,6,8,3,3,3,8,-7.6602708,0.69804643,4.7471576,3.3137364,1.4334212
