# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:17:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b61fcd5f78.json
# init = 2 (Default)
# random
#   seed = 726485417
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281817-1-4e33ce.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281817-1-5b5f0c.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-203.93593,0.3333365,0.5,2,3,0,206.50461,0.58720148,1.2050328,0.70759702,0.49743574,-2.2040179,-1.4040312,-2.2344683,-1.7129622,-1.4369119,-1.68243,-1.8584682,-1.7129622,-1.4914494,-1.392572,6,6,4,4,2,3,6,4,7,6,5,3,4,3,1,6,8,2,3,8,-0.55109061,0.40599556,4.5757747,1.8577442,2.7180305
-203.93593,0,4.2806549,0,1,1,204.20058,0.58720148,1.2050328,0.70759702,0.49743574,-2.2040179,-1.4040312,-2.2344683,-1.7129622,-1.4369119,-1.68243,-1.8584682,-1.7129622,-1.4914494,-1.392572,7,4,6,6,3,1,8,3,3,7,7,3,5,5,2,2,8,3,2,5,-0.55109061,0.78398592,2.7964599,2.1923852,0.60407471
-201.61099,1,0.50511488,1,1,0,203.69286,0.31596147,0.49313949,0.15581308,0.33732641,-1.8483442,-1.6661428,-1.7560355,-1.7168551,-1.609894,-1.7050454,-1.7842416,-1.7168551,-1.7262475,-1.4208483,3,2,4,4,4,6,6,3,4,8,1,4,2,5,5,1,4,3,7,6,-3.1795629,0.29920073,2.681177,0.8022101,1.8789669
-199.24444,1,0.58289615,1,1,0,199.50719,0.38981771,1.7398296,0.67821638,1.0616132,-1.8786163,-1.39041,-1.8814169,-1.5028381,-1.3408123,-1.477019,-1.6574524,-1.5028381,-1.4464486,-1.2196812,5,2,6,3,3,3,7,3,5,5,6,4,2,2,4,4,4,3,7,6,-0.46273507,0.6501176,2.7618431,1.7955228,0.9663203
-199.24444,5.1712763e-19,0.84063617,1,1,0,199.94926,0.38981771,1.7398296,0.67821638,1.0616132,-1.8786163,-1.39041,-1.8814169,-1.5028381,-1.3408123,-1.477019,-1.6574524,-1.5028381,-1.4464486,-1.2196812,5,5,7,3,2,4,7,5,3,6,5,3,3,6,3,6,7,5,1,7,-0.46273507,0.74392001,1.2108177,0.90075149,0.31006617
-198.06845,1,0.069498827,4,15,0,199.56393,0.30084897,1.0107802,0.30409218,0.70668803,-1.7666119,-1.5276716,-1.7137516,-1.5491317,-1.441116,-1.5351723,-1.6548011,-1.5491317,-1.5752506,-1.2628629,3,5,4,3,2,2,7,3,4,7,3,5,4,7,5,4,4,6,3,6,-0.93519664,0.53943173,3.1890277,1.7202627,1.4687649
-197.83688,0.97625382,0.11212551,4,15,0,199.98294,0.38732392,1.0146263,0.39298902,0.62163723,-1.8739489,-1.480972,-1.8461596,-1.5851484,-1.4383094,-1.5635254,-1.7055435,-1.5851484,-1.5416566,-1.2986963,5,2,5,6,1,3,7,3,2,6,4,2,7,2,4,2,6,4,4,7,-0.80803387,0.67789703,2.6130619,1.7713869,0.841675
-198.01189,0.89472916,0.18014255,2,5,0,199.63482,0.30707418,1.0926637,0.33552882,0.75713493,-1.7692663,-1.510659,-1.7226454,-1.5361941,-1.4248422,-1.521223,-1.6475092,-1.5361941,-1.5580679,-1.2510288,5,2,4,3,1,3,8,4,2,6,4,5,4,8,3,5,4,6,3,7,-0.80105847,0.80599566,0.8526332,0.68721866,0.16541455
-198.00348,0.97067988,0.23338257,2,7,0,198.54166,0.36296881,0.84555002,0.30690828,0.53864173,-1.8491046,-1.5277095,-1.8032789,-1.608673,-1.4772075,-1.5902648,-1.7140753,-1.608673,-1.586826,-1.3211387,4,3,5,5,2,2,5,6,6,7,5,5,5,7,2,4,7,4,5,8,-1.2129887,0.15093738,2.0870992,0.31502129,1.772078
-198.00348,0.040070237,0.39287687,1,1,0,200.71404,0.36296881,0.84555002,0.30690828,0.53864173,-1.8491046,-1.5277095,-1.8032789,-1.608673,-1.4772075,-1.5902648,-1.7140753,-1.608673,-1.586826,-1.3211387,5,2,7,5,4,3,6,4,6,5,8,4,4,3,4,5,7,7,7,7,-1.2129887,0.35150928,3.7671793,1.3241985,2.4429808
-199.22585,0.99767643,0.035371091,4,15,0,199.34848,0.42297722,0.68051405,0.28784194,0.39267211,-1.9271837,-1.5522076,-1.8824378,-1.6804935,-1.5286202,-1.6593295,-1.7775769,-1.6804935,-1.6216498,-1.3890562,4,2,1,5,2,3,5,5,4,7,6,5,7,4,5,5,6,5,3,5,-1.7838364,0.27089368,1.2091345,0.32754688,0.88158759
-198.16027,0.99896974,0.06646641,3,7,0,199.53662,0.35610062,0.80138796,0.28537475,0.51601321,-1.8438856,-1.541767,-1.7928033,-1.6168847,-1.4893506,-1.5993767,-1.7179889,-1.6168847,-1.6005587,-1.3287891,3,3,5,4,1,1,5,2,5,6,5,3,6,7,1,3,3,6,1,5,-1.3582066,0.37871717,1.1591738,0.43899903,0.72017479
-198.27454,0.93826517,0.1262645,3,7,0,200.93794,0.33176117,0.78999101,0.26208835,0.52790267,-1.8178444,-1.5562946,-1.7592297,-1.6107534,-1.4932314,-1.5953359,-1.707543,-1.6107534,-1.6118723,-1.322274,7,3,2,5,3,3,5,6,5,7,6,3,1,5,3,5,5,4,3,5,-1.4303872,0.40436827,1.1518768,0.46578242,0.68609435
-199.86137,0.89923146,0.19858221,2,3,0,200.2009,0.26966533,1.6812089,0.45336375,1.2278451,-1.7001496,-1.4770137,-1.6632211,-1.44919,-1.3511965,-1.4362979,-1.5733196,-1.44919,-1.512022,-1.1666717,7,3,2,5,3,5,5,2,5,8,4,2,5,6,1,2,5,6,8,5,-0.63866857,0.16856499,1.8655399,0.31446471,1.5510752
-198.79559,0.98620894,0.27647755,2,7,0,200.68824,0.39740553,1.5496291,0.61583117,0.93379792,-1.8891105,-1.4035333,-1.8882797,-1.523331,-1.3597806,-1.4977124,-1.6722803,-1.523331,-1.4618869,-1.2389916,4,6,4,5,4,4,5,3,4,8,6,4,3,5,6,3,5,4,1,5,-0.43154059,0.2177156,3.7141755,0.80863393,2.9055415
-198.79559,0.047473391,0.50355994,1,1,0,199.88894,0.39740553,1.5496291,0.61583117,0.93379792,-1.8891105,-1.4035333,-1.8882797,-1.523331,-1.3597806,-1.4977124,-1.6722803,-1.523331,-1.4618869,-1.2389916,3,4,1,3,4,4,5,3,1,8,5,3,3,7,3,4,5,4,6,8,-0.43154059,0.35557464,1.7533376,0.62344239,1.1298952
-199.00006,0.99789071,0.05075142,4,15,0,200.29686,0.36422046,1.706353,0.62148869,1.0848643,-1.8371985,-1.4075441,-1.8314078,-1.4898066,-1.3432389,-1.466486,-1.6383513,-1.4898066,-1.4591782,-1.2081571,2,5,3,3,2,1,5,4,7,5,4,3,5,7,3,6,5,4,4,6,-0.48171737,0.68192845,0.9169299,0.62528058,0.29164932
-198.36897,0.99889646,0.096585417,3,7,0,199.51439,0.41379927,1.2826484,0.53075898,0.75188945,-1.9118225,-1.4268767,-1.9052599,-1.5613218,-1.3938065,-1.5358795,-1.7006394,-1.5613218,-1.4895396,-1.2746448,7,4,6,8,2,4,8,3,2,4,4,3,4,5,6,5,6,2,4,8,-0.49408929,0.88655319,1.3591847,1.2049895,0.15419517
-198.48924,0.99695668,0.18294258,2,3,0,198.57201,0.4086431,1.3721238,0.56070892,0.81141486,-1.9049364,-1.4176687,-1.900748,-1.5479424,-1.3813088,-1.5223579,-1.6909436,-1.5479424,-1.4789373,-1.2620483,4,1,5,4,1,3,7,1,2,7,3,2,3,5,1,3,7,4,2,6,-0.45457784,0.78131207,1.7836724,1.3936048,0.39006762
-198.20317,0.94141929,0.34150485,2,3,0,199.13222,0.29045464,1.0515129,0.30541681,0.74609612,-1.7519821,-1.5276677,-1.6981944,-1.5379581,-1.4338161,-1.5248276,-1.643612,-1.5379581,-1.5730672,-1.2517313,7,2,3,4,6,5,3,4,4,5,3,3,5,5,5,5,6,1,2,4,-0.89038558,0.50866181,1.512096,0.76914549,0.74295053
-198.20317,0.00058491548,0.53526108,2,3,0,200.44188,0.29045464,1.0515129,0.30541681,0.74609612,-1.7519821,-1.5276677,-1.6981944,-1.5379581,-1.4338161,-1.5248276,-1.643612,-1.5379581,-1.5730672,-1.2517313,5,4,4,1,4,3,8,1,4,4,4,7,2,6,1,6,3,4,4,8,-0.89038558,0.85743182,1.1425003,0.97961616,0.16288419
-198.72073,0.99803795,0.051612145,4,31,0,199.12582,0.40112957,1.505114,0.60374573,0.90136826,-1.8945999,-1.4062301,-1.8933051,-1.5297987,-1.3648585,-1.5040946,-1.6775407,-1.5297987,-1.465468,-1.2450042,3,2,4,4,1,4,7,3,7,6,4,5,3,3,5,2,6,3,5,7,-0.4307099,0.21976709,1.544118,0.33934631,1.2047717
-199.27933,0.98500479,0.09643068,3,15,0,200.7766,0.37901715,0.64077483,0.24286465,0.39791018,-1.881927,-1.5808652,-1.8222029,-1.6742989,-1.5420512,-1.6564902,-1.7637749,-1.6742989,-1.6453285,-1.3834392,6,2,2,4,4,2,7,2,4,6,6,5,4,6,3,2,8,4,5,6,-2.0266897,0.39293912,3.7909545,1.4896143,2.3013402
-198.35841,0.98925702,0.17175158,3,7,0,200.36878,0.32158882,0.78467879,0.25234393,0.53233486,-1.8074478,-1.5627989,-1.7456124,-1.6087233,-1.4952044,-1.5942084,-1.7035543,-1.6087233,-1.6170523,-1.3199219,4,3,7,2,4,6,8,6,6,5,6,3,5,5,3,7,6,2,3,5,-1.4648338,0.72220548,1.8471738,1.334039,0.51313475
-202.81098,0.33557949,0.30678154,2,3,0,204.18252,0.44948934,2.5680515,1.1543118,1.4137397,-2.002436,-1.3121788,-2.0391486,-1.5068756,-1.2932021,-1.473693,-1.6940999,-1.5068756,-1.3767372,-1.2165459,2,4,4,6,2,3,8,6,6,4,5,2,4,6,3,3,6,2,8,7,-0.89873165,0.40628002,0.83600369,0.3396516,0.49635209
