# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:17:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b6237b8363.json
# init = 2 (Default)
# random
#   seed = 746170572
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281817-1-893baa.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281817-1-05aecb.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-199.03745,1,0.5,2,3,0,207.07561,0.38430358,1.6828919,0.64674139,1.0361505,-1.8691453,-1.3980898,-1.8686896,-1.5037472,-1.3458266,-1.4786539,-1.6553901,-1.5037472,-1.453435,-1.2208372,6,3,2,5,5,5,6,6,4,8,6,5,3,4,2,4,7,6,6,7,-0.45547395,0.51249349,1.3975455,0.71623299,0.68131254
-199.03745,0,14.38551,0,1,1,199.17073,0.38430358,1.6828919,0.64674139,1.0361505,-1.8691453,-1.3980898,-1.8686896,-1.5037472,-1.3458266,-1.4786539,-1.6553901,-1.5037472,-1.453435,-1.2208372,2,4,2,6,1,4,5,4,8,6,4,7,6,4,4,4,7,2,2,6,-0.45547395,0.11336989,1.7329476,0.19646408,1.5364836
-199.03745,0,2.4311673,0,1,1,200.77781,0.38430358,1.6828919,0.64674139,1.0361505,-1.8691453,-1.3980898,-1.8686896,-1.5037472,-1.3458266,-1.4786539,-1.6553901,-1.5037472,-1.453435,-1.2208372,4,5,3,5,1,4,7,2,3,6,3,4,2,8,2,2,5,7,4,8,-0.45547395,0.68102398,1.3346558,0.90893259,0.42572319
-198.69856,0.98823296,0.23979141,2,3,0,199.59821,0.33021501,1.5704559,0.51858811,1.0518678,-1.7865861,-1.4404734,-1.7662156,-1.4839742,-1.3572733,-1.4646045,-1.6205373,-1.4839742,-1.486978,-1.2025773,7,2,6,3,2,6,8,2,4,8,5,1,3,3,4,7,6,5,4,6,-0.51112397,0.82188644,3.7257363,3.0621321,0.66360416
-198.09934,0.94455752,0.31360958,2,3,0,199.37765,0.33459848,0.83130068,0.27815194,0.55314873,-1.8175544,-1.5447216,-1.7628716,-1.6009399,-1.4815745,-1.5849856,-1.7012302,-1.6009399,-1.6000153,-1.3131487,5,2,5,3,3,3,5,1,6,7,3,3,2,4,2,6,5,5,4,7,-1.2929119,0.57130401,2.3083174,1.318751,0.98956639
-198.09934,0.50418361,0.415107,1,1,0,198.8732,0.33459848,0.83130068,0.27815194,0.55314873,-1.8175544,-1.5447216,-1.7628716,-1.6009399,-1.4815745,-1.5849856,-1.7012302,-1.6009399,-1.6000153,-1.3131487,5,1,7,4,2,2,8,4,2,3,3,2,3,8,3,4,8,5,3,4,-1.2929119,0.89711995,2.9739935,2.6680289,0.30596461
-197.84119,0.92437394,0.1539985,3,7,0,201.52561,0.32534786,1.0634325,0.34598549,0.71744702,-1.7929792,-1.5041667,-1.7502928,-1.5482238,-1.4292927,-1.5316451,-1.6616086,-1.5482238,-1.5547952,-1.2631539,7,2,4,2,1,4,7,2,5,6,4,4,6,6,5,1,7,8,3,2,-0.80990372,0.86683869,3.0132498,2.6120015,0.40124828
-198.82518,0.85434541,0.21163267,1,3,0,199.66625,0.26966064,0.82233483,0.22175134,0.60058349,-1.7500364,-1.583434,-1.6762484,-1.5834218,-1.4883034,-1.5733662,-1.6715279,-1.5834218,-1.6297028,-1.2928496,3,5,5,5,2,2,7,2,4,6,5,6,1,2,3,3,4,6,5,6,-1.4430314,0.46907164,2.527148,1.1854135,1.3417346
-198.83083,0.99879846,0.2418757,3,7,0,198.95635,0.26410607,0.85418246,0.22559477,0.62858769,-1.7407588,-1.5801873,-1.6674929,-1.5737292,-1.4803992,-1.5640583,-1.6626542,-1.5737292,-1.6250359,-1.2833149,5,3,4,2,2,1,5,6,5,6,2,8,4,3,2,6,8,7,4,7,-1.3620723,0.72277859,1.8784562,1.357708,0.52074829
-198.54085,1,0.4450602,1,1,0,199.00336,0.27058473,0.96571434,0.26130756,0.70440678,-1.7362924,-1.554927,-1.6717822,-1.5492813,-1.4532579,-1.5385054,-1.6460009,-1.5492813,-1.5986721,-1.2609322,4,5,3,6,6,6,4,7,4,8,5,3,4,4,3,6,7,4,6,6,-1.0818949,0.13740005,1.6231756,0.22302441,1.4001512
