# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:17:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b630fecce1.json
# init = 2 (Default)
# random
#   seed = 1233709763
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281817-2-7253cd.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281817-2-42156a.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-198.97333,0.33333356,0.5,2,3,0,205.05815,0.25029552,1.0811085,0.27059663,0.81051192,-1.7048231,-1.5513974,-1.6400828,-1.5213395,-1.4324691,-1.5122365,-1.6188645,-1.5213395,-1.5902071,-1.2329594,6,3,2,5,1,6,6,1,5,6,3,1,6,5,4,7,6,7,4,7,-0.94205221,0.24292586,1.3328889,0.32379318,1.0090957
-198.97333,0,4.280632,0,1,1,201.99825,0.25029552,1.0811085,0.27059663,0.81051192,-1.7048231,-1.5513974,-1.6400828,-1.5213395,-1.4324691,-1.5122365,-1.6188645,-1.5213395,-1.5902071,-1.2329594,5,2,2,5,3,3,7,6,5,6,3,3,6,6,2,3,7,6,3,5,-0.94205221,0.32187869,2.2240537,0.71587549,1.5081782
-198.47989,0.74048424,0.50511137,2,3,0,198.76557,0.41123729,0.7864413,0.32341399,0.46302731,-1.9094465,-1.523583,-1.8716207,-1.6454971,-1.4944263,-1.624038,-1.7515132,-1.6454971,-1.5901693,-1.3558279,5,2,4,3,4,4,7,3,2,4,7,3,6,5,6,6,4,6,8,7,-1.3545244,0.57177155,1.9056437,1.0895929,0.81605086
-198.95356,0.92207287,0.29191749,2,3,0,199.39836,0.27142712,1.3525446,0.36711728,0.9854273,-1.7134941,-1.5032535,-1.6668971,-1.4853823,-1.3875892,-1.473151,-1.5995325,-1.4853823,-1.5417806,-1.2009332,5,2,6,3,4,3,7,2,4,7,3,2,3,2,2,4,7,4,2,6,-0.66276029,0.55773717,1.8625707,1.0388249,0.82374581
-197.84353,0.96651647,0.3205467,1,3,0,199.147,0.38791198,1.0647512,0.41302975,0.65172145,-1.8740497,-1.4716261,-1.8493621,-1.5768597,-1.4284862,-1.5548324,-1.7004801,-1.5768597,-1.5319139,-1.2907649,7,3,5,7,2,1,5,6,3,6,5,1,4,3,1,3,5,2,2,8,-0.72945254,0.53903052,1.4506882,0.78196519,0.66872296
-197.84151,1,0.45342783,2,3,0,197.86946,0.32558547,1.0704844,0.34853415,0.7219502,-1.7929564,-1.5028875,-1.7507182,-1.5470699,-1.4279449,-1.53043,-1.6608861,-1.5470699,-1.5534647,-1.2620744,3,1,2,4,6,5,4,4,5,8,5,4,2,4,4,4,6,2,3,6,-0.79952362,0.54746324,1.450632,0.79416769,0.65646429
-197.84151,6.9967186e-06,0.76950423,1,1,0,198.46199,0.32558547,1.0704844,0.34853415,0.7219502,-1.7929564,-1.5028875,-1.7507182,-1.5470699,-1.4279449,-1.53043,-1.6608861,-1.5470699,-1.5534647,-1.2620744,5,4,7,3,1,1,6,3,3,6,8,3,1,4,1,3,8,6,7,5,-0.79952362,0.583708,2.1581853,1.25975,0.89843527
-197.77163,0.99993212,0.061136618,2,7,0,197.86224,0.33886953,1.0678082,0.36184765,0.70596051,-1.8096576,-1.4957477,-1.771182,-1.5529865,-1.4279603,-1.5351287,-1.6690915,-1.5529865,-1.5484223,-1.2680562,7,3,3,3,3,1,6,6,5,5,4,5,3,7,1,5,4,4,5,6,-0.78319477,0.37092959,2.7100757,1.0052473,1.7048284
-197.98989,0.98629452,0.10909625,2,7,0,198.54271,0.37412917,0.85804736,0.32102055,0.53702681,-1.8617704,-1.519768,-1.8198968,-1.6106055,-1.4739549,-1.5912156,-1.7183931,-1.6106055,-1.5803056,-1.3230482,5,2,4,4,2,4,7,1,3,5,3,3,3,3,3,2,6,4,6,7,-1.1649563,0.47855674,1.8025985,0.86264565,0.93995283
-197.77262,0.99494078,0.19222751,3,7,0,198.20628,0.37117558,1.0936115,0.40592187,0.68768958,-1.8509894,-1.4745822,-1.8232134,-1.5635407,-1.4228153,-1.5426834,-1.6864564,-1.5635407,-1.5320046,-1.2783342,6,4,7,1,1,1,8,4,3,7,6,5,3,6,4,3,8,1,3,7,-0.70731553,0.87547006,1.7385176,1.5220201,0.2164975
