# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-28 16:18:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 300
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/RtmpDcXrkB/standata-92b613f5d97d.json
# init = 2 (Default)
# random
#   seed = 1114564190
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604281818-1-3a4762.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604281818-1-3ee8ab.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,prior_pred.6,prior_pred.7,prior_pred.8,prior_pred.9,prior_pred.10,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,posterior_pred.6,posterior_pred.7,posterior_pred.8,posterior_pred.9,posterior_pred.10,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-212.62264,0.38882045,0.5,2,3,0,225.64863,0.096262904,0.49677411,0.047820918,0.44895319,-2.0611071,-1.7049167,-1.7076542,-2.0970033,-1.7875978,-2.0970033,-1.6354987,-1.6997356,-1.7222665,-2.0865941,2,4,3,1,4,4,6,5,4,3,3,5,6,2,3,3,7,2,6,4,-4.0559012,0.25128593,1.5958553,0.40101597,1.1948393
-212.62264,0,4.7350198,0,1,1,213.61324,0.096262904,0.49677411,0.047820918,0.44895319,-2.0611071,-1.7049167,-1.7076542,-2.0970033,-1.7875978,-2.0970033,-1.6354987,-1.6997356,-1.7222665,-2.0865941,1,3,1,7,3,4,8,3,8,2,5,2,4,4,1,7,4,3,7,4,-4.0559012,0.52959073,2.6803961,1.4195129,1.2608832
-213.33633,0.31290107,0.57568624,1,1,0,214.00395,0.10746604,0.73443293,0.078926601,0.65550633,-2.0958845,-1.6071986,-1.6718362,-2.1043464,-1.72235,-2.1043464,-1.540797,-1.629942,-1.6357112,-2.2169981,3,6,3,6,3,3,4,6,7,5,4,2,1,3,2,4,2,4,8,5,-2.476868,0.38923883,1.5616263,0.6078456,0.9537807
-213.18548,0.99846843,0.10830471,3,11,0,214.29047,0.12273856,0.7540477,0.09255073,0.66149697,-2.0745713,-1.5989792,-1.6580473,-2.0842994,-1.7057923,-2.0842994,-1.5314786,-1.6134395,-1.6343983,-2.2034867,3,6,2,3,4,3,6,2,5,3,5,4,2,4,4,6,4,5,8,2,-2.2833742,0.39864888,1.4533513,0.57937686,0.87397442
-212.19108,0.99859977,0.13771259,3,15,0,213.52628,0.30076308,0.42244853,0.12705692,0.29539161,-1.8156968,-1.7364974,-1.6092439,-1.9063662,-1.7087106,-1.9063662,-1.6516571,-1.6571237,-1.8109288,-1.7871377,7,5,2,7,3,6,4,4,7,1,6,2,4,2,1,3,6,6,8,1,-3.9665651,0.21529544,0.60864973,0.13103951,0.47761022
-211.86128,0.94029492,0.20661989,3,7,0,212.90316,0.16108476,0.43458179,0.070004504,0.36457729,-1.9685815,-1.7339037,-1.681078,-2.027536,-1.7699545,-2.027536,-1.6585144,-1.6908793,-1.7680258,-1.9598354,2,4,3,4,3,7,6,2,7,3,3,5,6,5,2,2,6,4,7,7,-4.2626471,0.4478949,2.6710005,1.1963275,1.474673
-212.23561,0.79169892,0.28593872,3,7,0,213.32284,0.1387117,0.41460093,0.057510001,0.35709093,-1.9922991,-1.7484244,-1.6996525,-2.0503704,-1.7918973,-2.0503704,-1.6741832,-1.7104195,-1.7747788,-1.97145,4,6,3,6,3,3,7,2,6,1,1,5,4,3,2,6,1,3,7,4,-4.6306225,0.19485554,4.8921753,0.95326747,3.9389078
-212.97052,0.94658951,0.26269153,2,3,0,213.03454,0.13330062,0.74714758,0.099595235,0.64755235,-2.0561415,-1.5997395,-1.6501829,-2.0687855,-1.6981912,-2.0687855,-1.5312264,-1.606579,-1.639359,-2.1839848,2,1,2,5,2,6,7,1,5,3,5,4,7,6,3,3,5,3,4,2,-2.2397816,0.15043779,5.9935935,0.90166296,5.0919305
-215.03128,0.92738396,0.40203292,2,3,0,215.2716,0.058485922,0.75635788,0.044236288,0.7121216,-2.1836282,-1.6085393,-1.7109761,-2.1803279,-1.7635667,-2.1803279,-1.5468288,-1.6724111,-1.6172618,-2.303985,2,5,3,2,4,7,8,7,8,1,4,4,3,8,5,4,6,4,6,3,-2.9451025,0.92671735,2.6306424,2.437862,0.19278044
-217.49926,0.12934876,0.59185241,1,3,0,218.04255,0.028444062,0.30168629,0.0085811837,0.29310511,-2.0902876,-1.8461804,-1.7955189,-2.153261,-1.9124297,-2.153261,-1.7760535,-1.8215375,-1.8410346,-1.9865826,3,4,5,3,1,6,7,3,8,1,2,5,4,2,4,4,6,3,1,6,-7.9799927,0.88643151,1.7175704,1.5225085,0.19506186
